dataset,arm,fold,config,inner_mean,exploratory
oral_diseases,vs,0,"g=0.0,t=0.0",0.7237598116169545,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.0,t=0.5",0.7228867957439385,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.0,t=1.0",0.7289185417756846,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.0,t=1.5",0.7356401534972964,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.1,t=0.0",0.7375449154020582,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.1,t=0.5",0.7356401534972964,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.1,t=1.0",0.7356401534972964,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.1,t=1.5",0.7406401534972963,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.2,t=0.0",0.7375449154020582,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.2,t=0.5",0.744211582068725,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.2,t=1.0",0.744211582068725,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.2,t=1.5",0.748338566195709,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.3,t=0.0",0.7461163439734868,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.3,t=0.5",0.748338566195709,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.3,t=1.0",0.7511957090528518,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.3,t=1.5",0.755322693179836,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.4,t=0.0",0.7511957090528518,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.4,t=0.5",0.7521480900052329,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.4,t=1.0",0.7538147566718993,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,0,"g=0.4,t=1.5",0.7511390197104483,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.0,t=0.0",0.7404704818990533,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.0,t=0.5",0.7453117517403232,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.0,t=1.0",0.7484863549149263,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.0,t=1.5",0.7469217290645862,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.1,t=0.0",0.7508673072958787,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.1,t=0.5",0.7469217290645862,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.1,t=1.0",0.7540645862074433,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.1,t=1.5",0.7569217290645862,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.2,t=0.0",0.7569217290645862,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.2,t=0.5",0.7626360147788719,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.2,t=1.0",0.7626360147788719,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.2,t=1.5",0.7585334506763078,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.3,t=0.0",0.7604382125810697,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.3,t=0.5",0.76073125287411,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.3,t=1.0",0.7585334506763078,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.3,t=1.5",0.7557783486354915,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.4,t=0.0",0.7605742670028385,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.4,t=0.5",0.7557783486354915,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.4,t=1.0",0.7557783486354915,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,1,"g=0.4,t=1.5",0.7480232465946752,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.0,t=0.0",0.7319907869907869,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.0,t=0.5",0.7337594944737802,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.0,t=1.0",0.7369340976483834,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.0,t=1.5",0.7369340976483834,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=0.0",0.7369340976483834,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=0.5",0.7405055262198118,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=1.0",0.7425463425463426,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.1,t=1.5",0.7461177711177711,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,2,"g=0.2,t=0.0",0.7442130092130093,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
