arm,fold,bacc,bacc_leakex,bacc_leaked_only,n_test,n_leaked,exploratory
B0,0,0.6711051026214648,0.6541582955857408,0.7166666666666666,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,1,0.6427510783418102,0.6397947413741499,0.7275,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,2,0.669678888616773,0.6750327623958908,0.4568888888888889,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,3,0.6579334418694952,0.6503548606071956,0.6433333333333333,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,4,0.6217396951613836,0.6092852313614848,0.715,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,5,0.6216648776322939,0.6049037210512621,0.7747058823529411,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,6,0.6681058110445875,0.6663083196991153,0.6980952380952381,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,7,0.6499067993294952,0.6544588416011566,0.5746031746031747,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,8,0.6385841893351165,0.630769494443532,0.6814814814814816,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,9,0.5892626060102722,0.5872040070579705,0.5182615629984051,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,10,0.6643416500574583,0.6520411863454687,0.7293040293040292,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,11,0.6237506041183678,0.6132852182852183,0.6950000000000001,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,12,0.6377742198276025,0.6311687771238332,0.6943939393939395,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,13,0.668620569675267,0.6529565910404646,0.7785714285714286,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0,14,0.6603350055989561,0.6569805882214379,0.6904761904761905,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,0,0.6452128113732415,0.6256946837259025,0.7166666666666666,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,1,0.6254897884807271,0.6163094558840414,0.7775000000000001,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,2,0.672061542034076,0.6683816617894831,0.6155555555555556,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,3,0.6249031156138533,0.6081700126661621,0.7133333333333334,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,4,0.597586598604718,0.5796364883586331,0.7666666666666666,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,5,0.6054022942067921,0.5840228199244593,0.8147058823529412,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,6,0.6526229899555408,0.6474282173062655,0.7219047619047619,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,7,0.619692439563842,0.6182286075720611,0.611111111111111,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,8,0.6134048102753206,0.5993116868299657,0.7333333333333333,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,9,0.6276639447903062,0.6216458645689326,0.5244019138755981,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,10,0.6176578631599055,0.6023665515136896,0.7597069597069597,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,11,0.6254063479305978,0.6113518513518514,0.7727777777777778,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,12,0.6255257955264998,0.6171478292826608,0.6943939393939395,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,13,0.626715369202716,0.6067537642558208,0.7190476190476189,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B0d,14,0.6440748867814003,0.6346201196894559,0.7238095238095237,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,0,0.653690343902936,0.6359441326004631,0.7055555555555555,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,1,0.6559923879247322,0.6508363461869934,0.79,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,2,0.6721492012694416,0.6657255271110019,0.6377777777777778,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,3,0.6813626448646872,0.6638873847279549,0.6799999999999999,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,4,0.639772900608512,0.6262801343424602,0.7666666666666666,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,5,0.6333829364546769,0.6169917362540314,0.7911764705882354,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,6,0.7017784607029173,0.690918472723162,0.8285714285714285,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,7,0.6726985888184067,0.6696074817023583,0.5904761904761904,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,8,0.6370742745186616,0.6245472642811307,0.7425925925925926,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,9,0.6073471446234601,0.5970372193895763,0.5682615629984051,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,10,0.6824855952392458,0.6655534391564369,0.8091575091575092,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,11,0.6170272611290969,0.6008873858873859,0.7905555555555555,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,12,0.633974861146888,0.6259858618285584,0.7012121212121212,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,13,0.6739827742198277,0.6561248205801653,0.7119047619047619,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1,14,0.6691026424499651,0.6682622304804899,0.6857142857142857,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,0,0.6625615206411488,0.642522234164637,0.7388888888888889,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,1,0.6327823294551779,0.6253313409655978,0.765,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,2,0.6744578111140861,0.6704444921930955,0.6155555555555556,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,3,0.6140582402675927,0.5961034255856474,0.7133333333333334,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B1d,4,0.6026030654131957,0.5838599797071246,0.7666666666666666,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
