n_folds,mean_diff,sd,se_nb,wins,ci_lo,ci_hi,p_nb,tost_p,equivalent,mde_post,arm,ref,scoring,mde_floor,passes_floor,exploratory
15,0.009751165242207397,0.013488027591129157,0.007590137106449578,11,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.09917537822264239,False,0.022867879833313978,B1,B0,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.005325786737216494,0.012546842199498844,0.007060502501478883,10,-0.00981748503796577,0.020469058512398757,0.4631646370186155,0.028274927046216734,True,0.02127217473178914,B1,B0,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.00035650141390869785,0.01950572869875835,0.010976486679353688,7,-0.023185721096076195,0.02389872392389359,0.9745488470798206,0.047582631482110956,True,0.033070414256699196,B2,B0,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.0016100991347767213,0.021413218834424402,0.012049891338492097,8,-0.024234347398877178,0.02745454566843062,0.8956052878514994,0.07462212352066415,False,0.036304412327279316,B2,B0,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.01795024887602316,0.012030525455120893,0.006769954839583402,15,0.0034301398582799666,0.03247035789376635,0.018975038676836788,0.38325790307367735,False,0.020396800687171365,B3,B0,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.0225589182744837,0.014979022590056713,0.008429166860090776,14,0.004480153402723088,0.040637683146244316,0.018076125382886027,0.6170433039536285,False,0.02539574346920776,B3,B0,leak_excluded,0.019,True,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.019275398600259064,0.021035300831050235,0.011837224998567633,12,-0.006112923998556643,0.044663721199074774,0.12573345815091055,0.4760271245144942,False,0.03566368235919337,B4,B0,full,0.019,True,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.019249729978888002,0.022546124430203138,0.0126874129288453,12,-0.007962064375015631,0.04646152433279163,0.15146151686595055,0.4768402017672007,False,0.03822516381238124,B4,B0,leak_excluded,0.019,True,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,-0.0016552426324812687,0.019968223198021776,0.01123674687208171,7,-0.025755667739224143,0.022445182474261603,0.8849906933119693,0.062420250110027546,False,0.03385453695820379,B5,B0,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,-0.0008342083895482855,0.01991215474405067,0.01120519539058361,7,-0.02486696229878995,0.02319854551969338,0.9417069393447937,0.05462145373503563,False,0.03375947734632294,B5,B0,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.0005720958116253394,0.015445457849307164,0.008691644642336838,7,-0.018069627913370814,0.01921381953662149,0.9484507552895772,0.02110580044152368,True,0.026186547416374585,B5s,B0,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.000454222950576888,0.01804688730944154,0.010155550772552877,7,-0.02132726715486789,0.022235713056021667,0.964956954902494,0.03742014608553462,True,0.030597064512908462,B5s,B0,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.008199083633815763,0.01775518819679855,0.009991402512636348,10,-0.013230343468915173,0.0296285107365467,0.4256188696052361,0.12861838330333977,False,0.030102511828289748,B3,B1,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.017233131537267205,0.019875288193371924,0.011184449423658276,12,-0.00675512669828502,0.04122138977281943,0.14565708968077254,0.4041005923131232,False,0.033696973036845934,B3,B1,leak_excluded,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
15,0.009524233358051666,0.017698767253731908,0.009959652674444095,10,-0.011837097114380983,0.030885563830484318,0.3551526343300563,0.15534946831034005,False,0.030006854599135,B4,B1,full,0.019,False,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
