dataset,arm,fold,selected,inner_mean,exploratory
aptos2019,affine_taunorm,0,tau=0.0,0.6284277023290499,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,0,"g=0.3,t=0.0",0.6556273695157906,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_ce,0,wd=1.0,0.6358983359587796,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_wce,0,wd=1.0,0.6593620914052997,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,0,"abs,lam=0.1,wce",0.6452526017611143,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,affine_taunorm,1,tau=0.0,0.6424403516816712,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,1,"g=0.2,t=0.0",0.6591619333977029,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_ce,1,wd=1.0,0.6583563326503231,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_wce,1,wd=1.0,0.6555952879982407,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,1,"cdf2,lam=0.1,wce",0.6486653493034928,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,affine_taunorm,2,tau=0.0,0.6450962529566866,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,2,"g=0.2,t=0.0",0.6831002891590219,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_ce,2,wd=1.0,0.6598892628179805,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_wce,2,wd=1.0,0.674811657582969,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ordcost,2,"cdf2,lam=0.1,wce",0.6625172063100571,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,affine_taunorm,3,tau=0.1,0.6313517487685569,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,vs,3,"g=0.4,t=0.0",0.6438435374795615,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_ce,3,wd=1.0,0.643099992115876,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wd_wce,3,wd=1.0,0.6484190879689589,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
