bacc,mcc,macro_mae,per_class_recall,n_train,n_test,fold,arm,dataset,backbone,lever,loss,repeat,fold_in_repeat,splitter,count_mode
0.6719261983382364,0.7310294060498551,0.23874488403819918,"[0.9889196675900277, 0.6081081081081081, 0.75, 0.48717948717948717, 0.5254237288135594]",2929,733,0,B0,aptos2019,panderm,none,ce,0,0,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6297547391515653,0.6936368742734795,0.273224043715847,"[0.9833795013850416, 0.581081081081081, 0.715, 0.39473684210526316, 0.4745762711864407]",2930,732,1,B0,aptos2019,panderm,none,ce,0,1,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6317356627774487,0.7195803269838192,0.24693042291950887,"[0.9833795013850416, 0.581081081081081, 0.795, 0.3076923076923077, 0.4915254237288136]",2929,733,2,B0,aptos2019,panderm,none,ce,0,2,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.65494600939265,0.7258281536921072,0.2609289617486339,"[0.9667590027700831, 0.5945945945945946, 0.795, 0.34210526315789475, 0.576271186440678]",2930,732,3,B0,aptos2019,panderm,none,ce,0,3,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6363348289573152,0.7224603114686405,0.25,"[0.9833795013850416, 0.6216216216216216, 0.7939698492462312, 0.358974358974359, 0.423728813559322]",2930,732,4,B0,aptos2019,panderm,none,ce,0,4,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6339102086625445,0.7079703453368899,0.2646657571623465,"[0.9861495844875346, 0.6081081081081081, 0.75, 0.38461538461538464, 0.4406779661016949]",2929,733,5,B0,aptos2019,panderm,none,ce,1,0,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6708640330623052,0.7400964714934267,0.23192360163710776,"[0.9750692520775623, 0.6216216216216216, 0.805, 0.41025641025641024, 0.5423728813559322]",2929,733,6,B0,aptos2019,panderm,none,ce,1,1,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.64056524034246,0.716651114827703,0.2459016393442623,"[0.9750692520775623, 0.5945945945945946, 0.775, 0.3157894736842105, 0.5423728813559322]",2930,732,7,B0,aptos2019,panderm,none,ce,1,2,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6530119933189555,0.7165773284974964,0.2581967213114754,"[0.9806094182825484, 0.5675675675675675, 0.7638190954773869, 0.46153846153846156, 0.4915254237288136]",2930,732,8,B0,aptos2019,panderm,none,ce,1,3,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6365098539076192,0.7241053459662781,0.2527322404371585,"[0.9889196675900277, 0.6621621621621622, 0.775, 0.3157894736842105, 0.4406779661016949]",2930,732,9,B0,aptos2019,panderm,none,ce,1,4,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6556083297973998,0.7294241634019133,0.25375170532060026,"[0.9944598337950139, 0.6081081081081081, 0.765, 0.4358974358974359, 0.4745762711864407]",2929,733,10,B0,aptos2019,panderm,none,ce,2,0,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
