cluster_id,size,pool_indices,images,labels,label_conflict
0,2,5;2522,train_images/fcc6aa6755e6.png;train_images/60f15dd68d30.png,3;4,True
1,2,13;3559,train_images/9f1efb799b7b.png;train_images/cd4e7f9fa1a9.png,2;2,False
2,2,27;3526,train_images/7d261f986bef.png;train_images/91cbe1c775ef.png,2;2,False
3,2,40;733,train_images/22895c89792f.png;train_images/bd5013540a13.png,4;4,False
4,2,45;3433,train_images/8fc09fecd22f.png;train_images/d1cad012a254.png,1;1,False
5,2,48;482,train_images/63a03880939c.png;train_images/05a5183c92d0.png,1;1,False
6,2,52;2342,train_images/9b418ce42c13.png;train_images/be161517d3ac.png,2;2,False
7,2,70;2149,train_images/278aa860dffd.png;train_images/f066db7a2efe.png,1;0,True
8,2,98;2862,train_images/79ce83c07588.png;train_images/71c1a3cdbe47.png,1;1,False
9,2,113;3586,train_images/f1a761c68559.png;train_images/ff52392372d3.png,2;2,False
10,2,115;3554,train_images/1ee1eb7943db.png;train_images/c2d2b4f536da.png,2;2,False
11,2,148;2859,train_images/42985aa2e32f.png;train_images/6165081b9021.png,0;1,True
12,2,156;1056,train_images/3cd801ffdbf0.png;train_images/7525ebb3434d.png,2;3,True
13,2,160;2020,train_images/b8ac328009e0.png;train_images/ff0740cb484a.png,2;2,False
14,2,167;682,train_images/68332fdcaa70.png;train_images/d801c0a66738.png,1;1,False
15,2,169;3516,train_images/878a3a097436.png;train_images/80feb1f7ca5e.png,2;2,False
16,2,177;368,train_images/80964d8e0863.png;train_images/ab50123abadb.png,4;2,True
17,2,184;1616,train_images/dc3c0d8ee20b.png;train_images/ca891d37a43c.png,2;2,False
18,2,187;2196,train_images/d28bd830c171.png;train_images/f9ecf1795804.png,2;2,False
19,2,194;1559,train_images/e2c3b037413b.png;train_images/a8b637abd96b.png,0;0,False
20,2,212;744,train_images/f6f3ea0d2693.png;train_images/1e9224ccca95.png,4;4,False
21,2,214;3632,train_images/11242a67122d.png;train_images/65c958379680.png,4;4,False
22,2,216;845,train_images/a1b12fdce6c3.png;train_images/5e7db41b3bee.png,2;4,True
23,2,217;1510,train_images/595446774178.png;train_images/36041171f441.png,1;1,False
24,2,220;998,train_images/aeed1f251ceb.png;train_images/c0e509786f7f.png,4;4,False
25,2,239;1819,train_images/c1c8550508e0.png;train_images/530d78467615.png,2;2,False
26,2,240;2048,train_images/98e8adcf085c.png;train_images/026dcd9af143.png,2;2,False
27,2,250;425,train_images/a3b2e93d058b.png;train_images/3fd7df6099e3.png,2;2,False
28,2,272;651,train_images/14515b8f19b6.png;train_images/ba2624883599.png,2;2,False
29,3,276;2391;3603,train_images/f7edc074f06b.png;train_images/4fecf87184e6.png;train_images/9bf060db8376.png,2;3;3,True
30,2,278;3480,train_images/e4e343eaae2a.png;train_images/43fb6eda9b97.png,2;2,False
31,2,314;2413,train_images/33105f9b3a04.png;train_images/111898ab463d.png,1;1,False
32,2,315;355,train_images/c8d2d32f7f29.png;train_images/034cb07a550f.png,4;4,False
33,2,351;535,train_images/b06dabab4f09.png;train_images/d144144a2f3f.png,2;2,False
34,2,356;2502,train_images/1e143fa3de57.png;train_images/144b01e7b993.png,2;2,False
35,2,363;1386,train_images/2b21d293fdf2.png;train_images/2a3a1ed1c285.png,2;2,False
36,2,399;3052,train_images/5eb311bcb5f9.png;train_images/a9e984b57556.png,2;3,True
37,2,415;471,train_images/7005be54cab1.png;train_images/3ee4841936ef.png,1;4,True
38,2,428;2397,train_images/19e350c7c83c.png;train_images/19722bff5a09.png,1;1,False
39,2,433;705,train_images/435d900fa7b2.png;train_images/1006345f70b7.png,2;2,False
40,2,434;3415,train_images/0dce95217626.png;train_images/94372043d55b.png,1;1,False
41,2,450;3614,train_images/bb7e0a2544cd.png;train_images/e76a9cbb2a8c.png,3;3,False
42,2,467;2900,train_images/38fe9f854046.png;train_images/1dfbede13143.png,2;2,False
43,2,505;3461,train_images/36ec36c301c1.png;train_images/26e231747848.png,2;2,False
