pool_index,image,label,byte_sha256,pixel_sha256,cluster_id,cluster_size
0,train_images/e663c6627a95.png,2,cb2cfd12b354ab573f29fb7822438926e8f981cb2a7e8f1a1db396be6d7a2ce1,da85fb2346601232e002fd8d292b32395ee82ac34c934467fd98079d41541181,-1,1
1,train_images/475c7ded0f7a.png,2,f385caec8eb41bf88460bced71c9aee20322f39e377b65a24da1576c7328efec,2a85608f537c3a8aa19cb34f39980f226ea05222c71bc33a5c2f8f6ab0add3e1,-1,1
2,train_images/ee3f5cf52188.png,0,eff2106f7e009f10b92cf173922e6b053fceeccffd06c6923aa56b6045be9d3a,ebe65953f1d982e458e11dfa4c85bff316e09291b0deb62f6f5caabc47ccda55,-1,1
3,train_images/6852f4531591.png,0,77bcd2f6ee6bd3d585f2f33568eb17bd6f06b7f64f183ce4601a34d90b8cc70d,8a2befee3bac9304bd95b29d8a8070bfe3974129a20564d6f74184e7598ed07f,-1,1
4,train_images/5879285f9d8d.png,1,eaeef761a5aa6eaccdb128fa901a863fac921a11dc5a9d007153bae6c5d5f43b,50f2c3aee1cf83066d893910bece55c6df050e8495767f589af0df0b592547a3,-1,1
5,train_images/fcc6aa6755e6.png,3,c91fc9fd8543dabd1114d3b5fa4f62f69b93b358e96fbe107acb6600e0d1a64b,b69cbec9f6650dbedd3a7b25d5ad967edfcdf9703339386b961add102c45fd45,0,2
6,train_images/4c9f0fdaaef7.png,3,0960f5d4b3e8e4b5a14b7889e9b67f7bc5438a5f52223f962cc4449f589ae30c,76356f34a7575937fcb3ff653e5e5b8555d0f3e869f2f87c0a4431e7cc75d2ea,-1,1
7,train_images/29192375ab1b.png,0,79ea141a4a93f1ba687319ac651535b9219d7df523ae72013ffd8a8b37e39fb1,93717eeaf5ab296e796b22e4a7893c042cb0b53d1ec4c94219363a23d94842a3,-1,1
8,train_images/e135d7ba9a0e.png,0,c9c1acf77038959fde28d5294c7b2ba14a29ca49020e490ff2735bafbc7d02aa,bb273ecc34c5479ba09ab2899b2c4495afecb09b3325e86facf684a9d0a22865,-1,1
9,train_images/a0adbe677508.png,0,09f6cf5286c850cbb2b9fa01d1b12573caadee2a165b8e911fed424604f05736,9eb29bddb3377030732b05f66b2c3589b17908bb90f7113888a5c21d4f9a72de,-1,1
10,train_images/92f313287a29.png,2,bca6d81470142cd9e3204a95dcdf72d6d7eda9cfabee2a0ec2cbd7b7db5b1608,d2e4184cb90a07f628a8a256dcddc994ed3cce4cfd473893af68a36c195bf8e4,-1,1
11,train_images/b0d35981708b.png,2,303df84de3f857fbcc842b81089762b3ae76d410ea4dca326dffe94566d239ed,ab04f2ee907e649014c52d8fca11cd2536f6d3992dfe0b7ce71d8948f9794c8f,-1,1
12,train_images/b665041e1633.png,2,31d6cd9b657627d7b10df2b01b328f62958129ca9d9a6430dec1863745f2844f,d562e259d4929a5ce76ee78285ebbbf1349feaa76d06f8c225cebb8e4ebc56fc,-1,1
13,train_images/9f1efb799b7b.png,2,8d91a59999626c7d147c7d21a6c9698c653f4f2067bc814e1b92a35f96edbb08,085e34d28dda6b7a5a465ed95d8ec85304961699b69a4f9a7ed8b92bffda19b5,1,2
