pool_index,image,label,byte_sha256,pixel_sha256,cluster_id,cluster_size
0,Training/CoS/_407.jpg,1,2ae189921c2a0e0384ddcb7cd7833a938d61d2315fa6e778c69ef7688b63e0ef,0623c185579775b0cc683c2bf2f4c413631cb2755de30229359aec2a774849e3,-1,1
1,Training/MC/_449.jpg,3,fd5682f5f8eaea6eb66460b02890c5a7a948efb233a2cdb5c91a5d6b8095137e,651f1c13842855b9ccc533383c25733e938b73423cf12d3bf89b8a92a645ef9f,0,2
2,Training/OC/_417.jpg,4,307b107e8b435870f81b0ad40a83ecf4ea67b2e8ca5417fd45d8a3516d44be25,56f244b906963f7f07a46a4d3eccdd79ef8ca371e7281d98a1de42c3d96cd94e,1,2
3,Training/CaS/_433.jpg,0,2443b7b1c3de25e416977ae84f582207cf8877b8aa755846200ff89fb992daff,b3223eaba9e0c34f9d85e34ecf801378137993e115e3ce949744cf27f9671960,-1,1
4,Training/CaS/_442.jpg,0,8d945a185750fca56df703f4a462a0777aa121649ae6b6977935e787e5722036,b32f31c6b1d118d063ee4634dbb7dc0a96904aed107ae1b99ff3b8f645a886aa,-1,1
5,Training/CoS/_414.jpg,1,161cc61634cc01c345d9f4d10a7114a0368d1124d92a95fed4c547938f417028,42f39488061960448811ced15292ae4be54cd5c61ccbfb465cde5d1e4053dcbe,-1,1
6,Training/Gum/_415.jpg,2,3d7ac8ebfbd06dd34c22bdbe0990e453212810fd52b3c7f1512cd02be2f68011,f85216bb6e9e937f4ce148432da314a7c35f84d0be0db89db8e481f68f75ca67,-1,1
7,Training/OLP/_451.jpg,5,ac256cbbcc2c0a4601e2512434dacb73a38d0d020b75ce671194044385daebdb,f313b4cce9980fd49b346ff8dda66b14d6495494f22b7bb432ea46a39821be94,-1,1
8,Training/OC/_404.jpg,4,03a85efb4e04af576ce942908987fc61f453902d622e3b8d41c6542f0bd2bd91,b190d36fccc248ab84aae695424a539a5139d94debaf0e591d24d8fb6758c579,-1,1
9,Training/OC/_425.jpg,4,90fcaacfef155868e8fc6ff034765b122b75269cac8073f160e8f161ec03832f,dedb7be74dc5b4eb77ba24cc307d8f612f5fafff2d771f4e622aa1f12f2a8177,-1,1
10,Training/OT/_410.jpg,6,9186ec4ce20ad9364e660f441237f7b0136b62990e82a051b97422f4ac805ea3,df55579434bc4c7696b33976c16120b60a2ccc011da6f3d16099a8f6d5dc6325,-1,1
11,Training/CoS/_415.jpg,1,6bd38305b96cc7c0754804b8ed2ee3196bf81b3a7bfbb4135c34c15cef516725,f7bda261c8aebab428d9647c32d1a198867fffc18e5b38f1c55e9066a399ae70,-1,1
12,Training/OLP/_402.jpg,5,fc724eee197da1d58df9894bad36109587e6fb3547664078d50e6e2f11d32335,48ce80512e65b190a6f0cf6fc8fa48583323475042514db9ad2d33c88118fce9,-1,1
13,Training/OT/_432.jpg,6,3ea8bfee22797981177d5a043befee1f867bfa4e56b75447b4c238925a4b2174,62d9b13e995cf862a05a9a853faac426ed09561b85a33f84b12f151197cbf55d,-1,1
14,Training/Gum/_433.jpg,2,4912c5abb4dab79cda12a750c12c517f66fd851a692bdb83e0afac3dc7042c88,3f7a58918b11df79f162d393b596ec5c0ca40ce3e591b616ed3cf923c9a7cf7f,-1,1
15,Training/MC/_415.jpg,3,cc099359756ff5dab701526c143c74561ecb7c488412ead139c585f3e7af3baa,ce03ff6c39a4f4dcd5edca46dd6f4a4f5d3cecb2466d4a0217ea9a1962e643a5,-1,1
16,Training/MC/_408.jpg,3,33954ef6a2ede102d1eb6f77ddf7cb7c93f85b43cb13b8a42d73576acb35fe88,0f6378fa469a23e529b29cc15c661ef74059e7548b83af412f4e40c9045fdc87,-1,1
17,Training/MC/_462.jpg,3,a747d4a81253b79ddfa1b8fd04f732240836a087837c0246cf48f1a87c8e1267,d8a9f797bff3f9f925cf224a986e17cba895b2980c3aa388cb933acc8b2402df,-1,1
18,Training/CaS/_409.jpg,0,3f4c5ec6417bbf7c38d4fa9cf2a6b68f557b1b7c0e0bef09a1eabb189c105855,8562aa5831d25565358b73ddaef9d43517426b63ff4cb9c5596366183648becf,-1,1
19,Training/MC/_426.jpg,3,b4c8d54e60986f61e8b37793516e6f2e09de143b3d0557574e99687d38f35c82,d70ef830f453c8579b668f406dcc211b8c2e0a2f7f0ed25e8ee9609bcb56e0ec,-1,1
20,Training/CaS/_455.jpg,0,6ce7333b20773476789968b36dc9a3ecd84a076b62aadb6973c90b87f1319efd,a82ee4e2fe4aeb7f6dce98c3fb76ffe6b466a311f313d8ea08bfba8d6eb9eca9,-1,1
21,Training/OT/_445.jpg,6,1ce6f0c4f8bb2baa609b08a1e8f99a9701846d79274b99aef83cdc2316b56515,1d502821e355b3264f17606076bfceeaf11da1529aa44c817123f8f25c6c1e58,-1,1
22,Training/OLP/_403.jpg,5,e3075dc3c9af1272ac7fd1c7450e8fc052a1218b2aab127205baf2d43ce934d2,d2bd8f1399c6d0fdeb127971359e8243d4783d3f1fd4657b1fc2e28e85bfb304,-1,1
23,Training/MC/_465.jpg,3,fd5682f5f8eaea6eb66460b02890c5a7a948efb233a2cdb5c91a5d6b8095137e,651f1c13842855b9ccc533383c25733e938b73423cf12d3bf89b8a92a645ef9f,0,2
24,Training/OC/_439.jpg,4,af2c427d870298a8a3ff0503d7c5791ef8c5d0d874add81b0b5600d92889072f,b508500c2418591caa08386c7cbc96c727b84012823dc9b09c464a986c5bff92,2,2
25,Training/OLP/_424.jpg,5,7500cae5a9d574f0815ce930b974f5e3e58df9e6d97b6b71d03f4ef253366201,faecf5c3ed8850dd9cfb5b1ee349f6d5e7ff6ee12e69d2f513f7755ce46e5baa,-1,1
26,Training/CoS/_422.jpg,1,60c90e58c975cf41487b86a6b82b4e650e3a3fc6e8769ac5949e0911278eecc4,4eaba4101a26e7796e0026809883350113a9f7318c6fd68336f4fa7886c40c52,-1,1
27,Training/MC/_440.jpg,3,bfd7722d30a6a0f355aa950d13493bdc1a83b854b755a5f24122cc7d57df3cfe,8c9907e11b743b6d06182657cb714cce46f3eccfbd591d5c03550a5e9aecc31d,-1,1
28,Training/MC/_403.jpg,3,4b6357436733a86e336bf2a26dc63e885e914c6fda3797e5112aefa99c3201d3,e10df6b4cb093d499f8225ecebdb8cbed4146be8a1650d47617cc5fb6deb2a6d,-1,1
29,Training/CaS/_415.jpg,0,ae734fc24ce2bedc92f19e34a19d6ab7da6f9b616cd7f5d811f640f5b8b0bae1,ba089e656135a380ca2edecc705e0eee7a49a9aca0228db966ac57b9da14815c,-1,1
30,Training/Gum/_410.jpg,2,c010319d20b9cacc2123826b468baeb9c9f777f885f3956cbb662e7bca2b9261,776386d79cc6056d1ee32e423e34190e914449d159dbb53f7a40fa60467ff24d,-1,1
31,Training/CoS/_432.jpg,1,5d9ebdf5fdd4605291a96ff8aba54e60d7e264fbb71e4824050244b6e8382f35,fd267f9a39225ac5ec807d58ca66e25f1309c9bead9568b2d7316316617759c9,-1,1
32,Training/CaS/_400.jpg,0,cb9c411209a3b7fa3d65be3d040a0cf8e56ed1f54da3ded0a32f16571ee99aca,c8262b84943430f295b3fb57db0000ef11eabf0bba8d4faa71853b81238370b9,-1,1
33,Training/Gum/_402.jpg,2,38d5bcac0d476cfc04c30c44c08da090572e0486aa28de48556f050df4cdb680,8cae51909f083440d8523406efb7cc5870ae17ab7abc095a9321814707547f0d,-1,1
34,Training/OC/_412.jpg,4,f893b5528c3ac5b212549ffd387be913d9195eb169a4adbb85fca70726cc9e74,15edc32fee9dd0fec6a4d2d36d67dd301488cc2fb4422b8e0191ebae8dc0401c,-1,1
35,Training/OC/_424.jpg,4,fd5c86d18d4396219c4991277cab7ad4f2f583913f64894b6b0c310056c9a188,4d1b926b30d06099250f561f156ef90475c9bc86f3d84c021458d61adcb68501,-1,1
36,Training/CaS/_456.jpg,0,fce8bc809e83533dc6ae382ceabe0eecffabb2c131f48dbe926eec5e1d2bc832,29a169299d9e3a95957ec5a9682a8cb2d34e8620ac5bd9faa57dec86ca7e378b,-1,1
37,Training/OLP/_431.jpg,5,5e5cdd0e3e48d86c0762bb76e7d8e27c7b46bb1825157e4f854338687e2a4fe2,a6662dc4e2667c21936d8f0ba9fa33bf502b8e13c23bdd5ef9b6b715db614dc4,-1,1
38,Training/CoS/_419.jpg,1,7af947d478bfaa1c9964f5a687fe21a199518dcd0850a475cb9bb32f4bc1b16f,942a8ee62a4fa8afcb4e78f8f11646822097f27519b5bae857d7307719086cd2,-1,1
39,Training/OLP/_443.jpg,5,173a196752b607ea29662b2ae7547e13f1083793d1b36acb6c68c1e928fa97b3,934f9af2a7e8558409c6438d23ca63bb2a89dddb51c9fcfe5af5c1e9f6b10089,-1,1
40,Training/OLP/_416.jpg,5,7ffa4dcd0e5fdf784450ee0e97216b63ff76b5ab91ca7a1e8bf672e12ca49266,46f9779309a229c4bf3c5418ab831e74b46977260cdb95577027b3df97ccfb28,-1,1
41,Training/OT/_408.jpg,6,4370e7a6b780ec68a229a21dce2bd55e55f21428c71dd77ebc24fb3fc99f64f8,7cdacd19e0425946ea3299f1ac605dc4edea1e87b831ebcb003a1a6ca29bc869,-1,1
42,Training/Gum/_418.jpg,2,a0b7a4fa0bcd18dfe419d0adcbbc5bd05948c224a9121dd695e018f4673a7f2f,c6263f1405b87e8c4669c43d07c0f598a1495f7e474d4b4e346f36c99f627c61,-1,1
43,Training/CoS/_452.jpg,1,caa05bb96655984ed1799e4bba8a523a6202ecda2d141152078302d20fff5b92,aeea8a21270c6568858ae4ba6bbe00db215c441681ce18b274a11407d533b791,-1,1
44,Training/CoS/_439.jpg,1,954308bc6bf375a1faf9cbd4b61c909c65ff1aee3cb06f9f10836dc12bbad9d1,e68cf43f4420b52440723d428c707af7cda1960c4ad2683cc28d56900fe0394c,-1,1
45,Training/OLP/_428.jpg,5,589872dda412b21bcfacc180fa5c113399b84f3efdfacfbe38fde11a5b08b4b6,bc288954bdbda862a032285ef8d54082a80ca100c72ab66a08196ace56ff89f9,-1,1
46,Training/CaS/_425.jpg,0,bb102334d869dcddf2b75dd2231d02aacdf45b120eba3a32d5db3cdd6114f003,87c1780c0338a16dc3eeaf1ce3d48d21d65046e05a4b7bea5fc27feb729a85f8,-1,1
47,Training/OT/_413.jpg,6,213453948ae51540d0048377f921041cdeab810827e5a2f8d4a4bb4413eb1764,a28910d1963c4937e5ba7aebad6a6a6849c6c27ff229165792eedc9ebbbd75b0,-1,1
48,Training/MC/_404.jpg,3,4348a9fc8c23c57ce8b52f816c67eabaedde4f4dfd3b9ae5a47da41bc2eaa475,26970bfa6dce2b7c30125cab8769f396c42a02c82def79b7ecec8c24ee384349,-1,1
49,Training/Gum/_404.jpg,2,9cf073e1d2b6e009d624833b669d5cbed2674ac38c85c81f6403ea78843fa5e9,a46641f50077aef8c48128f92bd319ea5d0a6ed3ef2a9ad49129fa23146dc571,-1,1
50,Training/Gum/_423.jpg,2,f7172ae9cf53ab84a19e3272f70acee2ff779264b0f5c1b2e9791c18940d774f,c88d093f86de49e9f6c76b0b910d0c80c58c6ab4c5453cedb9312b2a11e1365a,-1,1
51,Training/CaS/_422.jpg,0,982d92247b83345988ad74b4a4b06fe43da3465652cb7e15394284c3abfb989e,d4e28634f856b8bdce9273330ef179886e0d1fb6f4a478628ab0095e8a0c95b1,-1,1
52,Training/CoS/_454.jpg,1,76976bc680d2c514c776c3ab0f8b4289177e7c0f6327010e4c0fac0a39f2233d,65e37ed9c1830d41b9cca1e81881444fcdd1746a59f933a1080d5562a71de984,-1,1
53,Training/CaS/_446.jpg,0,a37a04f76c6495aef1baf559ba2906d102513f14006c27be21e0186ec1240689,92116ee506f06ecdd4c27726dab9bf616bf4ed5174c6aa65292e0aa4156dd8cf,3,2
54,Training/OT/_438.jpg,6,c73e07852daf9cff827b63c622ec00f45567582b1422958327c65a8be5e1f392,c97140d4a8f720290ee63e3f4b39ca6ccb32003bcf7e57ce016d740e4ce96054,-1,1
55,Training/OT/_420.jpg,6,b5317737b6bc9ee4ad85d8850b1d21d983f1ba21b229acb67afde7589a0b6502,1d5a02e6f3a79692eecc730690ecc464d7181c4e3ec7740003bfafc3f78c3aa8,-1,1
56,Training/CoS/_410.jpg,1,15f078fef133d311b6dec63664b1db665c634b2d1d9dc72a2f2f5ba3f6380316,1a6c584876d8311db19e6c0e36e1fd87491eec49bba6ea1deba08339517afb85,-1,1
57,Training/CoS/_409.jpg,1,64dd1ee4026a27ade19b62473d9db3870fac729cbdda2ad4db65b220f8d6670b,e76e32082c2bce4c977998bb85831ff168e57e21e719f68884921424ae439cb2,-1,1
58,Training/CaS/_439.jpg,0,fcf8e1e59a692d246783a2c3e90ff9ea14bd3bb56aecce094fe24e3a5e2d94df,5a544ff208af8e72697389d781c57f2608912931b0c39b3e5f6d1d85ca6b8d3a,-1,1
