dataset,arm,bacc_full,bacc_leakfree,bacc_nonleaked,bacc_conflict_excluded,bacc_leaked_only,full_minus_leakfree,leaked_minus_nonleaked,n_leaked_total,n_leakfree_total,n_conflict_excluded_total,folds_leaked_only_all_classes_present
aptos2019,B0,0.6457036359493563,0.6385801757462615,0.6385801757462615,0.6397721564837303,0.6729521210777146,0.007123460203094845,0.03437194533145316,592,10394,10353,15
aptos2019,B1,0.6554548011915637,0.643905962483478,0.643905962483478,0.644215631031624,0.7199748319180723,0.011548838708085762,0.07606886943459434,592,10394,10353,15
aptos2019,B2,0.646060137363265,0.6401902748810381,0.6401902748810381,0.6419071107064659,0.6590101702181167,0.005869862482226873,0.018819895337078618,592,10394,10353,15
aptos2019,B3,0.6636538848253793,0.6611390940207452,0.6611390940207452,0.6633793157860322,0.6289533194283453,0.002514790804634126,-0.03218577459239991,592,10394,10353,15
aptos2019,B4,0.6649790345496154,0.6578299057251494,0.6578299057251494,0.6590536280904065,0.684311447803811,0.0071491288244659446,0.026481542078661602,592,10394,10353,15
aptos2019,B5,0.644048393316875,0.6377459673567131,0.6377459673567131,0.6390289619322632,0.6443602547015342,0.00630242596016195,0.006614287344821168,592,10394,10353,15
aptos2019,B5s,0.6462757317609816,0.6390343986968383,0.6390343986968383,0.6405325412463366,0.6015953413287778,0.007241333064143318,-0.037439057368060524,592,10394,10353,15
aptos2019,B0d,0.6282280398333026,0.616071307647959,0.616071307647959,0.6168361556811072,0.7109943363023858,0.012156732185343522,0.09492302865442681,592,10394,10353,15
aptos2019,B1d,0.632086311758716,0.619929695971084,0.619929695971084,0.620853941818577,0.7120893338973835,0.012156615787631941,0.09215963792629944,592,10394,10353,15
aptos2019,B3d,0.635644061077903,0.6261660401627437,0.6261660401627437,0.6271804872431709,0.6915739073409867,0.009478020915159369,0.06540786717824298,592,10394,10353,15
aptos2019,B4d,0.6370332824458066,0.6252979569180811,0.6252979569180811,0.6264684349490217,0.7097532012535107,0.011735325527725493,0.08445524433542961,592,10394,10353,15
oral_diseases,A0,0.7438928663928664,0.7283383209334117,0.7283383209334117,0.7283383209334117,1.0,0.015554545459454783,0.27166167906658834,76,1472,1472,0
oral_diseases,A1,0.739904043325096,0.7236247454447365,0.7236247454447365,0.7236247454447365,1.0,0.016279297880359422,0.27637525455526346,76,1472,1472,0
oral_diseases,A2,0.7470267743951955,0.7321399000445883,0.7321399000445883,0.7321399000445883,1.0,0.014886874350607204,0.2678600999554117,76,1472,1472,0
oral_diseases,A3,0.7333181535813115,0.7185496515295277,0.7185496515295277,0.7185496515295277,1.0,0.014768502051783816,0.28145034847047234,76,1472,1472,0
oral_diseases,A4,0.7344494345810136,0.7180646442112607,0.7180646442112607,0.7180646442112607,1.0,0.016384790369752933,0.2819353557887393,76,1472,1472,0
oral_diseases,A5,0.7071168159326054,0.6879493308794502,0.6879493308794502,0.6879493308794502,1.0,0.019167485053155242,0.3120506691205498,76,1472,1472,0
oral_diseases,A5s,0.7383364101785155,0.7217165939700217,0.7217165939700217,0.7217165939700217,1.0,0.016619816208493732,0.27828340602997825,76,1472,1472,0
oral_diseases,A0d,0.6974539495592127,0.67579133047731,0.67579133047731,0.67579133047731,1.0,0.0216626190819027,0.32420866952269,76,1472,1472,0
oral_diseases,A2d,0.6955247822353086,0.6736862720796821,0.6736862720796821,0.6736862720796821,1.0,0.021838510155626434,0.3263137279203179,76,1472,1472,0
