dataset,arm,wave,fold,variant,n_test,n_excluded,n_leaked_in_fold,n_conflict_in_fold,n_leaked_and_conflict,bacc,mcc,per_class_recall,per_class_n,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4,recall_c5,recall_c6
aptos2019,B0,w1,0,full,733,0,39,9,7,0.6711051026214648,0.7514505306807671,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]","[361, 74, 200, 39, 59]",0.9833795013850416,0.5675675675675675,0.835,0.41025641025641024,0.559322033898305,,
aptos2019,B0,w1,0,leakfree,694,39,39,9,7,0.6541582955857408,0.7462427862933145,"[0.9860724233983287, 0.5230769230769231, 0.8241758241758241, 0.37142857142857144, 0.5660377358490566]","[359, 65, 182, 35, 53]",0.9860724233983287,0.5230769230769231,0.8241758241758241,0.37142857142857144,0.5660377358490566,,
aptos2019,B0,w1,0,conflict_excluded,692,41,39,9,7,0.6546740839039709,0.7471057694591418,"[0.9860724233983287, 0.5230769230769231, 0.8241758241758241, 0.38235294117647056, 0.5576923076923077]","[359, 65, 182, 34, 52]",0.9860724233983287,0.5230769230769231,0.8241758241758241,0.38235294117647056,0.5576923076923077,,
aptos2019,B0,w1,0,leaked_only,39,694,39,9,7,0.7166666666666666,0.7436397225293517,"[0.5, 0.8888888888888888, 0.9444444444444444, 0.75, 0.5]","[2, 9, 18, 4, 6]",0.5,0.8888888888888888,0.9444444444444444,0.75,0.5,,
aptos2019,B0,w1,1,full,733,0,31,11,7,0.6427510783418102,0.7039616475677131,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]","[361, 74, 200, 39, 59]",0.9695290858725761,0.6756756756756757,0.735,0.358974358974359,0.4745762711864407,,
aptos2019,B0,w1,1,leakfree,702,31,31,11,7,0.6397947413741499,0.7010042850676659,"[0.9693593314763231, 0.6571428571428571, 0.717391304347826, 0.38235294117647056, 0.4727272727272727]","[359, 70, 184, 34, 55]",0.9693593314763231,0.6571428571428571,0.717391304347826,0.38235294117647056,0.4727272727272727,,
aptos2019,B0,w1,1,conflict_excluded,698,35,31,11,7,0.6400666925566836,0.7027385680791408,"[0.9693593314763231, 0.6571428571428571, 0.7197802197802198, 0.38235294117647056, 0.4716981132075472]","[359, 70, 182, 34, 53]",0.9693593314763231,0.6571428571428571,0.7197802197802198,0.38235294117647056,0.4716981132075472,,
aptos2019,B0,w1,1,leaked_only,31,702,31,11,7,0.7275,0.6631516297904693,"[1.0, 1.0, 0.9375, 0.2, 0.5]","[2, 4, 16, 5, 4]",1.0,1.0,0.9375,0.2,0.5,,
aptos2019,B0,w1,2,full,732,0,42,17,13,0.669678888616773,0.7435886113176439,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]","[361, 74, 200, 38, 59]",0.9861495844875346,0.6351351351351351,0.79,0.39473684210526316,0.5423728813559322,,
aptos2019,B0,w1,2,leakfree,690,42,42,17,13,0.6750327623958908,0.7487120123597825,"[0.9888268156424581, 0.6153846153846154, 0.7828571428571428, 0.4166666666666667, 0.5714285714285714]","[358, 65, 175, 36, 56]",0.9888268156424581,0.6153846153846154,0.7828571428571428,0.4166666666666667,0.5714285714285714,,
aptos2019,B0,w1,2,conflict_excluded,686,46,42,17,13,0.674516082294987,0.7513562444315315,"[0.988795518207283, 0.625, 0.7873563218390804, 0.4, 0.5714285714285714]","[357, 64, 174, 35, 56]",0.988795518207283,0.625,0.7873563218390804,0.4,0.5714285714285714,,
aptos2019,B0,w1,2,leaked_only,42,690,42,17,13,0.4568888888888889,0.5069554822702492,"[0.6666666666666666, 0.7777777777777778, 0.84, 0.0, 0.0]","[3, 9, 25, 2, 3]",0.6666666666666666,0.7777777777777778,0.84,0.0,0.0,,
aptos2019,B0,w1,3,full,732,0,36,12,6,0.6579334418694952,0.7282364184219957,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]","[361, 74, 200, 38, 59]",0.9806094182825484,0.6621621621621622,0.77,0.3684210526315789,0.5084745762711864,,
aptos2019,B0,w1,3,leakfree,696,36,36,12,6,0.6503548606071956,0.723880765697933,"[0.9832869080779945, 0.6470588235294118, 0.75, 0.37142857142857144, 0.5]","[359, 68, 180, 35, 54]",0.9832869080779945,0.6470588235294118,0.75,0.37142857142857144,0.5,,
aptos2019,B0,w1,3,conflict_excluded,690,42,36,12,6,0.6528669468558586,0.7269493976211211,"[0.9832869080779945, 0.6567164179104478, 0.751412429378531, 0.38235294117647056, 0.49056603773584906]","[359, 67, 177, 34, 53]",0.9832869080779945,0.6567164179104478,0.751412429378531,0.38235294117647056,0.49056603773584906,,
aptos2019,B0,w1,3,leaked_only,36,696,36,12,6,0.6433333333333333,0.6819815728451059,"[0.5, 0.8333333333333334, 0.95, 0.3333333333333333, 0.6]","[2, 6, 20, 3, 5]",0.5,0.8333333333333334,0.95,0.3333333333333333,0.6,,
aptos2019,B0,w1,4,full,732,0,43,13,9,0.6217396951613836,0.6958101207929825,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]","[361, 74, 199, 39, 59]",0.9806094182825484,0.47297297297297297,0.7537688442211056,0.358974358974359,0.5423728813559322,,
aptos2019,B0,w1,4,leakfree,689,43,43,13,9,0.6092852313614848,0.6886609539402726,"[0.9805013927576601, 0.421875, 0.7371428571428571, 0.35135135135135137, 0.5555555555555556]","[359, 64, 175, 37, 54]",0.9805013927576601,0.421875,0.7371428571428571,0.35135135135135137,0.5555555555555556,,
