variant,dataset,comparison,arm,base,mean_diff,ci_lo,ci_hi,ttest_p_nb,se_nb,r3_adopt,mean_diff_full,delta_delta_vs_full
full,aptos2019,B3 - B1,B3,B1,0.008199083633815763,-0.013230343468915173,0.0296285107365467,0.4256188696052361,0.009991402512636348,False,0.008199083633815763,0.0
full,aptos2019,B4 - B1,B4,B1,0.009524233358051666,-0.011837097114380983,0.030885563830484318,0.3551526343300563,0.009959652674444095,False,0.009524233358051666,0.0
full,aptos2019,B3d - B1d,B3d,B1d,0.0035577493191871535,-0.019566159489349966,0.026681658127724276,0.7462948196257873,0.01078144924099012,False,0.0035577493191871535,0.0
full,aptos2019,B4d - B1d,B4d,B1d,0.004946970687090587,-0.011922041924739005,0.02181598329892018,0.5394929407816864,0.007865123700579438,False,0.004946970687090587,0.0
leakfree,aptos2019,B3 - B1,B3,B1,0.017233131537267205,-0.00675512669828502,0.04122138977281943,0.14565708968077254,0.011184449423658276,False,0.008199083633815763,0.009034047903451442
leakfree,aptos2019,B4 - B1,B4,B1,0.013923943241671507,-0.008808957991775782,0.0366568444751188,0.21007331338292923,0.010599143197553498,False,0.009524233358051666,0.00439970988361984
leakfree,aptos2019,B3d - B1d,B3d,B1d,0.006236344191659615,-0.01843332250812344,0.030906010891442674,0.5962133703467264,0.011502153961862192,False,0.0035577493191871535,0.0026785948724724613
leakfree,aptos2019,B4d - B1d,B4d,B1d,0.005368260946997102,-0.01409212916956323,0.024828651063557434,0.5635163203433086,0.009073345254419132,False,0.004946970687090587,0.0004212902599065151
conflict_excluded,aptos2019,B3 - B1,B3,B1,0.019163684754407922,-0.005565735786673891,0.04389310529548973,0.11871729395322334,0.011530014001107758,False,0.008199083633815763,0.010964601120592159
conflict_excluded,aptos2019,B4 - B1,B4,B1,0.014837997058782311,-0.00821553035085567,0.03789152446842029,0.18909069924289498,0.01074863413667433,False,0.009524233358051666,0.0053137637007306445
conflict_excluded,aptos2019,B3d - B1d,B3d,B1d,0.006326545424593825,-0.01667569573629327,0.02932878658548092,0.5646558605781373,0.010724722085634571,False,0.0035577493191871535,0.0027687961054066713
conflict_excluded,aptos2019,B4d - B1d,B4d,B1d,0.005614493130444746,-0.013886195607219019,0.025115181868108512,0.5468111780172893,0.009092134358869679,False,0.004946970687090587,0.0006675224433541592
full,oral_diseases,A3 - A1,A3,A1,-0.006585889743784475,-0.04646519342979272,0.033293413942223765,0.7284655841498936,0.018593599032789485,False,-0.006585889743784475,0.0
full,oral_diseases,A4 - A1,A4,A1,-0.005454608744082449,-0.01693752495740432,0.006028307469239424,0.3255747144582786,0.0053538733143059965,False,-0.005454608744082449,0.0
leakfree,oral_diseases,A3 - A1,A3,A1,-0.005075093915208928,-0.049210995982145594,0.039060808151727744,0.8087783683934437,0.020578224545856616,False,-0.006585889743784475,0.0015107958285755473
leakfree,oral_diseases,A4 - A1,A4,A1,-0.0055601012334758485,-0.01777516491362133,0.006654962446669633,0.34549813874407037,0.00569523475176176,False,-0.005454608744082449,-0.0001054924893933995
conflict_excluded,oral_diseases,A3 - A1,A3,A1,-0.005075093915208928,-0.049210995982145594,0.039060808151727744,0.8087783683934437,0.020578224545856616,False,-0.006585889743784475,0.0015107958285755473
conflict_excluded,oral_diseases,A4 - A1,A4,A1,-0.0055601012334758485,-0.01777516491362133,0.006654962446669633,0.34549813874407037,0.00569523475176176,False,-0.005454608744082449,-0.0001054924893933995
