fold_id,repeat,fold_in_repeat,n_test,test_images_with_copy_in_train,overlapping_clusters,leaked_test_pool_indices
0,0,0,733,39,39,70;113;355;356;433;450;471;710;841;1134;1197;1386;1393;1486;1641;1689;1743;1750;1928;1960;2013;2120;2181;2240;2466;2522;2862;2954;3029;3030;3033;3063;3416;3488;3526;3531;3554;3622;3657
1,0,1,733,31,30,115;160;167;212;250;646;663;674;865;897;1072;1247;1356;1497;1683;1807;1819;1862;2155;2301;2391;2514;2691;2995;3005;3433;3461;3466;3480;3603;3632
2,0,2,732,42,41,5;45;52;98;148;177;184;240;276;363;482;542;656;682;845;1004;1013;1085;1145;1336;1375;1682;1693;1726;1861;1890;1909;2020;2156;2196;2363;2387;2468;2787;2863;2890;3000;3387;3400;3415;3494;3535
3,0,3,732,36,35,27;48;194;278;315;368;505;590;705;744;877;962;998;1038;1056;1616;1645;1651;1657;2048;2130;2143;2149;2502;2847;2900;2949;2958;3002;3062;3074;3429;3560;3586;3614;3619
4,0,4,732,43,43,156;187;214;216;220;239;415;425;434;467;596;939;1109;1190;1246;1323;1379;1438;1520;1559;1871;1949;2151;2229;2255;2297;2308;2342;2399;2606;2859;2860;2892;2899;2906;3019;3037;3098;3100;3396;3452;3476;3521
5,1,0,733,35,34,48;187;214;356;433;590;596;646;663;674;841;962;1109;1379;1438;1567;1641;1651;1657;1683;1743;1861;1949;1991;2363;2787;3037;3063;3074;3098;3389;3416;3516;3521;3648
6,1,1,733,36,35,27;70;113;351;399;425;505;595;651;710;733;742;865;1056;1235;1246;1363;1393;1486;1645;1726;1781;1873;2130;2151;2466;2691;2863;3005;3030;3488;3531;3554;3559;3614;3619
7,1,2,732,37,37,40;184;194;220;450;542;744;1062;1329;1375;1396;1497;1510;1750;1807;1808;1862;1871;2149;2156;2229;2255;2301;2413;2468;2522;2606;2900;2958;3019;3029;3052;3387;3560;3622;3632;3657
8,1,3,732,47,47,5;156;169;216;217;250;314;415;467;682;761;897;939;1085;1189;1190;1225;1336;1356;1520;1559;1689;1890;1896;1928;2048;2120;2143;2155;2196;2297;2308;2399;2508;2859;2860;2862;2892;2954;2961;3000;3396;3461;3494;3526;3532;3586
9,1,4,732,41,41,13;98;115;148;167;212;240;272;471;482;535;677;705;845;998;1004;1013;1134;1352;1367;1403;1422;1468;1570;1616;1693;1909;1960;2013;2047;2502;2514;2890;2906;2949;2995;3062;3104;3400;3429;3466
10,2,0,733,45,44,27;212;278;425;467;542;590;595;656;682;705;761;962;1056;1190;1247;1379;1386;1559;1567;1570;1645;1743;1781;1819;1862;1928;1991;2020;2196;2240;2413;2466;2890;2892;2949;3000;3030;3033;3052;3063;3098;3429;3559;3575
11,2,1,733,34,34,5;98;160;177;184;217;314;434;1109;1134;1189;1422;1807;1808;1896;1960;2007;2047;2060;2229;2297;2502;2859;2995;3062;3104;3416;3476;3494;3509;3516;3531;3619;3657
12,2,2,732,39,39,13;70;156;169;239;272;356;399;646;710;782;841;1013;1038;1235;1396;1486;1497;1657;1861;1871;2013;2151;2155;2308;2342;2397;2468;2522;2906;3002;3389;3461;3466;3521;3526;3586;3614;3622
13,2,3,732,44,44,40;52;113;115;148;167;194;240;250;276;363;428;433;482;505;663;677;742;1072;1085;1197;1225;1246;1323;1352;1403;1510;1538;2130;2149;2181;2277;2399;2514;2860;2862;2900;2951;2985;3005;3396;3400;3532;3648
14,2,4,732,43,41,48;187;368;450;544;651;674;733;744;939;1004;1062;1329;1363;1367;1375;1393;1438;1520;1616;1641;1689;1726;1750;1873;1890;2048;2120;2255;2391;2847;2863;2954;2958;2961;3019;3074;3100;3415;3480;3535;3554;3603
