fold_id,repeat,fold_in_repeat,n_test,test_images_with_copy_in_train,overlapping_clusters,leaked_test_pool_indices
0,0,0,104,4,4,23;133;171;179
1,0,1,103,6,6,1;160;329;395;432;440
2,0,2,103,8,8,2;53;251;254;371;420;452;470
3,0,3,103,3,3,65;141;283
4,0,4,103,3,3,334;366;453
5,1,0,104,7,7,23;53;65;160;395;471;494
6,1,1,103,4,4,1;24;366;420
7,1,2,103,5,5,171;254;371;387;452
8,1,3,103,9,9,2;141;179;251;283;288;329;432;453
9,1,4,103,5,5,133;334;440;470;499
10,2,0,104,5,5,53;133;334;452;471
11,2,1,103,5,5,2;23;288;387;432
12,2,2,103,3,3,141;171;494
13,2,3,103,6,6,1;24;251;283;440;453
14,2,4,103,3,3,160;254;499
