bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test,head,feats,lever,rank_violation_rows,bias_ordered,biases
0.6945449340783865,0.6889457172180967,0.2551159618008186,"[0.9473684210526315, 0.6756756756756757, 0.615, 0.6923076923076923, 0.5423728813559322]",B3_legacy_repro,aptos2019,0,2929,733,legacy,panderm,rebalance,550,True,"[0.38364318013191223, -0.6837833523750305, -1.437422752380371, -1.4783607721328735]"
0.6695709392230355,0.6735035603496918,0.27967257844474763,"[0.9473684210526315, 0.7027027027027027, 0.6, 0.5384615384615384, 0.559322033898305]",B3_legacy_repro,aptos2019,1,2929,733,legacy,panderm,rebalance,549,True,"[0.40892601013183594, -0.6822022199630737, -1.4363950490951538, -1.4817084074020386]"
0.6723366685150806,0.6609607619246742,0.28688524590163933,"[0.9473684210526315, 0.7297297297297297, 0.52, 0.6052631578947368, 0.559322033898305]",B3_legacy_repro,aptos2019,2,2930,732,legacy,panderm,rebalance,546,True,"[0.3904171288013458, -0.7354162335395813, -1.4406734704971313, -1.4799261093139648]"
0.6642890606461667,0.650442753173908,0.29508196721311475,"[0.9279778393351801, 0.7297297297297297, 0.55, 0.6052631578947368, 0.5084745762711864]",B3_legacy_repro,aptos2019,3,2930,732,legacy,panderm,rebalance,557,True,"[0.4182949364185333, -0.7306767702102661, -1.4327991008758545, -1.4816895723342896]"
0.6442905882279614,0.6562431305614627,0.2814207650273224,"[0.9445983379501385, 0.581081081081081, 0.5979899497487438, 0.5384615384615384, 0.559322033898305]",B3_legacy_repro,aptos2019,4,2930,732,legacy,panderm,rebalance,544,True,"[0.3845796585083008, -0.6750624179840088, -1.4453320503234863, -1.4835233688354492]"
0.6482167057644779,0.6503005764410357,0.28512960436562074,"[0.9529085872576177, 0.6486486486486487, 0.55, 0.5641025641025641, 0.5254237288135594]",B3_legacy_repro,aptos2019,5,2929,733,legacy,panderm,rebalance,537,True,"[0.36120325326919556, -0.7342507243156433, -1.449181079864502, -1.4847317934036255]"
0.6986790627535734,0.6972650121665909,0.2592087312414734,"[0.9501385041551247, 0.7027027027027027, 0.615, 0.6153846153846154, 0.6101694915254238]",B3_legacy_repro,aptos2019,6,2929,733,legacy,panderm,rebalance,544,True,"[0.4222162365913391, -0.7039893865585327, -1.442454218864441, -1.4801069498062134]"
0.6610944911764669,0.6613999931037893,0.2923497267759563,"[0.9362880886426593, 0.7432432432432432, 0.58, 0.6052631578947368, 0.4406779661016949]",B3_legacy_repro,aptos2019,7,2930,732,legacy,panderm,rebalance,539,True,"[0.41238585114479065, -0.7046354413032532, -1.4352688789367676, -1.4842547178268433]"
0.6831477711807304,0.669400410904098,0.27595628415300544,"[0.9418282548476454, 0.6621621621621622, 0.57, 0.631578947368421, 0.6101694915254238]",B3_legacy_repro,aptos2019,8,2930,732,legacy,panderm,rebalance,543,True,"[0.4133630692958832, -0.7322525978088379, -1.4368937015533447, -1.4774147272109985]"
0.612489678210012,0.6300029481794517,0.31420765027322406,"[0.9335180055401662, 0.6081081081081081, 0.592964824120603, 0.48717948717948717, 0.4406779661016949]",B3_legacy_repro,aptos2019,9,2930,732,legacy,panderm,rebalance,557,True,"[0.3791917860507965, -0.6324716806411743, -1.439928650856018, -1.475257158279419]"
0.6833396972004419,0.6757166556940809,0.27012278308321963,"[0.9362880886426593, 0.6891891891891891, 0.6, 0.5641025641025641, 0.6271186440677966]",B3_legacy_repro,aptos2019,10,2929,733,legacy,panderm,rebalance,548,True,"[0.3932480812072754, -0.7286557555198669, -1.441578984260559, -1.4799538850784302]"
0.6405587536490397,0.6373347360811683,0.31105047748976805,"[0.9168975069252078, 0.7567567567567568, 0.55, 0.5384615384615384, 0.4406779661016949]",B3_legacy_repro,aptos2019,11,2929,733,legacy,panderm,rebalance,553,True,"[0.4121909439563751, -0.6705529093742371, -1.4365565776824951, -1.4822461605072021]"
0.6465779131871436,0.6487230458254761,0.3087431693989071,"[0.9418282548476454, 0.7027027027027027, 0.55, 0.631578947368421, 0.4067796610169492]",B3_legacy_repro,aptos2019,12,2930,732,legacy,panderm,rebalance,552,True,"[0.400292307138443, -0.6409815549850464, -1.433613896369934, -1.482024073600769]"
0.671303277783629,0.6769740273619783,0.26366120218579236,"[0.9445983379501385, 0.6486486486486487, 0.625, 0.5789473684210527, 0.559322033898305]",B3_legacy_repro,aptos2019,13,2930,732,legacy,panderm,rebalance,530,True,"[0.4021344780921936, -0.729252278804779, -1.4415152072906494, -1.480032205581665]"
0.6643687307845462,0.6843218640560937,0.25546448087431695,"[0.961218836565097, 0.6351351351351351, 0.628140703517588, 0.48717948717948717, 0.6101694915254238]",B3_legacy_repro,aptos2019,14,2930,732,legacy,panderm,rebalance,539,True,"[0.36962056159973145, -0.7329034209251404, -1.4404860734939575, -1.480474591255188]"
