block,head,epochs,lr,seed,bias_in_weights,preinit_bias,bacc,train_loss,grad_norm,weight_norm,rank_violation_rows,per_class_recall,severe_recall
parameterisation,coral_true,200,0.01,0,False,False,0.5120047579822218,1.227859377861023,0.21260082721710205,1.6738680601119995,0,"[0.7617728531855956, 0.4864864864864865, 0.37, 0.1282051282051282, 0.8135593220338984]",0.1282051282051282
parameterisation,coral_true,200,0.01,0,False,True,0.4765808930348111,1.2905162572860718,0.23454144597053528,1.8532044887542725,0,"[0.6149584487534626, 0.5405405405405406, 0.26, 0.15384615384615385, 0.8135593220338984]",0.15384615384615385
parameterisation,coral_true,200,0.01,0,True,False,0.5594868233396803,1.0621172189712524,0.1776675283908844,1.7524902820587158,0,"[0.9529085872576177, 0.3918918918918919, 0.51, 0.23076923076923078, 0.711864406779661]",0.23076923076923078
parameterisation,coral_true,200,0.01,0,True,True,0.5745145145723576,1.0483312606811523,0.2052219659090042,1.9243048429489136,0,"[0.8781163434903048, 0.5405405405405406, 0.46, 0.28205128205128205, 0.711864406779661]",0.28205128205128205
seed_spread,coral_true,200,0.01,0,False,False,0.5120047579822218,1.227859377861023,0.21260082721710205,1.6738680601119995,0,"[0.7617728531855956, 0.4864864864864865, 0.37, 0.1282051282051282, 0.8135593220338984]",0.1282051282051282
seed_spread,coral_true,200,0.01,1,False,False,0.5358017932446308,1.217771291732788,0.21186111867427826,1.7963167428970337,0,"[0.7811634349030471, 0.581081081081081, 0.375, 0.1282051282051282, 0.8135593220338984]",0.1282051282051282
seed_spread,coral_true,200,0.01,2,False,False,0.5162975331563529,1.2336980104446411,0.21307861804962158,1.579699993133545,0,"[0.7617728531855956, 0.5405405405405406, 0.38, 0.10256410256410256, 0.7966101694915254]",0.10256410256410256
seed_spread,coral_true,200,0.01,3,False,False,0.5167752250186167,1.234267234802246,0.21323427557945251,1.5805323123931885,0,"[0.7728531855955678, 0.5405405405405406, 0.38, 0.07692307692307693, 0.8135593220338984]",0.07692307692307693
seed_spread,coral_true,200,0.01,4,False,False,0.5257953969058247,1.2150561809539795,0.21175381541252136,1.844234824180603,0,"[0.7673130193905817, 0.5405405405405406, 0.405, 0.10256410256410256, 0.8135593220338984]",0.10256410256410256
epoch_trajectory,legacy,200,0.01,0,False,False,0.6945449340783865,0.5519562363624573,0.09710586816072464,6.081305503845215,550,"[0.9473684210526315, 0.6756756756756757, 0.615, 0.6923076923076923, 0.5423728813559322]",0.6923076923076923
epoch_trajectory,legacy,500,0.01,0,False,False,0.6646170553785935,0.3216240406036377,0.037727776914834976,11.795432090759277,547,"[0.9667590027700831, 0.6081081081081081, 0.65, 0.5897435897435898, 0.5084745762711864]",0.5897435897435898
epoch_trajectory,legacy,1000,0.01,0,False,False,0.6356010657029014,0.18359942734241486,0.01735645905137062,19.935955047607422,544,"[0.96398891966759, 0.6081081081081081, 0.695, 0.48717948717948717, 0.423728813559322]",0.48717948717948717
epoch_trajectory,legacy,2000,0.01,0,False,False,0.6350876270564989,0.08757323771715164,0.006938725709915161,32.772098541259766,545,"[0.9584487534626038, 0.581081081081081, 0.725, 0.48717948717948717, 0.423728813559322]",0.48717948717948717
epoch_trajectory,legacy,5000,0.01,0,False,False,0.6279799028822927,0.032808978110551834,0.0011151410872116685,59.7253303527832,525,"[0.9556786703601108, 0.5945945945945946, 0.73, 0.4358974358974359, 0.423728813559322]",0.4358974358974359
epoch_trajectory,legacy,10000,0.01,0,False,False,0.6348666545174362,0.021664490923285484,0.008516501635313034,93.12577056884766,414,"[0.9501385041551247, 0.5945945945945946, 0.71, 0.5128205128205128, 0.4067796610169492]",0.5128205128205128
epoch_trajectory,legacy,20000,0.01,0,False,False,0.6351438547946365,0.019224457442760468,0.015100465156137943,126.12345123291016,246,"[0.9501385041551247, 0.6216216216216216, 0.71, 0.48717948717948717, 0.4067796610169492]",0.48717948717948717
epoch_trajectory,coral_true,200,0.01,0,False,False,0.5120047579822218,1.227859377861023,0.21260082721710205,1.6738680601119995,0,"[0.7617728531855956, 0.4864864864864865, 0.37, 0.1282051282051282, 0.8135593220338984]",0.1282051282051282
epoch_trajectory,coral_true,500,0.01,0,False,False,0.5887505921773728,0.884501576423645,0.1008417084813118,3.429940700531006,0,"[0.8864265927977839, 0.5675675675675675, 0.435, 0.46153846153846156, 0.5932203389830508]",0.46153846153846156
epoch_trajectory,coral_true,1000,0.01,0,False,False,0.5968798133638736,0.6798490881919861,0.04630129784345627,6.3909759521484375,0,"[0.9085872576177285, 0.5675675675675675, 0.47, 0.5128205128205128, 0.5254237288135594]",0.5128205128205128
epoch_trajectory,coral_true,2000,0.01,0,False,False,0.5869574632471952,0.5243028402328491,0.018672477453947067,12.418758392333984,0,"[0.925207756232687, 0.581081081081081, 0.475, 0.5128205128205128, 0.4406779661016949]",0.5128205128205128
epoch_trajectory,coral_true,5000,0.01,0,False,False,0.5185771894066649,0.3776789605617523,0.040917035192251205,28.451570510864258,0,"[0.9307479224376731, 0.5135135135135135, 0.485, 0.3076923076923077, 0.3559322033898305]",0.3076923076923077
epoch_trajectory,coral_true,10000,0.01,0,False,False,0.5231819954717274,0.30729174613952637,0.6352944374084473,48.375614166259766,0,"[0.925207756232687, 0.47297297297297297, 0.495, 0.28205128205128205, 0.4406779661016949]",0.28205128205128205
epoch_trajectory,coral_true,20000,0.01,0,False,False,0.496694178036072,0.24935592710971832,0.5439732074737549,74.97252655029297,0,"[0.9224376731301939, 0.4189189189189189, 0.505, 0.1794871794871795, 0.4576271186440678]",0.1794871794871795
