arm,fold,n_test,rank_violation_rows,bias_ordered,rank_violation_frac,b0,b1,b2,b3,head
B3_legacy_repro,0,733,550,True,0.7503410641200545,0.38364318013191223,-0.6837833523750305,-1.437422752380371,-1.4783607721328735,legacy
B3_legacy_repro,1,733,549,True,0.7489768076398363,0.40892601013183594,-0.6822022199630737,-1.4363950490951538,-1.4817084074020386,legacy
B3_legacy_repro,2,732,546,True,0.7459016393442623,0.3904171288013458,-0.7354162335395813,-1.4406734704971313,-1.4799261093139648,legacy
B3_legacy_repro,3,732,557,True,0.7609289617486339,0.4182949364185333,-0.7306767702102661,-1.4327991008758545,-1.4816895723342896,legacy
B3_legacy_repro,4,732,544,True,0.7431693989071039,0.3845796585083008,-0.6750624179840088,-1.4453320503234863,-1.4835233688354492,legacy
B3_legacy_repro,5,733,537,True,0.732605729877217,0.36120325326919556,-0.7342507243156433,-1.449181079864502,-1.4847317934036255,legacy
B3_legacy_repro,6,733,544,True,0.7421555252387448,0.4222162365913391,-0.7039893865585327,-1.442454218864441,-1.4801069498062134,legacy
B3_legacy_repro,7,732,539,True,0.7363387978142076,0.41238585114479065,-0.7046354413032532,-1.4352688789367676,-1.4842547178268433,legacy
B3_legacy_repro,8,732,543,True,0.7418032786885246,0.4133630692958832,-0.7322525978088379,-1.4368937015533447,-1.4774147272109985,legacy
B3_legacy_repro,9,732,557,True,0.7609289617486339,0.3791917860507965,-0.6324716806411743,-1.439928650856018,-1.475257158279419,legacy
B3_legacy_repro,10,733,548,True,0.747612551159618,0.3932480812072754,-0.7286557555198669,-1.441578984260559,-1.4799538850784302,legacy
B3_legacy_repro,11,733,553,True,0.7544338335607094,0.4121909439563751,-0.6705529093742371,-1.4365565776824951,-1.4822461605072021,legacy
B3_legacy_repro,12,732,552,True,0.7540983606557377,0.400292307138443,-0.6409815549850464,-1.433613896369934,-1.482024073600769,legacy
B3_legacy_repro,13,732,530,True,0.7240437158469946,0.4021344780921936,-0.729252278804779,-1.4415152072906494,-1.480032205581665,legacy
B3_legacy_repro,14,732,539,True,0.7363387978142076,0.36962056159973145,-0.7329034209251404,-1.4404860734939575,-1.480474591255188,legacy
B3c,0,733,0,True,0.0,1.0814437866210938,-0.33610859513282776,-1.38619863986969,-1.7025140523910522,coral_true
B3c,1,733,0,True,0.0,1.087377905845642,-0.33495843410491943,-1.3873473405838013,-1.7029567956924438,coral_true
B3c,2,732,0,True,0.0,1.0830292701721191,-0.3380754888057709,-1.3885960578918457,-1.703201174736023,coral_true
B3c,3,732,0,True,0.0,1.081046223640442,-0.3450203537940979,-1.3924750089645386,-1.705163836479187,coral_true
B3c,4,732,0,True,0.0,1.081694483757019,-0.3406986892223358,-1.3898626565933228,-1.704227089881897,coral_true
B3c,5,733,0,True,0.0,1.0772844552993774,-0.34554171562194824,-1.3938015699386597,-1.7058433294296265,coral_true
B3c,6,733,0,True,0.0,1.0794256925582886,-0.34269094467163086,-1.3885931968688965,-1.7031153440475464,coral_true
B3c,7,732,0,True,0.0,1.0915541648864746,-0.327244371175766,-1.3859739303588867,-1.7034142017364502,coral_true
