dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B0,0,full,733,0.21964529331514324,0.4320365624484597
aptos2019,B0,0,leakfree,694,0.21757925072046108,0.4493583380932937
aptos2019,B0,0,conflict_excluded,692,0.21676300578034682,0.45029392858493295
aptos2019,B0,1,full,733,0.2742155525238745,0.4912475305485306
aptos2019,B0,1,leakfree,702,0.27350427350427353,0.49705776833287185
aptos2019,B0,1,conflict_excluded,698,0.2693409742120344,0.49598247365216286
aptos2019,B0,2,full,732,0.22404371584699453,0.4296739791108071
aptos2019,B0,2,leakfree,690,0.21304347826086956,0.4182225291778365
aptos2019,B0,2,conflict_excluded,686,0.21137026239067055,0.41906947261663285
aptos2019,B0,3,full,732,0.25,0.4635483394094127
aptos2019,B0,3,leakfree,696,0.24856321839080459,0.4739806253668289
aptos2019,B0,3,conflict_excluded,690,0.24492753623188407,0.47262850616319235
aptos2019,B0,4,full,732,0.2691256830601093,0.5061754529604131
aptos2019,B0,4,leakfree,689,0.26995645863570394,0.5267744586010602
aptos2019,B0,4,conflict_excluded,685,0.2671532846715328,0.5221056321666924
aptos2019,B0,5,full,733,0.252387448840382,0.49116851223367963
aptos2019,B0,5,leakfree,698,0.25358166189111747,0.5148948501407518
aptos2019,B0,5,conflict_excluded,695,0.2517985611510791,0.5128549228549228
aptos2019,B0,6,full,733,0.2291950886766712,0.4088964045143209
aptos2019,B0,6,leakfree,697,0.22525107604017217,0.4111589950957552
aptos2019,B0,6,conflict_excluded,695,0.22302158273381295,0.4060392110196703
aptos2019,B0,7,full,732,0.2581967213114754,0.49828193177449015
aptos2019,B0,7,leakfree,695,0.2460431654676259,0.49983970362338487
aptos2019,B0,7,conflict_excluded,695,0.2460431654676259,0.49983970362338487
aptos2019,B0,8,full,732,0.2677595628415301,0.49430951078784313
aptos2019,B0,8,leakfree,685,0.2613138686131387,0.5027621156744349
aptos2019,B0,8,conflict_excluded,683,0.26061493411420206,0.5011352903862099
aptos2019,B0,9,full,732,0.2923497267759563,0.5628887374350688
aptos2019,B0,9,leakfree,691,0.28509406657018815,0.5612357382542557
aptos2019,B0,9,conflict_excluded,689,0.2830188679245283,0.5579921453574531
aptos2019,B0,10,full,733,0.21145975443383355,0.40828546858660947
aptos2019,B0,10,leakfree,688,0.20784883720930233,0.42004419953302063
aptos2019,B0,10,conflict_excluded,688,0.20784883720930233,0.42004419953302063
