bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6676545222516864,0.7529898015229821,0.2155525238744884,"[0.9916897506925207, 0.5945945945945946, 0.825, 0.38461538461538464, 0.5423728813559322]",w16_b0rs,aptos2019,0,2929,733
0.6325303400024279,0.6993130772009896,0.27694406548431105,"[0.9695290858725761, 0.6621621621621622, 0.74, 0.3333333333333333, 0.4576271186440678]",w16_b0rs,aptos2019,1,2929,733
0.6687933604293057,0.7375592552394077,0.22814207650273224,"[0.9889196675900277, 0.6216216216216216, 0.77, 0.42105263157894735, 0.5423728813559322]",w16_b0rs,aptos2019,2,2930,732
0.6474071260800216,0.7243414165454901,0.25136612021857924,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3157894736842105, 0.5084745762711864]",w16_b0rs,aptos2019,3,2930,732
0.6153292646303501,0.6901095209103892,0.2773224043715847,"[0.9806094182825484, 0.44594594594594594, 0.7487437185929648, 0.358974358974359, 0.5423728813559322]",w16_b0rs,aptos2019,4,2930,732
0.6296804525292248,0.7257729006286235,0.23874488403819918,"[0.997229916897507, 0.581081081081081, 0.78, 0.23076923076923078, 0.559322033898305]",w16_b0rs,aptos2019,5,2929,733
0.6714232802290927,0.7341442667872558,0.23192360163710776,"[0.9806094182825484, 0.581081081081081, 0.775, 0.41025641025641024, 0.6101694915254238]",w16_b0rs,aptos2019,6,2929,733
0.6191028839064898,0.700105400741058,0.27595628415300544,"[0.9833795013850416, 0.5675675675675675, 0.76, 0.39473684210526316, 0.3898305084745763]",w16_b0rs,aptos2019,7,2930,732
0.6161139515495588,0.6876112465771704,0.2718579234972678,"[0.9806094182825484, 0.5945945945945946, 0.715, 0.3157894736842105, 0.4745762711864407]",w16_b0rs,aptos2019,8,2930,732
0.5895804319454332,0.6895876240274706,0.28825136612021857,"[0.9778393351800554, 0.5540540540540541, 0.7788944723618091, 0.1794871794871795, 0.4576271186440678]",w16_b0rs,aptos2019,9,2930,732
0.6467515621636003,0.734546811758765,0.22783083219645292,"[0.9889196675900277, 0.581081081081081, 0.805, 0.3333333333333333, 0.5254237288135594]",w16_b0rs,aptos2019,10,2929,733
0.6412026747698846,0.7104389243332949,0.2605729877216917,"[0.9833795013850416, 0.6486486486486487, 0.74, 0.41025641025641024, 0.423728813559322]",w16_b0rs,aptos2019,11,2929,733
0.6536903661255509,0.731606229844431,0.23633879781420766,"[0.9833795013850416, 0.6891891891891891, 0.785, 0.42105263157894735, 0.3898305084745763]",w16_b0rs,aptos2019,12,2930,732
0.6557044233773188,0.7444551086238481,0.22404371584699453,"[0.9806094182825484, 0.6486486486486487, 0.825, 0.3157894736842105, 0.5084745762711864]",w16_b0rs,aptos2019,13,2930,732
0.6600171082790999,0.7267769292888446,0.24180327868852458,"[0.9806094182825484, 0.5540540540540541, 0.7788944723618091, 0.41025641025641024, 0.576271186440678]",w16_b0rs,aptos2019,14,2930,732
