bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6611721585320345,0.7531085150024582,0.21418826739427013,"[0.9916897506925207, 0.581081081081081, 0.84, 0.38461538461538464, 0.5084745762711864]",w16_b0rs_post,aptos2019,0,2929,733
0.6356072983166744,0.6993364871510594,0.27012278308321963,"[0.9695290858725761, 0.6486486486486487, 0.735, 0.3333333333333333, 0.4915254237288136]",w16_b0rs_post,aptos2019,1,2929,733
0.6707933604293057,0.7414843772052209,0.22540983606557377,"[0.9889196675900277, 0.6216216216216216, 0.78, 0.42105263157894735, 0.5423728813559322]",w16_b0rs_post,aptos2019,2,2930,732
0.661883727570004,0.7265666949670179,0.24863387978142076,"[0.9806094182825484, 0.6486486486486487, 0.76, 0.39473684210526316, 0.5254237288135594]",w16_b0rs_post,aptos2019,3,2930,732
0.6146014397819222,0.69026442702831,0.27459016393442626,"[0.9806094182825484, 0.47297297297297297, 0.7437185929648241, 0.3333333333333333, 0.5423728813559322]",w16_b0rs_post,aptos2019,4,2930,732
0.6294957854632018,0.7157312833938716,0.24829467939972716,"[0.997229916897507, 0.5675675675675675, 0.75, 0.2564102564102564, 0.576271186440678]",w16_b0rs_post,aptos2019,5,2929,733
0.6625923723981849,0.7278884153225395,0.23601637107776263,"[0.9806094182825484, 0.5675675675675675, 0.77, 0.38461538461538464, 0.6101694915254238]",w16_b0rs_post,aptos2019,6,2929,733
0.6253660418012266,0.7040298306492038,0.2718579234972678,"[0.9833795013850416, 0.5675675675675675, 0.765, 0.42105263157894735, 0.3898305084745763]",w16_b0rs_post,aptos2019,7,2930,732
0.6260862507185339,0.6900894299698124,0.2718579234972678,"[0.9778393351800554, 0.5945945945945946, 0.715, 0.3684210526315789, 0.4745762711864407]",w16_b0rs_post,aptos2019,8,2930,732
0.5859489574906417,0.6898319194418752,0.28688524590163933,"[0.9750692520775623, 0.5405405405405406, 0.7939698492462312, 0.1794871794871795, 0.4406779661016949]",w16_b0rs_post,aptos2019,9,2930,732
0.6389362292296232,0.72835590438368,0.24283765347885403,"[0.9889196675900277, 0.5945945945945946, 0.795, 0.3076923076923077, 0.5084745762711864]",w16_b0rs_post,aptos2019,10,2929,733
0.6400946415288873,0.7068575433479796,0.2660300136425648,"[0.9778393351800554, 0.6486486486486487, 0.74, 0.41025641025641024, 0.423728813559322]",w16_b0rs_post,aptos2019,11,2929,733
0.6413346750196367,0.7231355794772482,0.24180327868852458,"[0.9833795013850416, 0.6756756756756757, 0.78, 0.39473684210526316, 0.3728813559322034]",w16_b0rs_post,aptos2019,12,2930,732
0.657577750763581,0.7445943382045037,0.2226775956284153,"[0.9806094182825484, 0.6486486486486487, 0.825, 0.34210526315789475, 0.4915254237288136]",w16_b0rs_post,aptos2019,13,2930,732
0.6548889031508948,0.7246913065385205,0.24316939890710382,"[0.9806094182825484, 0.5540540540540541, 0.7788944723618091, 0.38461538461538464, 0.576271186440678]",w16_b0rs_post,aptos2019,14,2930,732
