bacc,mcc,macro_mae,per_class_recall,train_ce_best,step,fold,epochs_run
0.6711051026214648,0.7514505306807671,0.21964529331514324,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",,1_pre_scaler_full_100,0,
0.6611721585320345,0.7531085150024582,0.21418826739427013,"[0.9916897506925207, 0.581081081081081, 0.84, 0.38461538461538464, 0.5084745762711864]",,2_post_scaler_full_100,0,
0.6361511879321636,,,"[0.997229916897507, 0.5540540540540541, 0.915, 0.3076923076923077, 0.4067796610169492]",0.42522212862968445,3_post_noscaler_full_100,0,200.0
0.6266331522954839,,,"[0.997229916897507, 0.5540540540540541, 0.91, 0.28205128205128205, 0.3898305084745763]",0.42102792859077454,4_post_noscaler_full_90,0,200.0
0.6186989565164598,,,"[0.9916897506925207, 0.5540540540540541, 0.875, 0.38461538461538464, 0.288135593220339]",0.5259783402448748,5_post_noscaler_mb_90,0,24.0
0.6625569970863646,,,"[0.9916897506925207, 0.6621621621621622, 0.705, 0.5641025641025641, 0.3898305084745763]",0.5242008868514038,6_post_scaler_mb_90,0,13.0
0.6427510783418102,0.7039616475677131,0.2742155525238745,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",,1_pre_scaler_full_100,1,
0.6356072983166744,0.6993364871510594,0.27012278308321963,"[0.9695290858725761, 0.6486486486486487, 0.735, 0.3333333333333333, 0.4915254237288136]",,2_post_scaler_full_100,1,
0.597893671327917,,,"[0.9778393351800554, 0.5540540540540541, 0.88, 0.15384615384615385, 0.423728813559322]",0.4134957492351532,3_post_noscaler_full_100,1,200.0
0.6002835018363917,,,"[0.9778393351800554, 0.5540540540540541, 0.875, 0.15384615384615385, 0.4406779661016949]",0.4120585322380066,4_post_noscaler_full_90,1,200.0
0.5826635048083003,,,"[0.9806094182825484, 0.6216216216216216, 0.81, 0.1282051282051282, 0.3728813559322034]",0.530281415799769,5_post_noscaler_mb_90,1,22.0
0.6503063466519028,,,"[0.9861495844875346, 0.6891891891891891, 0.82, 0.23076923076923078, 0.5254237288135594]",0.33006282668651604,6_post_scaler_mb_90,1,31.0
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",,1_pre_scaler_full_100,2,
0.6707933604293057,0.7414843772052209,0.22540983606557377,"[0.9889196675900277, 0.6216216216216216, 0.78, 0.42105263157894735, 0.5423728813559322]",,2_post_scaler_full_100,2,
0.6088606786513261,,,"[0.9806094182825484, 0.5405405405405406, 0.855, 0.21052631578947367, 0.4576271186440678]",0.4211499094963074,3_post_noscaler_full_100,2,200.0
0.6102505091598007,,,"[0.9806094182825484, 0.5405405405405406, 0.845, 0.21052631578947367, 0.4745762711864407]",0.41748514771461487,4_post_noscaler_full_90,2,200.0
0.5936219223589992,,,"[0.9750692520775623, 0.5675675675675675, 0.855, 0.07894736842105263, 0.4915254237288136]",0.5168234264341797,5_post_noscaler_mb_90,2,24.0
0.6699340433442504,,,"[0.9833795013850416, 0.581081081081081, 0.82, 0.47368421052631576, 0.4915254237288136]",0.4355132259973666,6_post_scaler_mb_90,2,16.0
0.6579334418694952,0.7282364184219957,0.25,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]",,1_pre_scaler_full_100,3,
0.661883727570004,0.7265666949670179,0.24863387978142076,"[0.9806094182825484, 0.6486486486486487, 0.76, 0.39473684210526316, 0.5254237288135594]",,2_post_scaler_full_100,3,
0.6003142337604987,,,"[0.9750692520775623, 0.5135135135135135, 0.86, 0.2631578947368421, 0.3898305084745763]",0.4141246974468231,3_post_noscaler_full_100,3,200.0
0.5981436090769392,,,"[0.9750692520775623, 0.527027027027027, 0.845, 0.23684210526315788, 0.4067796610169492]",0.40751945972442627,4_post_noscaler_full_90,3,200.0
0.5963500126258942,,,"[0.9750692520775623, 0.6081081081081081, 0.8, 0.15789473684210525, 0.4406779661016949]",0.47410073094978566,5_post_noscaler_mb_90,3,33.0
0.6338924794083722,,,"[0.9806094182825484, 0.6081081081081081, 0.715, 0.2894736842105263, 0.576271186440678]",0.4036534601231901,6_post_scaler_mb_90,3,19.0
0.6217396951613836,0.6958101207929825,0.2691256830601093,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",,1_pre_scaler_full_100,4,
