arm,dataset,fold,n_train,n_val,n_test,best_val_bacc,epochs_run,bacc,mcc,macro_mae,classmean_mae,per_class_recall,image_root,dp_on,lp,blocks,aug,std,wce,train_ce_best,bmix,alpha,split,splits_sha256
w16_ft0,aptos2019,0,2636,293,733,0.665,24,0.6118183684520602,0.6881013957217941,0.2892223738062756,0.5568007865569253,"[0.9861495844875346, 0.6621621621621622, 0.705, 0.28205128205128205, 0.423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,1,2636,293,733,0.6283333333333333,31,0.5795542309076748,0.7130178974191603,0.2646657571623465,0.5674348169222576,"[0.9695290858725761, 0.5, 0.885, 0.10256410256410256, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,2,2637,293,732,0.6155555555555555,31,0.5906813744586411,0.7172705858542173,0.2554644808743169,0.5549868728769146,"[0.9806094182825484, 0.5405405405405406, 0.86, 0.13157894736842105, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,3,2637,293,732,0.6088888888888888,31,0.5866268712019217,0.6907249764031133,0.2691256830601093,0.5388290656965242,"[0.961218836565097, 0.527027027027027, 0.82, 0.18421052631578946, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,4,2637,293,732,0.6066666666666667,26,0.5683600790327201,0.6450773904266812,0.3306010928961748,0.5979853436537297,"[0.9778393351800554, 0.3918918918918919, 0.6984924623115578, 0.28205128205128205, 0.4915254237288136]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,5,2636,293,733,0.6497222222222222,27,0.5878062673435227,0.7001934983585975,0.2687585266030013,0.5727516804347641,"[0.9750692520775623, 0.6081081081081081, 0.82, 0.23076923076923078, 0.3050847457627119]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,6,2636,293,733,0.5936111111111111,24,0.6199904079971219,0.6933265203199417,0.2687585266030013,0.5061562534194113,"[0.9501385041551247, 0.6351351351351351, 0.775, 0.28205128205128205, 0.4576271186440678]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,7,2637,293,732,0.6494444444444445,23,0.586393964695716,0.6764704241040744,0.3128415300546448,0.6003626930841823,"[0.9750692520775623, 0.5945945945945946, 0.745, 0.21052631578947367, 0.4067796610169492]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,8,2637,293,732,0.6511111111111111,39,0.5973567430522686,0.7040452805549627,0.2540983606557377,0.525114768743108,"[0.9667590027700831, 0.47297297297297297, 0.845, 0.21052631578947367, 0.4915254237288136]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,9,2637,293,732,0.6105555555555555,31,0.5761546764154053,0.6737738085826569,0.2991803278688524,0.5929407502452312,"[0.9667590027700831, 0.5945945945945946, 0.7587939698492462, 0.15384615384615385, 0.4067796610169492]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,10,2636,293,733,0.6224999999999999,36,0.6215352306370663,0.712260297782122,0.2551159618008186,0.5216989250534018,"[0.96398891966759, 0.6891891891891891, 0.8, 0.23076923076923078, 0.423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
w16_ft0,aptos2019,11,2636,293,733,0.6583333333333333,27,0.5867444419792417,0.668525402526689,0.2905866302864938,0.5669619408275214,"[0.9695290858725761, 0.5540540540540541, 0.73, 0.2564102564102564, 0.423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,[],,,,,,,,
