check,arm,fold,value,ok
regression,B0,0,0.0,True
identity,B0,0,1.0,True
regression,B0,1,0.0,True
identity,B0,1,1.0,True
regression,B0,2,0.0,True
identity,B0,2,1.0,True
regression,B0,3,0.0,True
identity,B0,3,1.0,True
regression,B0,4,0.0,True
identity,B0,4,1.0,True
regression,B0,5,0.0,True
identity,B0,5,1.0,True
regression,B0,6,0.0,True
identity,B0,6,1.0,True
regression,B0,7,0.0,True
identity,B0,7,1.0,True
regression,B0,8,0.0,True
identity,B0,8,1.0,True
regression,B0,9,0.0,True
identity,B0,9,1.0,True
regression,B0,10,0.0,True
identity,B0,10,1.0,True
regression,B0,11,0.0,True
identity,B0,11,1.0,True
regression,B0,12,0.0,True
identity,B0,12,1.0,True
regression,B0,13,0.0,True
identity,B0,13,1.0,True
regression,B0,14,0.0,True
identity,B0,14,1.0,True
regression,B1,0,0.0,True
identity,B1,0,1.0,True
regression,B1,1,0.0,True
identity,B1,1,1.0,True
regression,B1,2,0.0,True
identity,B1,2,1.0,True
regression,B1,3,0.0,True
identity,B1,3,1.0,True
regression,B1,4,0.0,True
identity,B1,4,1.0,True
regression,B1,5,0.0,True
identity,B1,5,1.0,True
regression,B1,6,0.0,True
identity,B1,6,1.0,True
regression,B1,7,0.0,True
identity,B1,7,1.0,True
regression,B1,8,0.0,True
identity,B1,8,1.0,True
regression,B1,9,0.0,True
identity,B1,9,1.0,True
regression,B1,10,0.0,True
identity,B1,10,1.0,True
regression,B1,11,0.0,True
identity,B1,11,1.0,True
regression,B1,12,0.0,True
identity,B1,12,1.0,True
regression,B1,13,0.0,True
identity,B1,13,1.0,True
regression,B1,14,0.0,True
identity,B1,14,1.0,True
regression,B2,0,0.0,True
identity,B2,0,1.0,True
regression,B2,1,0.0,True
identity,B2,1,1.0,True
regression,B2,2,0.0,True
identity,B2,2,1.0,True
regression,B2,3,0.0,True
identity,B2,3,1.0,True
regression,B2,4,0.0,True
identity,B2,4,1.0,True
regression,B2,5,0.0,True
identity,B2,5,1.0,True
regression,B2,6,0.0,True
identity,B2,6,1.0,True
regression,B2,7,0.0,True
identity,B2,7,1.0,True
regression,B2,8,0.0,True
identity,B2,8,1.0,True
regression,B2,9,0.0,True
identity,B2,9,1.0,True
regression,B2,10,0.0,True
identity,B2,10,1.0,True
regression,B2,11,0.0,True
identity,B2,11,1.0,True
regression,B2,12,0.0,True
identity,B2,12,1.0,True
regression,B2,13,0.0,True
identity,B2,13,1.0,True
regression,B2,14,0.0,True
identity,B2,14,1.0,True
