check,arm,fold,value,ok
regression,A0,0,0.0,True
identity,A0,0,1.0,True
regression,A0,1,0.0,True
identity,A0,1,1.0,True
regression,A0,2,0.0,True
identity,A0,2,1.0,True
regression,A0,3,0.0,True
identity,A0,3,1.0,True
regression,A0,4,0.0,True
identity,A0,4,1.0,True
regression,A0,5,0.0,True
identity,A0,5,1.0,True
regression,A0,6,0.0,True
identity,A0,6,1.0,True
regression,A0,7,0.0,True
identity,A0,7,1.0,True
regression,A0,8,0.0,True
identity,A0,8,1.0,True
regression,A0,9,0.0,True
identity,A0,9,1.0,True
regression,A0,10,0.0,True
identity,A0,10,1.0,True
regression,A0,11,0.0,True
identity,A0,11,1.0,True
regression,A0,12,0.0,True
identity,A0,12,1.0,True
regression,A0,13,0.0,True
identity,A0,13,1.0,True
regression,A0,14,0.0,True
identity,A0,14,1.0,True
regression,A1,0,0.0,True
identity,A1,0,1.0,True
regression,A1,1,0.0,True
identity,A1,1,1.0,True
regression,A1,2,0.0,True
identity,A1,2,1.0,True
regression,A1,3,0.0,True
identity,A1,3,1.0,True
regression,A1,4,0.0,True
identity,A1,4,1.0,True
regression,A1,5,0.0,True
identity,A1,5,1.0,True
regression,A1,6,0.0,True
identity,A1,6,1.0,True
regression,A1,7,0.0,True
identity,A1,7,1.0,True
regression,A1,8,0.0,True
identity,A1,8,1.0,True
regression,A1,9,0.0,True
identity,A1,9,1.0,True
regression,A1,10,0.0,True
identity,A1,10,1.0,True
regression,A1,11,0.0,True
identity,A1,11,1.0,True
regression,A1,12,0.0,True
identity,A1,12,1.0,True
regression,A1,13,0.0,True
identity,A1,13,1.0,True
regression,A1,14,0.0,True
identity,A1,14,1.0,True
regression,A2,0,0.0,True
identity,A2,0,1.0,True
regression,A2,1,0.0,True
identity,A2,1,1.0,True
regression,A2,2,0.0,True
identity,A2,2,1.0,True
regression,A2,3,0.0,True
identity,A2,3,1.0,True
regression,A2,4,0.0,True
identity,A2,4,1.0,True
regression,A2,5,0.0,True
identity,A2,5,1.0,True
regression,A2,6,0.0,True
identity,A2,6,1.0,True
regression,A2,7,0.0,True
identity,A2,7,1.0,True
regression,A2,8,0.0,True
identity,A2,8,1.0,True
regression,A2,9,0.0,True
identity,A2,9,1.0,True
regression,A2,10,0.0,True
identity,A2,10,1.0,True
regression,A2,11,0.0,True
identity,A2,11,1.0,True
regression,A2,12,0.0,True
identity,A2,12,1.0,True
regression,A2,13,0.0,True
identity,A2,13,1.0,True
regression,A2,14,0.0,True
identity,A2,14,1.0,True
regression,A3,0,0.0,True
identity,A3,0,1.0,True
regression,A3,1,0.0,True
identity,A3,1,1.0,True
regression,A3,2,0.0,True
identity,A3,2,1.0,True
regression,A3,3,0.0,True
identity,A3,3,1.0,True
regression,A3,4,0.0,True
identity,A3,4,1.0,True
regression,A3,5,0.0,True
identity,A3,5,1.0,True
regression,A3,6,0.0,True
identity,A3,6,1.0,True
regression,A3,7,0.0,True
identity,A3,7,1.0,True
regression,A3,8,0.0,True
identity,A3,8,1.0,True
regression,A3,9,0.0,True
identity,A3,9,1.0,True
regression,A3,10,0.0,True
identity,A3,10,1.0,True
regression,A3,11,0.0,True
identity,A3,11,1.0,True
regression,A3,12,0.0,True
identity,A3,12,1.0,True
regression,A3,13,0.0,True
identity,A3,13,1.0,True
regression,A3,14,0.0,True
identity,A3,14,1.0,True
regression,A4,0,0.0,True
identity,A4,0,1.0,True
regression,A4,1,0.0,True
identity,A4,1,1.0,True
regression,A4,2,0.0,True
identity,A4,2,1.0,True
regression,A4,3,0.0,True
identity,A4,3,1.0,True
regression,A4,4,0.0,True
identity,A4,4,1.0,True
regression,A4,5,0.0,True
identity,A4,5,1.0,True
regression,A4,6,0.0,True
identity,A4,6,1.0,True
regression,A4,7,0.0,True
identity,A4,7,1.0,True
regression,A4,8,0.0,True
identity,A4,8,1.0,True
regression,A4,9,0.0,True
identity,A4,9,1.0,True
regression,A4,10,0.0,True
identity,A4,10,1.0,True
regression,A4,11,0.0,True
identity,A4,11,1.0,True
regression,A4,12,0.0,True
identity,A4,12,1.0,True
regression,A4,13,0.0,True
identity,A4,13,1.0,True
regression,A4,14,0.0,True
identity,A4,14,1.0,True
