dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B0,none,0,0.6711051026214648,"[0.9833795013850416, 0.5675675675675675, 0.835, 0.41025641025641024, 0.559322033898305]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,0,0.6953168165294087,"[0.9806094182825484, 0.7432432432432432, 0.535, 0.6923076923076923, 0.5254237288135594]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,0,0.6712499045289787,"[0.9833795013850416, 0.7027027027027027, 0.555, 0.5897435897435898, 0.5254237288135594]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,0,0.6935939419394981,"[0.9861495844875346, 0.7297297297297297, 0.56, 0.6666666666666666, 0.5254237288135594]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,1,0.6427510783418102,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,1,0.6680551022912166,"[0.9667590027700831, 0.7837837837837838, 0.475, 0.5384615384615384, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,1,0.645598050715521,"[0.9667590027700831, 0.7297297297297297, 0.485, 0.48717948717948717, 0.559322033898305]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,1,0.6584084775924298,"[0.9695290858725761, 0.7297297297297297, 0.495, 0.5384615384615384, 0.559322033898305]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,2,0.669678888616773,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,2,0.6999257254813384,"[0.9833795013850416, 0.7972972972972973, 0.545, 0.631578947368421, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,2,0.6908420189756402,"[0.9778393351800554, 0.7837837837837838, 0.59, 0.5263157894736842, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,2,0.6976689312910263,"[0.9861495844875346, 0.7432432432432432, 0.585, 0.631578947368421, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,3,0.6579334418694952,"[0.9806094182825484, 0.6621621621621622, 0.77, 0.3684210526315789, 0.5084745762711864]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,3,0.7038054914391362,"[0.9806094182825484, 0.7837837837837838, 0.545, 0.6842105263157895, 0.5254237288135594]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,offset,3,0.7119935474701895,"[0.9806094182825484, 0.7432432432432432, 0.585, 0.6578947368421053, 0.5932203389830508]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,scale,3,0.6909021474171481,"[0.9806094182825484, 0.7162162162162162, 0.565, 0.6842105263157895, 0.5084745762711864]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,none,4,0.6217396951613836,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B0,full,4,0.635344879115212,"[0.9778393351800554, 0.5945945945945946, 0.5577889447236181, 0.48717948717948717, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
