n_folds,mean_diff,sd,se_nb,p_nb,ci_lo,ci_hi,wins,mde_post,tost_p,equivalent,passes_floor,dataset,contrast,family,arm,mode,holm_p,gate_pass,exploratory
15,0.0281225587304554,0.01466249355203315,0.008251046020661927,0.004241739975437523,0.010425825063942532,0.04581929239696827,14,0.024859093617598787,0.829193311512042,False,True,aptos2019,affine(B0) − B0,C1,B0,full,0.011779956195700322,True,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.00911122819643225,0.01810635397233205,0.010189014533028786,0.38631888669371983,-0.012742034537008928,0.030964490929873426,10,0.030697885518194867,0.15164795496864403,False,False,aptos2019,affine(B1) − B1,C1,B1,full,0.38631888669371983,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.03273265508572804,0.016873956210076483,0.009495505573175128,0.00392665206523344,0.012366821137332711,0.05309848903412337,15,0.02860845296449514,0.899349891183205,False,True,aptos2019,affine(B2) − B2,C1,B2,full,0.011779956195700322,True,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.022091107600964697,0.016860976871756084,0.009488201691511391,0.03539794867578787,0.0017409389207318736,0.042441276281197524,14,0.028586447526930493,0.5856256502056985,False,True,aptos2019,offset(B0) − B0,C5,B0,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.02272079836227537,0.013012322540864363,0.0073224429214143304,0.007787424969415786,0.0070157202613879595,0.038425876463162784,14,0.02206135969150241,0.6421118334219574,False,True,aptos2019,scale(B0) − B0,C5,B0,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.00846522839923578,0.015185317260976713,0.008545255356057564,0.3386774415959448,-0.009862521533294795,0.026792978331766353,11,0.025745499703985503,0.09924393530846284,False,False,aptos2019,offset(B1) − B1,C5,B1,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.008691523066627719,0.01639855269888495,0.009227981073654945,0.36223083684731205,-0.01110052789650485,0.02848357402976029,9,0.027802444058240127,0.12031033646525213,False,False,aptos2019,scale(B1) − B1,C5,B1,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.030447267544106663,0.01982066852235331,0.011153713217868403,0.016278042881301896,0.006524931913569659,0.05436960317464366,14,0.03360436972142788,0.8175951356746057,False,True,aptos2019,offset(B2) − B2,C5,B2,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.03216746214730566,0.01471424098377887,0.008280165927127344,0.0016501461149684548,0.014408272493052352,0.049926651801558974,15,0.024946827279385037,0.9180915539538363,False,True,aptos2019,scale(B2) − B2,C5,B2,scale,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.009751165242207397,0.013488027591129157,0.0075901371064495795,0.21974223648336141,-0.006528059783176618,0.026030390267591415,11,0.02286787983331398,0.09917537822264239,False,False,aptos2019,B1 − B0 @none,C3,B1,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.009260165291815755,0.012723308130492281,0.007159805427856227,0.21682249625105016,-0.02461642066156343,0.006096090077931918,2,0.021571358706419047,0.07791039370917223,False,False,aptos2019,B1 − B0 @full,C3,B1,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.00035650141390869785,0.01950572869875835,0.010976486679353688,0.9745488470798206,-0.023185721096076195,0.02389872392389359,7,0.033070414256699196,0.047582631482110956,True,False,aptos2019,B2 − B0 @none,C3,B2,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.0049665977691813355,0.02351423388633615,0.013232198551239237,0.7130317013647179,-0.02341364553540183,0.033346841073764504,9,0.039866516527503566,0.1374900007078838,False,False,aptos2019,B2 − B0 @full,C3,B2,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.025132539966957725,0.010624572913600607,,,,,15,,,False,False,aptos2019,spread(max−min) @none,C2,-,none,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.027611685206696383,0.017095130123649712,,,,,15,,,False,False,aptos2019,spread(max−min) @full,C2,-,full,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.0017404573983521132,0.01751144391663397,0.009854239944361447,0.8623363170515799,-0.0193947852538622,0.022875700050566425,7,0.0296892627545314,0.04254116682948961,True,False,oral_diseases,affine(A0) − A0,C1,A0,full,1.0,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.008057493189072118,0.014555913567489623,0.008191070113137784,0.34196240225246866,-0.02562559132753142,0.009510604949387182,3,0.024678395716240635,0.08345467980582769,False,False,oral_diseases,affine(A1) − A1,C1,A1,full,1.0,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.002553625711520402,0.02135609880750768,0.012017748103842492,0.8347891573618056,-0.023221880440350406,0.02832913186339121,7,0.03620756985696391,0.08430992275113947,False,False,oral_diseases,affine(A2) − A2,C1,A2,full,1.0,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.004595764858922776,0.015970906510269254,0.008987331120745706,0.6170682662177323,-0.014680143288762014,0.023871673006607565,10,0.027077403900487913,0.054286577266341396,False,False,oral_diseases,affine(A3) − A3,C1,A3,full,1.0,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,-0.0014913059649901417,0.014625186344007706,0.00823005208199604,0.858805791269051,-0.019143012111325453,0.01616040018134517,8,0.024795842208578583,0.020568955713089195,True,False,oral_diseases,affine(A4) − A4,C1,A4,full,1.0,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
15,0.0012516479621743108,0.01102631598847153,0.006204854606508836,0.8430367014692791,-0.012056441598331306,0.014559737522679927,7,0.0186942432705542,0.004575900916210933,True,False,oral_diseases,offset(A0) − A0,C5,A0,offset,,False,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
