bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6693156258945733,0.6415483435869672,0.5769230769230769,"[0.875, 0.9333333333333333, 0.4166666666666667, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.46153846153846156]",A5,oral_diseases,0,412,104
0.6792160325055062,0.6191227955240276,0.7087378640776699,"[0.9375, 0.8, 0.5833333333333334, 0.6111111111111112, 0.8181818181818182, 0.42105263157894735, 0.5833333333333334]",A5,oral_diseases,1,413,103
0.6393265360370624,0.5891388590745955,0.7087378640776699,"[0.8125, 0.8666666666666667, 0.75, 0.6111111111111112, 0.2727272727272727, 0.5789473684210527, 0.5833333333333334]",A5,oral_diseases,2,413,103
0.7134088134088135,0.6707317878569008,0.5048543689320388,"[0.8666666666666667, 0.9333333333333333, 0.5384615384615384, 0.6111111111111112, 0.45454545454545453, 0.6666666666666666, 0.9230769230769231]",A5,oral_diseases,3,413,103
0.6990055266371057,0.6498067785995817,0.8155339805825242,"[0.625, 0.9333333333333333, 0.75, 0.5555555555555556, 0.6, 0.7368421052631579, 0.6923076923076923]",A5,oral_diseases,4,413,103
0.7568630200209148,0.7184108362886814,0.3942307692307692,"[1.0, 1.0, 0.6666666666666666, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.8461538461538461]",A5,oral_diseases,5,412,104
0.7229275841117947,0.6940639077443581,0.47572815533980584,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.7777777777777778, 0.36363636363636365, 0.631578947368421, 0.75]",A5,oral_diseases,6,413,103
0.7048568390673653,0.6601495498850738,0.6504854368932039,"[0.75, 0.9333333333333333, 0.5833333333333334, 0.7777777777777778, 0.7272727272727273, 0.5789473684210527, 0.5833333333333334]",A5,oral_diseases,7,413,103
0.6894882894882893,0.636435997367455,0.7669902912621359,"[0.8, 1.0, 0.46153846153846156, 0.6666666666666666, 0.7272727272727273, 0.5555555555555556, 0.6153846153846154]",A5,oral_diseases,8,413,103
0.6989500996079945,0.6589870724568174,0.5533980582524272,"[0.6875, 0.9333333333333333, 0.75, 0.7222222222222222, 0.5, 0.6842105263157895, 0.6153846153846154]",A5,oral_diseases,9,413,103
0.7666226317542106,0.7198958728784453,0.4326923076923077,"[0.8125, 1.0, 0.6666666666666666, 0.5, 0.7272727272727273, 0.7368421052631579, 0.9230769230769231]",A5,oral_diseases,10,412,104
0.6826944254575834,0.6381516172036775,0.6699029126213593,"[0.9375, 0.9333333333333333, 0.75, 0.7222222222222222, 0.5454545454545454, 0.47368421052631576, 0.4166666666666667]",A5,oral_diseases,11,413,103
0.7204687856003645,0.6725459412691386,0.5533980582524272,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.5, 0.7272727272727273, 0.7368421052631579, 0.6666666666666666]",A5,oral_diseases,12,413,103
0.6897213897213899,0.6480596036970003,0.6601941747572816,"[0.7333333333333333, 0.8666666666666667, 0.7692307692307693, 0.7222222222222222, 0.45454545454545453, 0.6666666666666666, 0.6153846153846154]",A5,oral_diseases,13,413,103
0.7738866396761133,0.70939890993066,0.49514563106796117,"[0.75, 1.0, 0.8333333333333334, 0.6666666666666666, 0.9, 0.42105263157894735, 0.8461538461538461]",A5,oral_diseases,14,413,103
0.6248464985307091,0.5738193277806205,0.7019230769230769,"[0.75, 0.8666666666666667, 0.4166666666666667, 0.6111111111111112, 0.6363636363636364, 0.631578947368421, 0.46153846153846156]",A5s,oral_diseases,0,412,104
0.7758221310852891,0.7206400741347726,0.44660194174757284,"[1.0, 1.0, 0.6666666666666666, 0.5555555555555556, 0.8181818181818182, 0.47368421052631576, 0.9166666666666666]",A5s,oral_diseases,1,413,103
0.6986310473152579,0.6585142056880589,0.5242718446601942,"[0.875, 1.0, 0.75, 0.6111111111111112, 0.2727272727272727, 0.631578947368421, 0.75]",A5s,oral_diseases,2,413,103
0.7503718503718504,0.7052259461892006,0.44660194174757284,"[0.8666666666666667, 0.9333333333333333, 0.6153846153846154, 0.6666666666666666, 0.6363636363636364, 0.6111111111111112, 0.9230769230769231]",A5s,oral_diseases,3,413,103
0.7520580296896086,0.7060064953447613,0.5922330097087378,"[0.625, 1.0, 0.6666666666666666, 0.6666666666666666, 0.8, 0.7368421052631579, 0.7692307692307693]",A5s,oral_diseases,4,413,103
0.7525672426988216,0.7080577984865171,0.46153846153846156,"[0.9375, 1.0, 0.6666666666666666, 0.4444444444444444, 0.6363636363636364, 0.7368421052631579, 0.8461538461538461]",A5s,oral_diseases,5,412,104
0.801658502316397,0.7723560169548341,0.3592233009708738,"[0.9375, 1.0, 0.8333333333333334, 0.7777777777777778, 0.5454545454545454, 0.6842105263157895, 0.8333333333333334]",A5s,oral_diseases,6,413,103
0.7676245538087644,0.7289066517512939,0.4368932038834951,"[0.8125, 1.0, 0.6666666666666666, 0.7777777777777778, 0.8181818181818182, 0.631578947368421, 0.6666666666666666]",A5s,oral_diseases,7,413,103
0.7774003774003775,0.7287278729941135,0.5922330097087378,"[0.8, 1.0, 0.7692307692307693, 0.6666666666666666, 0.7272727272727273, 0.5555555555555556, 0.9230769230769231]",A5s,oral_diseases,8,413,103
0.7033151789730737,0.6578148741535487,0.5242718446601942,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6, 0.6842105263157895, 0.6153846153846154]",A5s,oral_diseases,9,413,103
0.7401783158362105,0.6868764203891806,0.5,"[0.8125, 1.0, 0.6666666666666666, 0.4444444444444444, 0.7272727272727273, 0.6842105263157895, 0.8461538461538461]",A5s,oral_diseases,10,412,104
0.6774065846434267,0.6254316321973094,0.6796116504854369,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6363636363636364, 0.5263157894736842, 0.5]",A5s,oral_diseases,11,413,103
0.7475222146274777,0.706122924266215,0.44660194174757284,"[0.875, 1.0, 0.6666666666666666, 0.5, 0.8181818181818182, 0.7894736842105263, 0.5833333333333334]",A5s,oral_diseases,12,413,103
0.7217560217560217,0.6820791853215291,0.47572815533980584,"[0.8666666666666667, 0.8666666666666667, 0.7692307692307693, 0.7777777777777778, 0.5454545454545454, 0.6111111111111112, 0.6153846153846154]",A5s,oral_diseases,13,413,103
0.7838876036244457,0.7278966441721718,0.44660194174757284,"[0.875, 1.0, 0.75, 0.6666666666666666, 0.9, 0.5263157894736842, 0.7692307692307693]",A5s,oral_diseases,14,413,103
0.644197530120672,0.7578523778370807,0.22373806275579808,"[0.9833795013850416, 0.6216216216216216, 0.885, 0.2564102564102564, 0.4745762711864407]",B5,aptos2019,0,2929,733
0.6250542088965488,0.7187291186966983,0.2551159618008186,"[0.9750692520775623, 0.6891891891891891, 0.79, 0.1794871794871795, 0.4915254237288136]",B5,aptos2019,1,2929,733
0.6529838325108525,0.7101403426985984,0.2568306010928962,"[0.9778393351800554, 0.6351351351351351, 0.73, 0.4473684210526316, 0.4745762711864407]",B5,aptos2019,2,2930,732
0.6548901661415394,0.707164319860019,0.26229508196721313,"[0.9778393351800554, 0.6351351351351351, 0.715, 0.42105263157894735, 0.5254237288135594]",B5,aptos2019,3,2930,732
0.6462077960284283,0.7083985119820772,0.2540983606557377,"[0.9806094182825484, 0.581081081081081, 0.7336683417085427, 0.41025641025641024, 0.5254237288135594]",B5,aptos2019,4,2930,732
