arm,dataset,fold,n_train,n_val,n_test,best_val_bacc,bacc,mcc,mae_plain,macro_mae_true,per_class_recall
B0P,aptos2019,0,2636,293,733,0.7491666666666666,0.7173117467473071,0.7536874884553263,0.21418826739427013,0.36630103765945826,"[0.9750692520775623, 0.7567567567567568, 0.74, 0.5384615384615384, 0.576271186440678]"
B3P,aptos2019,0,2636,293,733,0.7325,0.698466959705844,0.6859268581052296,0.26330150068212826,0.37801761957271607,"[0.925207756232687, 0.6891891891891891, 0.635, 0.6666666666666666, 0.576271186440678]"
B0P,aptos2019,1,2636,293,733,0.735,0.6800746266316011,0.6868139301079098,0.27012278308321963,0.42872278225055355,"[0.9335180055401662, 0.8783783783783784, 0.585, 0.41025641025641024, 0.5932203389830508]"
B3P,aptos2019,1,2636,293,733,0.7369444444444444,0.6561806359227365,0.6751303068627033,0.26330150068212826,0.40746742104472516,"[0.9362880886426593, 0.6891891891891891, 0.635, 0.41025641025641024, 0.6101694915254238]"
B0P,aptos2019,2,2637,293,732,0.7347222222222223,0.6925760135928221,0.7252820164602479,0.23497267759562843,0.39163843753608535,"[0.9833795013850416, 0.6486486486486487, 0.685, 0.5526315789473685, 0.5932203389830508]"
B3P,aptos2019,2,2637,293,732,0.726388888888889,0.6855806680430372,0.7585576098580551,0.19672131147540983,0.3902678224964248,"[0.9806094182825484, 0.6351351351351351, 0.83, 0.47368421052631576, 0.5084745762711864]"
B0P,aptos2019,3,2637,293,732,0.7177777777777778,0.6603008947254217,0.658666528431874,0.3005464480874317,0.45717818879962646,"[0.9362880886426593, 0.8243243243243243, 0.54, 0.5263157894736842, 0.4745762711864407]"
B3P,aptos2019,3,2637,293,732,0.7433333333333334,0.6979376268140999,0.7112141418852138,0.24180327868852458,0.37727465824432815,"[0.9501385041551247, 0.6486486486486487, 0.7, 0.631578947368421, 0.559322033898305]"
B0P,aptos2019,4,2637,293,732,0.7305555555555556,0.6363185354905304,0.6539033028620768,0.28688524590163933,0.46228869897395636,"[0.9529085872576177, 0.6756756756756757, 0.5577889447236181, 0.4358974358974359, 0.559322033898305]"
B3P,aptos2019,4,2637,293,732,0.7138888888888888,0.6149266318459153,0.6679937347508598,0.27459016393442626,0.47904955629913104,"[0.9279778393351801, 0.5135135135135135, 0.7487437185929648, 0.358974358974359, 0.5254237288135594]"
