arm,fold,bacc,mae_plain,macro_mae_true,repro_dbacc,repro_dmae
B0,0,0.6711051026214648,0.21964529331514324,0.4320365624484597,0.0,2.7755575615628914e-17
B0,1,0.6427510783418102,0.2742155525238745,0.4912475305485306,0.0,0.0
B0,2,0.669678888616773,0.22404371584699453,0.4296739791108071,0.0,2.7755575615628914e-17
B0,3,0.6579334418694952,0.25,0.4635483394094127,0.0,0.0
B0,4,0.6217396951613836,0.2691256830601093,0.5061754529604131,0.0,0.0
B0,5,0.6216648776322939,0.252387448840382,0.49116851223367963,0.0,0.0
B0,6,0.6681058110445875,0.2291950886766712,0.4088964045143209,0.0,0.0
B0,7,0.6499067993294952,0.2581967213114754,0.49828193177449015,0.0,0.0
B0,8,0.6385841893351165,0.2677595628415301,0.49430951078784313,0.0,0.0
B0,9,0.5892626060102722,0.2923497267759563,0.5628887374350688,0.0,0.0
B0,10,0.6643416500574583,0.21145975443383355,0.40828546858660947,0.0,5.551115123125783e-17
B0,11,0.6237506041183678,0.26193724420190995,0.5009348829556352,0.0,5.551115123125783e-17
B0,12,0.6377742198276025,0.24863387978142076,0.48293441387300257,0.0,5.551115123125783e-17
B0,13,0.668620569675267,0.2226775956284153,0.44184563670671,0.0,0.0
B0,14,0.6603350055989561,0.24316939890710382,0.45992853833149255,0.0,2.7755575615628914e-17
B1,0,0.653690343902936,0.2605729877216917,0.4435177435215465,0.0,0.0
B1,1,0.6559923879247322,0.2987721691678035,0.47518527355144097,0.0,0.0
B1,2,0.6721492012694416,0.26229508196721313,0.43577325797556793,0.0,5.551115123125783e-17
B1,3,0.6813626448646872,0.2691256830601093,0.4355113081060778,0.0,0.0
B1,4,0.639772900608512,0.2855191256830601,0.4907579893343493,0.0,0.0
B1,5,0.6333829364546769,0.286493860845839,0.4802965367828037,0.0,0.0
B1,6,0.7017784607029173,0.2551159618008186,0.3931938457217578,0.0,0.0
B1,7,0.6726985888184067,0.27049180327868855,0.4655565646401366,0.0,5.551115123125783e-17
B1,8,0.6370742745186616,0.29508196721311475,0.48209854034512467,0.0,5.551115123125783e-17
B1,9,0.6073471446234601,0.31420765027322406,0.5494087607980468,0.0,5.551115123125783e-17
B1,10,0.6824855952392458,0.24283765347885403,0.40865503691833566,0.0,2.7755575615628914e-17
B1,11,0.6170272611290969,0.3246930422919509,0.5282701947849607,0.0,0.0
B1,12,0.633974861146888,0.2814207650273224,0.5052317111702999,0.0,0.0
B1,13,0.6739827742198277,0.25,0.4465145819560111,0.0,0.0
B1,14,0.6691026424499651,0.27049180327868855,0.4402418996918798,0.0,5.551115123125783e-17
B2,0,0.6544386899693722,0.22100954979536153,0.451092805609027,0.0,2.7755575615628914e-17
B2,1,0.635869157896624,0.23465211459754434,0.4730979767106346,0.0,5.551115123125783e-17
B2,2,0.6546326956093612,0.22404371584699453,0.4436670837230018,0.0,2.7755575615628914e-17
B2,3,0.6460145978176871,0.2527322404371585,0.46608371665717085,0.0,0.0
B2,4,0.6361195979695775,0.24726775956284153,0.4768620146574286,0.0,2.7755575615628914e-17
B2,5,0.6313665628450831,0.24693042291950887,0.4917599266842423,0.0,5.551115123125783e-17
