arm,fold,macro_mae_true
B0,0,0.4320365624484597
B0,1,0.4912475305485306
B0,2,0.4296739791108071
B0,3,0.4635483394094127
B0,4,0.5061754529604131
B0,5,0.4911685122336796
B0,6,0.4088964045143209
B0,7,0.4982819317744901
B0,8,0.4943095107878431
B0,9,0.5628887374350688
B0,10,0.4082854685866094
B0,11,0.5009348829556352
B0,12,0.4829344138730025
B0,13,0.44184563670671
B0,14,0.4599285383314925
B1,0,0.4435177435215465
B1,1,0.4751852735514409
B1,2,0.4357732579755679
B1,3,0.4355113081060778
B1,4,0.4907579893343493
B1,5,0.4802965367828037
B1,6,0.3931938457217578
B1,7,0.4655565646401366
B1,8,0.4820985403451246
B1,9,0.5494087607980468
B1,10,0.4086550369183356
B1,11,0.5282701947849607
B1,12,0.5052317111702999
B1,13,0.4465145819560111
B1,14,0.4402418996918798
B2,0,0.451092805609027
B2,1,0.4730979767106346
B2,2,0.4436670837230018
B2,3,0.4660837166571708
B2,4,0.4768620146574286
B2,5,0.4917599266842423
B2,6,0.3979273465608974
B2,7,0.4622454017001178
B2,8,0.433059180547748
B2,9,0.55394659080448
B2,10,0.4500811192792506
B2,11,0.4760565420108122
B2,12,0.4983848042605731
B2,13,0.4493337905725811
B2,14,0.3995742228617955
B3,0,0.362826231678666
B3,1,0.4155491371134359
B3,2,0.4053734802928191
B3,3,0.4094848127624314
B3,4,0.4354446747230894
B3,5,0.4172928017241365
B3,6,0.3571483558665116
B3,7,0.4391033267644845
B3,8,0.3837619111670006
B3,9,0.484696552251308
B3,10,0.3836875214356317
B3,11,0.4471358951290403
B3,12,0.4484079039366141
B3,13,0.4043272149561646
B3,14,0.4039660770196164
B4,0,0.4157933037827869
B4,1,0.4385779597147266
B4,2,0.4739985204228595
B4,3,0.3970498221588883
B4,4,0.4469190079120571
B4,5,0.4623676574471448
B4,6,0.3585821110813833
B4,7,0.4572548552590339
B4,8,0.421998757713533
B4,9,0.5169169614783052
B4,10,0.4162291505589313
B4,11,0.4934925481195259
B4,12,0.4501772954700322
B4,13,0.4373609571823572
B4,14,0.4472222664479785
B0d,0,0.4759807340666535
B0d,1,0.4666871491498939
B0d,2,0.4445935616822513
B0d,3,0.4878395826222014
B0d,4,0.5291229321876477
B0d,5,0.5142268902619623
B0d,6,0.417153581206917
B0d,7,0.5047029552205851
B0d,8,0.5051474907462982
B0d,9,0.4939576225979131
B0d,10,0.5088174795474668
B0d,11,0.5203622441743481
B0d,12,0.4773539196739347
B0d,13,0.5300869054885207
B0d,14,0.4710035942091096
B1d,0,0.4641860414192448
B1d,1,0.4674620634423442
B1d,2,0.4400641814169679
B1d,3,0.5061823217179338
B1d,4,0.5386657010609677
B1d,5,0.5227494325993786
B1d,6,0.4327846310087729
B1d,7,0.5151204865600847
B1d,8,0.4718468447319567
B1d,9,0.5047356273179271
B1d,10,0.4899141935385421
B1d,11,0.5101725807617165
B1d,12,0.4537452652897039
B1d,13,0.503915098158396
B1d,14,0.4734590861691693
B3d,0,0.4313832553150361
B3d,1,0.4251513518524176
B3d,2,0.4079198680816128
B3d,3,0.4429953366672461
B3d,4,0.493118442317251
B3d,5,0.4090843818389243
B3d,6,0.4262261306584983
B3d,7,0.4565466732989621
B3d,8,0.4340266932973633
B3d,9,0.4482957505101418
B3d,10,0.4691795116796761
B3d,11,0.4767253532411521
B3d,12,0.4707254178917168
B3d,13,0.4596403815430999
B3d,14,0.4341800033989088
B4d,0,0.4286499231139825
B4d,1,0.4555117451074538
B4d,2,0.4702121289795359
B4d,3,0.4609893993246733
B4d,4,0.5208255223315972
B4d,5,0.4947533057441034
B4d,6,0.4528054364519926
B4d,7,0.5021374864699903
B4d,8,0.491586651067237
B4d,9,0.4743954070898667
B4d,10,0.5050313627470302
B4d,11,0.4977501101776419
B4d,12,0.4714255725747815
B4d,13,0.4785952810879333
B4d,14,0.4659761073433265
B5,0,0.4858830180080943
B5,1,0.5019288250968612
B5,2,0.47463636536672826
B5,3,0.45162688769806475
B5,4,0.4794557292804904
B5,5,0.5482265121521425
B5,6,0.4955692597725088
B5,7,0.47320451410610576
B5,8,0.44573468618625667
B5,9,0.5555439391215765
B5,10,0.46332266306185266
B5,11,0.5157773428045271
B5,12,0.5002366498617496
B5,13,0.4364835070292603
B5,14,0.42746448084401295
B5s,0,0.45016821419685404
B5s,1,0.509457056781579
B5s,2,0.4673610066707864
B5s,3,0.4638171846667081
B5s,4,0.4966002619301982
B5s,5,0.49539440625223996
B5s,6,0.4340040706754637
B5s,7,0.5110951256435082
B5s,8,0.45666693398878005
B5s,9,0.5432825479409873
B5s,10,0.49392359598219027
B5s,11,0.48712866913510133
B5s,12,0.48174693140015457
B5s,13,0.43874972939980683
B5s,14,0.42365039657223846
