task,variant,n_patients,n_benign,pred_rule,agg_rule,n_OPMD,n_cancer,cancer_is_pseudo,bacc,mcc,recall_benign_normal,recall_OPMD,recall_oral_cancer,bacc_ci,recall_benign_normal_ci,recall_OPMD_ci,recall_oral_cancer_ci
META_id_coverage,01. Normal,2114,31.0,with_id=2114/without_id=31,,,,,,,,,,,,,
META_id_coverage,02. Variation from normal,178,1.0,with_id=178/without_id=1,,,,,,,,,,,,,
META_id_coverage,03. OPMD,124,1.0,with_id=124/without_id=1,,,,,,,,,,,,,
META_id_coverage,04. Oral Cancer,0,20.0,with_id=0/without_id=20,,,,,,,,,,,,,
META_label_constancy,patients_with_id,305,,const3=242/const4=164/mixed3=63,,,,,,,,,,,,,
3class_patient(real+cancer_pseudo),ce,325,242.0,full_argmax,max_risk,63.0,20.0,True,0.2825396825396826,-0.06284190725170052,0.0,0.047619047619047616,0.8,"[0.211, 0.337]","[0.000, 0.000]","[0.000, 0.111]","[0.600, 0.950]"
2class_patient_real(benign_vs_disease),ce,305,242.0,full_argmax(cancer→disease),max_risk,63.0,0.0,False,0.5,0.0,0.0,1.0,,"[0.500, 0.500]","[0.000, 0.000]","[1.000, 1.000]",
E1_patient(OPMD_real+cancer_pseudo),ce,83,0.0,full_argmax,max_risk,63.0,20.0,True,0.42380952380952386,-0.2345093376194638,,0.047619047619047616,0.8,"[0.316, 0.507]",,"[0.000, 0.095]","[0.600, 0.950]"
E1_patient(OPMD_real+cancer_pseudo),ce,83,0.0,disease_argmax,max_risk,63.0,20.0,True,0.42380952380952386,-0.2345093376194638,,0.047619047619047616,0.8,"[0.316, 0.507]",,"[0.000, 0.095]","[0.600, 0.950]"
3class_patient(real+cancer_pseudo),ce,325,242.0,full_argmax,majority,63.0,20.0,True,0.51005291005291,0.07687523472981622,0.0,0.7301587301587301,0.8,"[0.433, 0.576]","[0.000, 0.000]","[0.619, 0.825]","[0.600, 0.950]"
2class_patient_real(benign_vs_disease),ce,305,242.0,full_argmax(cancer→disease),majority,63.0,0.0,False,0.5,0.0,0.0,1.0,,"[0.500, 0.500]","[0.000, 0.000]","[1.000, 1.000]",
E1_patient(OPMD_real+cancer_pseudo),ce,83,0.0,full_argmax,majority,63.0,20.0,True,0.765079365079365,0.46328604407423996,,0.7301587301587301,0.8,"[0.652, 0.862]",,"[0.603, 0.841]","[0.600, 0.950]"
E1_patient(OPMD_real+cancer_pseudo),ce,83,0.0,disease_argmax,majority,63.0,20.0,True,0.7571428571428571,0.44725194178903166,,0.7142857142857143,0.8,"[0.647, 0.854]",,"[0.587, 0.825]","[0.600, 0.950]"
3class_patient(real+cancer_pseudo),ce_balanced,325,242.0,full_argmax,max_risk,63.0,20.0,True,0.2931216931216931,-0.053262711470038304,0.0,0.07936507936507936,0.8,"[0.221, 0.348]","[0.000, 0.000]","[0.016, 0.143]","[0.600, 0.950]"
2class_patient_real(benign_vs_disease),ce_balanced,305,242.0,full_argmax(cancer→disease),max_risk,63.0,0.0,False,0.5,0.0,0.0,1.0,,"[0.500, 0.500]","[0.000, 0.000]","[1.000, 1.000]",
E1_patient(OPMD_real+cancer_pseudo),ce_balanced,83,0.0,full_argmax,max_risk,63.0,20.0,True,0.4396825396825397,-0.16592858162161475,,0.07936507936507936,0.8,"[0.324, 0.523]",,"[0.016, 0.143]","[0.600, 0.950]"
E1_patient(OPMD_real+cancer_pseudo),ce_balanced,83,0.0,disease_argmax,max_risk,63.0,20.0,True,0.4396825396825397,-0.16592858162161475,,0.07936507936507936,0.8,"[0.324, 0.523]",,"[0.016, 0.143]","[0.600, 0.950]"
3class_patient(real+cancer_pseudo),ce_balanced,325,242.0,full_argmax,majority,63.0,20.0,True,0.5312169312169313,0.10207537105350895,0.0,0.7936507936507936,0.8,"[0.459, 0.597]","[0.000, 0.000]","[0.683, 0.889]","[0.600, 0.950]"
2class_patient_real(benign_vs_disease),ce_balanced,305,242.0,full_argmax(cancer→disease),majority,63.0,0.0,False,0.5,0.0,0.0,1.0,,"[0.500, 0.500]","[0.000, 0.000]","[1.000, 1.000]",
