section,variant,group,n,pred_benign,pred_OPMD,pred_cancer,pmax_mean,pmax_q25,pmax_median,pmax_q75,pbenign_mean,pbenign_q25,pbenign_median,pbenign_q75,score,auroc,auprc_healthy_pos,auprc_disease_pos,prevalence_healthy,thr_keep90,disease_kept@90,healthy_recall@90,normal_recall@90,variation_recall@90,OPMD_kept@90,cancer_kept@90,thr_keep95,disease_kept@95,healthy_recall@95,normal_recall@95,variation_recall@95,OPMD_kept@95,cancer_kept@95
predicted_class_and_softmax,ce,01. Normal,2145,0.05454545454545454,0.675990675990676,0.26946386946386947,0.8998253345489502,0.8401830792427063,0.97798091173172,0.9989538192749023,0.06131429597735405,8.764106382841419e-07,5.676687942468561e-05,0.00379343144595623,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce,02. Variation from normal,179,0.027932960893854747,0.6536312849162011,0.31843575418994413,0.8896989226341248,0.8112277686595917,0.9724341630935669,0.9985402524471283,0.030710630118846893,9.812333701120224e-08,5.435622369986959e-06,0.00010865971125895157,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce,healthy_all,2324,0.05249569707401033,0.6742685025817556,0.27323580034423406,0.8990453481674194,0.8369464874267578,0.9775964915752411,0.9989426732063293,0.05895712599158287,7.189500053073061e-07,4.511552833719179e-05,0.0028695971705019474,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce,OPMD,125,0.0,0.472,0.528,0.9071002006530762,0.8581002950668335,0.9560084342956543,0.9943023920059204,0.001240217941813171,2.6466024927174203e-09,1.4274563397975726e-07,1.3643281818076503e-05,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce,oral_cancer,20,0.0,0.2,0.8,0.9476855397224426,0.9756168872117996,0.9992892444133759,0.999981701374054,0.0005187259521335363,7.757234499194965e-08,8.521367078628828e-07,4.239553527440876e-05,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce,disease_all,145,0.0,0.43448275862068964,0.5655172413793104,0.9126981496810913,0.8588690161705017,0.9657343626022339,0.9970418810844421,0.0011407019337639213,2.704356294458421e-09,1.4985741358941596e-07,1.4607223420171067e-05,,,,,,,,,,,,,,,,,,,
separation_healthy_vs_disease,ce,all_test,2469,,,,,,,,,,,,P(benign),0.7401641046946407,0.9773093783676481,0.1621520068521343,0.9412717699473471,0.00029583045397885144,0.896551724137931,0.3816695352839931,0.3962703962703963,0.20670391061452514,0.888,0.95,0.0013805379858240485,0.9448275862068966,0.2848537005163511,0.29790209790209793,0.12849162011173185,0.944,0.95
separation_healthy_vs_disease,ce,all_test,2469,,,,,,,,,,,,max_softmax,0.5141699804142679,0.9452451512117587,0.057688678239184166,0.9412717699473471,0.9998683929443359,0.896551724137931,0.1355421686746988,0.13892773892773894,0.09497206703910614,0.944,0.6,0.9999765753746033,0.9448275862068966,0.0774526678141136,0.08111888111888112,0.0335195530726257,0.984,0.7
predicted_class_and_softmax,ce_balanced,01. Normal,2145,0.043356643356643354,0.7114219114219115,0.24522144522144523,0.9102662205696106,0.8730794191360474,0.9838693737983704,0.9993669390678406,0.04927968606352806,5.432355578705028e-07,3.1766659958520904e-05,0.0019510317360982299,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce_balanced,02. Variation from normal,179,0.027932960893854747,0.664804469273743,0.30726256983240224,0.8952785134315491,0.8211825489997864,0.9809067845344543,0.9991489052772522,0.0271524079144001,1.0204628253518422e-07,4.469959094421938e-06,7.255593300214969e-05,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce_balanced,healthy_all,2324,0.04216867469879518,0.7078313253012049,0.25,0.9091117978096008,0.8702564984560013,0.9836682677268982,0.9993525743484497,0.047575391829013824,4.7347192833058216e-07,2.4297476556967013e-05,0.0015395082591567189,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce_balanced,OPMD,125,0.0,0.472,0.528,0.9106454253196716,0.8562976121902466,0.960258424282074,0.9950242638587952,0.0006010491051711142,2.761362694059244e-09,1.1094356011653872e-07,1.0868514436879195e-05,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce_balanced,oral_cancer,20,0.0,0.2,0.8,0.9718648791313171,0.9774877279996872,0.9996447563171387,0.999994158744812,0.0004954090691171587,4.8387067685951024e-08,7.036386477921042e-07,2.6393818643555278e-05,,,,,,,,,,,,,,,,,,,
predicted_class_and_softmax,ce_balanced,disease_all,145,0.0,0.43448275862068964,0.5655172413793104,0.9190893769264221,0.8910976648330688,0.9662045240402222,0.9981566071510315,0.0005864780978299677,4.332910474857954e-09,1.3057182002285117e-07,1.1216496204724535e-05,,,,,,,,,,,,,,,,,,,
separation_healthy_vs_disease,ce_balanced,all_test,2469,,,,,,,,,,,,P(benign),0.7297065107721527,0.9762614799341754,0.1581305634907877,0.9412717699473471,0.0002649022208061069,0.896551724137931,0.34036144578313254,0.35291375291375293,0.18994413407821228,0.896,0.9,0.0008314936421811581,0.9448275862068966,0.2848537005163511,0.296969696969697,0.13966480446927373,0.944,0.95
separation_healthy_vs_disease,ce_balanced,all_test,2469,,,,,,,,,,,,max_softmax,0.5268072289156628,0.9468294310376071,0.06000952222062107,0.9412717699473471,0.9999289512634277,0.896551724137931,0.14285714285714285,0.14545454545454545,0.11173184357541899,0.928,0.7,0.9999935030937195,0.9448275862068966,0.06841652323580034,0.07179487179487179,0.027932960893854747,0.984,0.7
