task,backbone,variant,rule,n,bacc_seed0,bacc_seed_mean,bacc_seed_sd,mcc,recall_benign_normal,recall_OPMD,recall_oral_cancer,bacc_ci,recall_benign_normal_ci,recall_OPMD_ci,recall_oral_cancer_ci,n_pred_benign_seed0
3class_full_test,dinov2,ce,full_argmax,2469,0.5123993115318416,0.492295123350545,0.019672912027118808,0.06901078886851451,0.33519793459552494,0.352,0.85,"[0.453, 0.566]","[0.316, 0.354]","[0.272, 0.432]","[0.700, 1.000]",
3class_full_test,dinov2,ce_balanced,full_argmax,2469,0.505429718875502,0.4697275960986804,0.020818559302992586,0.06307610776515224,0.32228915662650603,0.344,0.85,"[0.448, 0.558]","[0.303, 0.341]","[0.272, 0.424]","[0.700, 1.000]",
3class_full_test,dinov2,ldam,full_argmax,2469,0.4982375215146299,0.47626574870912214,0.03659956534059049,0.09048293233888725,0.35671256454388983,0.488,0.65,"[0.421, 0.572]","[0.336, 0.375]","[0.400, 0.576]","[0.450, 0.850]",
3class_full_test,dinov2,logitadj,full_argmax,2469,0.5136844520940906,0.49127527251864606,0.012902267105412335,0.06246971457169354,0.2990533562822719,0.392,0.85,"[0.454, 0.566]","[0.280, 0.318]","[0.312, 0.480]","[0.700, 1.000]",
E1_aligned_OPMD_cancer,dinov2,ce,full_argmax,145,0.601,0.5742,0.030458168034207183,0.1907125475238598,,0.352,0.85,"[0.507, 0.680]",,"[0.264, 0.440]","[0.650, 1.000]",8.0
E1_aligned_OPMD_cancer,dinov2,ce,disease_argmax,145,0.642,0.6060000000000001,0.03267261850540911,0.20603525503124331,,0.384,0.9,"[0.556, 0.708]",,"[0.296, 0.472]","[0.750, 1.000]",0.0
E1_aligned_OPMD_cancer,dinov2,ce_balanced,full_argmax,145,0.597,0.5496000000000001,0.028156704352604884,0.18603935051036702,,0.344,0.85,"[0.503, 0.676]",,"[0.264, 0.432]","[0.650, 1.000]",8.0
E1_aligned_OPMD_cancer,dinov2,ce_balanced,disease_argmax,145,0.638,0.5856000000000001,0.03240833226193538,0.2012080860143325,,0.376,0.9,"[0.555, 0.704]",,"[0.288, 0.464]","[0.750, 1.000]",0.0
E1_aligned_OPMD_cancer,dinov2,ldam,full_argmax,145,0.569,0.5576000000000001,0.04075904807524337,0.15507761482882287,,0.488,0.65,"[0.452, 0.681]",,"[0.400, 0.568]","[0.450, 0.850]",9.0
E1_aligned_OPMD_cancer,dinov2,ldam,disease_argmax,145,0.639,0.6052000000000001,0.055827412621399536,0.19176518600261871,,0.528,0.75,"[0.532, 0.735]",,"[0.440, 0.616]","[0.550, 0.900]",0.0
E1_aligned_OPMD_cancer,dinov2,logitadj,full_argmax,145,0.621,0.5944,0.01671227094083864,0.214100789345885,,0.392,0.85,"[0.527, 0.703]",,"[0.304, 0.480]","[0.650, 1.000]",8.0
E1_aligned_OPMD_cancer,dinov2,logitadj,disease_argmax,145,0.662,0.6362,0.016115210206509887,0.23025677366405928,,0.424,0.9,"[0.580, 0.732]",,"[0.336, 0.520]","[0.750, 1.000]",0.0
