arm,base,dataset,R,K,n,n_fits,delta_cv,delta_ncv_in,delta_ncv_bc,frozen_mean_diff,point_minus_neg_frozen,mse_ncv_raw,mse_ncv_rescaled,ncv_se_unclipped,ncv_se,naive_se_sample,naive_se_fold,naive_se_foldKR,nb_se,nb_ratio,ratio_ncv_over_nb,ratio_unclipped_over_nb,clipped,z_ncv,p_ncv_normal,ci95_lo,ci95_hi,mde80_ncv,mde80_nb_t15,mde_floor,sec_per_fit,sec_arm_total,fold_scheme,verdict_note
B3,B0,aptos2019,10,5,3662,500,-0.0212887413811872,-0.0181852687792469,-0.0231508249423515,0.0179502488760231,-0.0033384925051641,0.0001574117877694,0.0001259294302155,0.0112218282920183,0.0112218282920183,0.0102898530385691,0.0117487903207679,0.0034849417292703,0.0067699548395834,0.25,1.657592784283456,1.657592784283456,False,-1.897083151444156,0.0578169645317198,-0.0432831208477246,0.00070563808535,0.0314389082631203,0.0203968006871713,0.019,0.2344984607838851,118.3589027650014,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A2,A0,oral_diseases,10,5,516,500,-0.0011375320585846,-0.0019736827634433,-0.0006358416356695,0.003133908002329,0.0019963759437443,2.559010230568052e-05,2.0472081844544417e-05,0.0045246084741714,0.0045246084741714,0.0038745223114542,0.0035727109480237,0.0011595832303364,0.0073287351729547,0.25,0.6173791749043805,0.6173791749043805,False,-0.2514100535058975,0.8014970957036948,-0.0100056017820557,0.0077305376648863,0.0126760762189875,0.0220803172478797,0.032,0.1643948055001965,82.4306313850102,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A1,A0,oral_diseases,100,5,516,4750,0.0039641589404747,0.0045227094633459,0.003629028626752,-0.0039888230677704,-2.4664127295669427e-05,0.0002698843379591,0.0002159074703673,0.0146937901974724,0.0146937901974724,0.013078397920613,0.0130876928752799,0.001304742594576,0.0168469149520199,0.25,0.8721947157280975,0.8721947157280975,False,0.2697846428456988,0.7873259381317821,-0.0248351408701241,0.0327634587510735,0.041165905415292,0.0507570840001679,0.032,0.1718704424573194,824.0437368530111,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A2,A0,oral_diseases,100,5,516,2500,-0.0024655302300039,-0.0020386685130794,-0.0027216472601585,0.003133908002329,0.000668377772325,1.896599709009269e-05,1.5172797672074157e-05,0.0038952275507438,0.0044710573637836,0.0044710573637836,0.0043274897342655,0.0004416537114055,0.0073287351729547,0.25,0.6100721691081475,0.5315006558182745,True,-0.5514423165256485,0.5813304990168279,-0.0112286417049547,0.0062975812449469,0.0125260482197114,0.0220803172478797,0.032,0.166649627142027,417.968670563001,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A3,A0,oral_diseases,100,5,516,2500,0.0162793685846317,0.0160097672819807,0.0164411293662223,-0.0105747128115549,0.0057046557730768,0.0003724865028934,0.0002979892023147,0.0172623637522441,0.0172623637522441,0.014183278229705,0.0146436157059108,0.0014391529249813,0.0182998183395168,0.25,0.9433079297277872,0.9433079297277872,False,0.9430555871883622,0.3456524710534224,-0.0175542429246717,0.0501129800939352,0.0483619831179764,0.0551344515771597,0.032,0.2420532534280268,610.1025864139956,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A4,A0,oral_diseases,100,5,516,2500,-8.84621226726488e-05,0.0014421950476877,-0.0010068564248888,-0.0094434318118529,-0.0095318939345255,0.0003070872679507,0.0002456698143605,0.0156738576732268,0.0156738576732268,0.0129768402703459,0.0132432625405523,0.0013159535638756,0.0164188623208763,0.25,0.9546250749236012,0.9546250749236012,False,-0.005643927903196,0.9954968209710872,-0.030808658903321,0.0306317346579757,0.0439116479681188,0.0494674292819404,0.032,0.191801047014771,485.0636734849977,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B1,B0,aptos2019,100,5,3662,4750,-0.0147693327900745,-0.0110820080854531,-0.0169817276128473,0.0097511652422073,-0.0050181675478672,7.450598019551277e-05,5.960478415641022e-05,0.0077204134705603,0.0077204134705603,0.0063548943180596,0.0067321800260524,0.0006545765309779,0.0075901371064495,0.25,1.017163901295035,1.017163901295035,False,-1.913023550667749,0.0557450375846088,-0.0299010652574879,0.0003623996773388,0.0216293962568422,0.0228678798333139,0.019,0.1847848590800269,888.6485267960088,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B2,B0,aptos2019,100,5,3662,2500,-0.0010767628077577,0.0006349265944455,-0.0021037764490798,0.0003565014139086,-0.0007202613938491,0.0001220225344814,9.761802758519923e-05,0.0098801835805413,0.0098801835805413,0.0084561230008399,0.0088589741543882,0.0008514318784648,0.0109764866793536,0.25,0.9001225865035356,0.9001225865035356,False,-0.1089820648553975,0.9132167157671082,-0.0204415669390099,0.0182880413234943,0.0276801762714871,0.0330704142566991,0.019,0.2679786468933045,713.652752006994,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B3,B0,aptos2019,100,5,3662,2500,-0.0231944430570966,-0.0165309217252221,-0.0271925558562213,0.0179502488760231,-0.0052441941810735,0.0001487999181673,0.0001190399345339,0.010910542357459,0.010910542357459,0.0103561691026537,0.0103054529068379,0.0009715196040679,0.0067699548395834,0.25,1.6116122804344204,1.6116122804344204,False,-2.125874433844225,0.0335137161714456,-0.0445787132981915,-0.0018101728160018,0.0305668141902526,0.0203968006871713,0.019,0.291911028700869,736.4602479589958,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B4,B0,aptos2019,100,5,3662,2500,-0.0193103035903145,-0.0143129417331699,-0.0223087207046012,0.019275398600259,-3.490499005552247e-05,0.0001525674214374,0.0001220539371499,0.0110478023674383,0.0110478023674383,0.008855217825873,0.0088335376532158,0.0008636321227283,0.0118372249985676,0.25,0.9333101608506446,0.9333101608506446,False,-1.7478864074567904,0.0804836989758031,-0.0409635985096085,0.0023429913289795,0.0309513598052488,0.0356636823591933,0.019,1.5975937132060412,4000.927717426996,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A5,A0,oral_diseases,100,5,516,2500,0.0316695436142804,0.0296639057685282,0.0328729263217317,-0.0367760504602609,-0.0051065068459804,0.0006586944979779,0.0005269555983823,0.0229555134637052,0.0229555134637052,0.0166867369240331,0.0183598380850639,0.0017951507306639,0.022462602263403,0.25,1.0219436374522528,1.0219436374522528,False,1.379605107258997,0.16770826408405,-0.0133224363760971,0.076661523604658,0.0643118271941099,0.0676762596115087,0.032,0.3584939161135815,898.4105122380133,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A5s,A0,oral_diseases,100,5,516,2500,0.004127500423553,0.0275844564427508,-0.0099466731879656,-0.0055564562143509,-0.0014289557907978,0.0011947180225879,0.0009557744180703,0.0309156015317561,0.0309156015317561,0.0149261842928182,0.0154405578997474,0.0015444121365828,0.0189209531245355,0.25,1.6339346822685543,1.6339346822685543,False,0.1335086564404493,0.8937911187089665,-0.0564659656170338,0.0647209664641399,0.0866126922604386,0.0570058322155975,0.032,0.370325818002742,927.2365037980052,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B5,B0,aptos2019,100,5,3662,2500,0.0035607811679553,-0.0048519703317926,0.0086084320678042,-0.0016552426324812,0.0019055385354741,0.0003714188029234,0.0002971350423387,0.017237605469981,0.0165088842638465,0.0073829974893274,0.0097660938120608,0.0009191167834985,0.0112367468720817,0.25,1.469187163489794,1.5340387806375555,True,0.2156887837510186,0.8292303447146308,-0.0287960376693503,0.035917600005261,0.0462510461211302,0.0338545369582037,0.019,0.3931760488291737,989.155442258998,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B5s,B0,aptos2019,100,5,3662,2500,-0.0005681178141693,0.0009968957176629,-0.0015071259332687,0.0005720958116253,3.977997455925967e-06,8.675449059076078e-05,6.940359247260863e-05,0.0083308818544382,0.0083308818544382,0.0067126885799941,0.0072684712038939,0.0007013334765712,0.0086916446423368,0.25,0.9584931502904208,0.9584931502904208,False,-0.0681941988970484,0.9456310448326324,-0.0168963463371216,0.0157601107087828,0.0233396754572397,0.0261865474163745,0.019,0.3794488859681412,954.7958737829904,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
A2d,A0d,oral_diseases,100,5,516,5000,-0.0006889237955027,-0.0010506827618497,-0.0004718684156945,-0.0019291673239041,-0.0026180911194068,2.9938369652068704e-05,2.395069572165496e-05,0.0048939448016559,0.0048939448016559,0.0048580440058666,0.0049270378735571,0.0004933129441627,0.0069252872799345,0.25,0.7066775144239509,0.7066775144239509,False,-0.1407706509623154,0.8880511292859272,-0.0102808794247354,0.0089030318337299,0.01371080341458,0.0208647927050161,0.032,0.174444186359446,874.7984358050016,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B1d,B0d,aptos2019,100,5,3662,5000,-0.0073575390619916,-0.0069825123197403,-0.0075825551073424,0.0038582719254135,-0.0034992671365781,2.18821766825458e-05,1.7505741346036638e-05,0.0041839862985001,0.0052061424403514,0.0052061424403514,0.0052299813204035,0.0005191197292842,0.0050758180374904,0.25,1.0256755466603589,0.8242979294365655,True,-1.4132419821949662,0.1575845864081009,-0.0175613908239527,0.0028463126999693,0.0145854517042792,0.0152926350748615,0.019,0.1875844551548944,949.568038767,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B3d,B0d,aptos2019,100,5,3662,2500,-0.0073638237003794,-0.0047238960138497,-0.0089477803122973,0.0074160212446006,5.21975442211069e-05,0.0001295721832927,0.0001036577466341,0.0101812448469805,0.0104337961063849,0.0104337961063849,0.010178200832276,0.0009599788764982,0.0092861604379285,0.25,1.1235855955890088,1.096389074368796,True,-0.7057664943129554,0.4803333617596423,-0.0278136884522342,0.0130860410514752,0.0292311689404528,0.0279777292595912,0.019,0.298291629343474,751.8153789249918,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
B4d,B0d,aptos2019,100,5,3662,2500,-0.008690368614388908,-0.00751508314032714,-0.00939553989882597,0.0088052426125041,0.00011487399811519264,0.00014899210342759459,0.00011919368274207567,0.010917585939303417,0.010917585939303417,0.008748703840648072,0.009250901105900516,0.0008848667332513962,0.0083850859150205,0.25,1.3020243382058088,1.3020243382058088,False,-0.7959972710728564,0.42603362155518165,-0.03008844402232979,0.012707706793551973,0.03058654738503044,0.0252629345698865,0.019,1.5036899674929562,3765.8266572290013,"outer StratifiedKFold(5,shuffle,rs=r) · inner StratifiedKFold(4,shuffle,rs=r)",exploratory (R11) — pre-registered verdict 0/18 unchanged
