seed,arm,fold,lr_match,wd_match,epoch_match,score_absdiff,inner_best_absdiff,inner_epoch_match,n_tied_match,n_inner_valid,n_cands,lr_mine,wd_mine,epoch_mine
0,B0,0,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,280
0,B0,1,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,460
0,B0,2,True,True,True,0.0,0.0,True,True,3,16,0.01,1.0,60
0,B0,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,420
0,B0,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,730
0,B0,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,720
0,B0,6,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,50
0,B0,7,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,180
0,B0,8,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,250
0,B0,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,300
0,B0,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,690
0,B0,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,530
0,B0,12,True,True,True,0.0,0.0,True,True,3,16,0.01,0.01,100
0,B0,13,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,460
0,B0,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,510
0,B1,0,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,130
0,B1,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,550
0,B1,2,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,360
0,B1,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,270
0,B1,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,590
0,B1,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,530
0,B1,6,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,110
0,B1,7,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,210
0,B1,8,True,True,True,0.0,0.0,True,True,3,16,0.01,30.0,250
0,B1,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,700
0,B1,10,True,True,True,0.0,0.0,True,True,3,16,0.001,10.0,110
0,B1,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,40
0,B1,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,350
0,B1,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,330
0,B1,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,130
0,B4,0,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,70
0,B4,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,190
0,B4,2,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,70
0,B4,3,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,120
0,B4,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,90
0,B4,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,660
0,B4,6,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,270
0,B4,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,410
0,B4,8,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,110
0,B4,9,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,190
0,B4,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,140
0,B4,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,230
0,B4,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,210
0,B4,13,True,True,True,0.0,0.0,True,True,3,16,0.01,0.1,40
0,B4,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,580
0,B0d,0,True,True,True,0.0,0.0,True,True,3,16,0.001,0.01,290
0,B0d,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,750
