seed,arm,fold,lr,wd,epoch,bacc_mine,bacc_archive,bacc_absdiff,pred_mismatch,n_test,device
0,B0,0,0.01,10.0,280,0.639566365281949,0.639566365281949,0.0,0,730,cuda
0,B1,0,0.01,30.0,130,0.6689276257086344,0.6689276257086344,0.0,0,730,cuda
0,B4,0,0.01,3.0,70,0.6933834515729109,0.6933834515729109,0.0,0,730,cuda
0,B0d,0,0.001,0.01,290,0.6507600998627805,0.6507600998627805,0.0,0,730,cuda
0,B1d,0,0.01,30.0,290,0.6697842807906416,0.6697842807906416,0.0,0,730,cuda
1,B0,0,0.01,10.0,610,0.6518018997005821,0.6518018997005821,0.0,0,730,cuda
1,B1,0,0.01,30.0,140,0.6514438701285589,0.6514438701285589,0.0,0,730,cuda
1,B4,0,0.001,0.1,130,0.7078525896335982,0.7078525896335982,0.0,0,730,cuda
1,B0d,0,0.01,10.0,560,0.6551017411081019,0.6551017411081019,0.0,0,730,cuda
1,B1d,0,0.01,30.0,660,0.6422559796707911,0.6422559796707911,0.0,0,730,cuda
2,B0,0,0.01,1.0,70,0.6778967876991503,0.6778967876991503,0.0,0,730,cuda
2,B1,0,0.01,30.0,170,0.6674785270764371,0.6674785270764371,0.0,0,730,cuda
2,B4,0,0.01,10.0,110,0.6885850292370056,0.6885850292370056,0.0,0,730,cuda
2,B0d,0,0.01,10.0,520,0.6405182807499937,0.6405182807499937,0.0,0,730,cuda
2,B1d,0,0.01,30.0,340,0.6455418565482173,0.6455418565482173,0.0,0,730,cuda
3,B0,0,0.01,10.0,730,0.6311578332818677,0.6311578332818677,0.0,0,730,cuda
3,B1,0,0.01,30.0,190,0.6630804212698806,0.6630804212698806,0.0,0,730,cuda
3,B4,0,0.01,3.0,60,0.7086457978893235,0.7086457978893235,0.0,0,730,cuda
3,B0d,0,0.001,0.1,330,0.6395081797398927,0.6395081797398927,0.0,0,730,cuda
3,B1d,0,0.01,30.0,250,0.6842955910765997,0.6842955910765997,0.0,0,730,cuda
4,B0,0,0.01,10.0,680,0.6407177178417525,0.6407177178417525,0.0,0,730,cuda
4,B1,0,0.01,30.0,120,0.6667274910459826,0.6667274910459826,0.0,0,730,cuda
4,B4,0,0.001,1.0,70,0.6796388628283221,0.6796388628283221,0.0,0,730,cuda
4,B0d,0,0.001,3.0,330,0.6571219431283039,0.6571219431283039,0.0,0,730,cuda
4,B1d,0,0.01,30.0,130,0.6718044828108435,0.6718044828108435,0.0,0,730,cuda
0,B0,5,0.01,10.0,720,0.6359818712361085,0.6359818712361085,0.0,0,742,cuda
0,B1,5,0.01,10.0,530,0.7095983112932266,0.7095983112932266,0.0,0,742,cuda
0,B4,5,0.01,10.0,660,0.703203576084932,0.703203576084932,0.0,0,742,cuda
0,B0d,5,0.01,10.0,740,0.6324964301235488,0.6324964301235488,0.0,0,742,cuda
0,B1d,5,0.01,30.0,300,0.6695772024585585,0.6695772024585585,0.0,0,742,cuda
0,B0,10,0.01,10.0,690,0.6518387405979217,0.6518387405979217,0.0,0,721,cuda
0,B1,10,0.001,10.0,110,0.6476401159794615,0.6476401159794615,0.0,0,721,cuda
0,B4,10,0.01,10.0,140,0.6307770203632692,0.6307770203632692,0.0,0,721,cuda
0,B0d,10,0.001,0.1,350,0.6635748314443607,0.6635748314443607,0.0,0,721,cuda
0,B1d,10,0.01,30.0,420,0.6643359765099085,0.6643359765099085,0.0,0,721,cuda
