seed,base,fold,tau_stored,tau_mine,tau_match,tau_in_grid,n_inner_tau,pred_mismatch,ytrue_match,test_index_match,bacc_absdiff,settings_match
0,B0,0,0.85,0.85,True,True,3,0,True,True,0.0,True
0,B0,1,1.3,1.3,True,True,3,0,True,True,0.0,True
0,B0,2,1.3,1.3,True,True,3,0,True,True,0.0,True
0,B0,3,1.1,1.1,True,True,3,0,True,True,0.0,True
0,B0,4,0.85,0.85,True,True,3,0,True,True,0.0,True
0,B0,5,0.8,0.8,True,True,3,0,True,True,0.0,True
0,B0,6,1.35,1.35,True,True,3,0,True,True,0.0,True
0,B0,7,1.55,1.55,True,True,3,0,True,True,0.0,True
0,B0,8,1.15,1.15,True,True,3,0,True,True,0.0,True
0,B0,9,0.7,0.7,True,True,3,0,True,True,0.0,True
0,B0,10,1.15,1.15,True,True,3,0,True,True,0.0,True
0,B0,11,1.25,1.25,True,True,3,0,True,True,0.0,True
0,B0,12,0.85,0.85,True,True,3,0,True,True,0.0,True
0,B0,13,0.95,0.95,True,True,3,0,True,True,0.0,True
0,B0,14,1.1,1.1,True,True,3,0,True,True,0.0,True
0,B0d,0,1.45,1.45,True,True,3,0,True,True,0.0,True
0,B0d,1,0.65,0.65,True,True,3,0,True,True,0.0,True
0,B0d,2,0.75,0.75,True,True,3,0,True,True,0.0,True
0,B0d,3,1.05,1.05,True,True,3,0,True,True,0.0,True
0,B0d,4,0.85,0.85,True,True,3,0,True,True,0.0,True
0,B0d,5,0.8,0.8,True,True,3,0,True,True,0.0,True
0,B0d,6,1.2,1.2,True,True,3,0,True,True,0.0,True
0,B0d,7,1.2,1.2,True,True,3,0,True,True,0.0,True
0,B0d,8,0.7,0.7,True,True,3,0,True,True,0.0,True
0,B0d,9,1.65,1.65,True,True,3,0,True,True,0.0,True
0,B0d,10,1.25,1.25,True,True,3,0,True,True,0.0,True
0,B0d,11,1.25,1.25,True,True,3,0,True,True,0.0,True
0,B0d,12,1.0,1.0,True,True,3,0,True,True,0.0,True
0,B0d,13,1.0,1.0,True,True,3,0,True,True,0.0,True
0,B0d,14,1.4,1.4,True,True,3,0,True,True,0.0,True
1,B0,0,1.15,1.15,True,True,3,0,True,True,0.0,True
1,B0,1,1.15,1.15,True,True,3,0,True,True,0.0,True
1,B0,2,1.0,1.0,True,True,3,0,True,True,0.0,True
1,B0,3,1.1,1.1,True,True,3,0,True,True,0.0,True
1,B0,4,0.9,0.9,True,True,3,0,True,True,0.0,True
1,B0,5,0.8,0.8,True,True,3,0,True,True,0.0,True
1,B0,6,0.8,0.8,True,True,3,0,True,True,0.0,True
1,B0,7,1.35,1.35,True,True,3,0,True,True,0.0,True
1,B0,8,1.3,1.3,True,True,3,0,True,True,0.0,True
1,B0,9,0.95,0.95,True,True,3,0,True,True,0.0,True
1,B0,10,0.7,0.7,True,True,3,0,True,True,0.0,True
1,B0,11,0.95,0.95,True,True,3,0,True,True,0.0,True
1,B0,12,1.0,1.0,True,True,3,0,True,True,0.0,True
1,B0,13,0.9,0.9,True,True,3,0,True,True,0.0,True
1,B0,14,0.35,0.35,True,True,3,0,True,True,0.0,True
1,B0d,0,1.3,1.3,True,True,3,0,True,True,0.0,True
1,B0d,1,1.25,1.25,True,True,3,0,True,True,0.0,True
1,B0d,2,0.6,0.6,True,True,3,0,True,True,0.0,True
1,B0d,3,1.05,1.05,True,True,3,0,True,True,0.0,True
1,B0d,4,1.3,1.3,True,True,3,0,True,True,0.0,True
1,B0d,5,0.95,0.95,True,True,3,0,True,True,0.0,True
1,B0d,6,0.85,0.85,True,True,3,0,True,True,0.0,True
1,B0d,7,1.05,1.05,True,True,3,0,True,True,0.0,True
1,B0d,8,1.15,1.15,True,True,3,0,True,True,0.0,True
1,B0d,9,1.5,1.5,True,True,3,0,True,True,0.0,True
1,B0d,10,1.0,1.0,True,True,3,0,True,True,0.0,True
1,B0d,11,1.25,1.25,True,True,3,0,True,True,0.0,True
1,B0d,12,1.3,1.3,True,True,3,0,True,True,0.0,True
1,B0d,13,0.8,0.8,True,True,3,0,True,True,0.0,True
1,B0d,14,1.1,1.1,True,True,3,0,True,True,0.0,True
2,B0,0,0.9,0.9,True,True,3,0,True,True,0.0,True
2,B0,1,1.25,1.25,True,True,3,0,True,True,0.0,True
2,B0,2,1.1,1.1,True,True,3,0,True,True,0.0,True
2,B0,3,0.95,0.95,True,True,3,0,True,True,0.0,True
2,B0,4,1.05,1.05,True,True,3,0,True,True,0.0,True
2,B0,5,0.75,0.75,True,True,3,0,True,True,0.0,True
2,B0,6,1.2,1.2,True,True,3,0,True,True,0.0,True
2,B0,7,1.7,1.7,True,True,3,0,True,True,0.0,True
2,B0,8,1.25,1.25,True,True,3,0,True,True,0.0,True
2,B0,9,1.0,1.0,True,True,3,0,True,True,0.0,True
2,B0,10,0.85,0.85,True,True,3,0,True,True,0.0,True
2,B0,11,1.15,1.15,True,True,3,0,True,True,0.0,True
2,B0,12,1.4,1.4,True,True,3,0,True,True,0.0,True
2,B0,13,0.95,0.95,True,True,3,0,True,True,0.0,True
2,B0,14,1.0,1.0,True,True,3,0,True,True,0.0,True
2,B0d,0,1.2,1.2,True,True,3,0,True,True,0.0,True
2,B0d,1,1.05,1.05,True,True,3,0,True,True,0.0,True
2,B0d,2,0.95,0.95,True,True,3,0,True,True,0.0,True
2,B0d,3,0.8,0.8,True,True,3,0,True,True,0.0,True
2,B0d,4,1.1,1.1,True,True,3,0,True,True,0.0,True
2,B0d,5,0.85,0.85,True,True,3,0,True,True,0.0,True
2,B0d,6,0.95,0.95,True,True,3,0,True,True,0.0,True
2,B0d,7,0.95,0.95,True,True,3,0,True,True,0.0,True
2,B0d,8,1.1,1.1,True,True,3,0,True,True,0.0,True
2,B0d,9,1.35,1.35,True,True,3,0,True,True,0.0,True
2,B0d,10,1.2,1.2,True,True,3,0,True,True,0.0,True
2,B0d,11,1.3,1.3,True,True,3,0,True,True,0.0,True
2,B0d,12,1.1,1.1,True,True,3,0,True,True,0.0,True
2,B0d,13,0.8,0.8,True,True,3,0,True,True,0.0,True
2,B0d,14,1.0,1.0,True,True,3,0,True,True,0.0,True
3,B0,0,0.65,0.65,True,True,3,0,True,True,0.0,True
3,B0,1,1.2,1.2,True,True,3,0,True,True,0.0,True
3,B0,2,0.9,0.9,True,True,3,0,True,True,0.0,True
3,B0,3,1.05,1.05,True,True,3,0,True,True,0.0,True
3,B0,4,0.65,0.65,True,True,3,0,True,True,0.0,True
3,B0,5,0.9,0.9,True,True,3,0,True,True,0.0,True
3,B0,6,1.05,1.05,True,True,3,0,True,True,0.0,True
3,B0,7,1.85,1.85,True,True,3,0,True,True,0.0,True
3,B0,8,1.35,1.35,True,True,3,0,True,True,0.0,True
3,B0,9,0.85,0.85,True,True,3,0,True,True,0.0,True
3,B0,10,0.8,0.8,True,True,3,0,True,True,0.0,True
3,B0,11,0.9,0.9,True,True,3,0,True,True,0.0,True
3,B0,12,0.9,0.9,True,True,3,0,True,True,0.0,True
3,B0,13,1.1,1.1,True,True,3,0,True,True,0.0,True
3,B0,14,0.75,0.75,True,True,3,0,True,True,0.0,True
3,B0d,0,1.25,1.25,True,True,3,0,True,True,0.0,True
3,B0d,1,0.75,0.75,True,True,3,0,True,True,0.0,True
3,B0d,2,1.55,1.55,True,True,3,0,True,True,0.0,True
3,B0d,3,1.3,1.3,True,True,3,0,True,True,0.0,True
3,B0d,4,1.1,1.1,True,True,3,0,True,True,0.0,True
3,B0d,5,0.9,0.9,True,True,3,0,True,True,0.0,True
3,B0d,6,0.7,0.7,True,True,3,0,True,True,0.0,True
3,B0d,7,1.0,1.0,True,True,3,0,True,True,0.0,True
3,B0d,8,1.4,1.4,True,True,3,0,True,True,0.0,True
3,B0d,9,0.8,0.8,True,True,3,0,True,True,0.0,True
3,B0d,10,1.45,1.45,True,True,3,0,True,True,0.0,True
3,B0d,11,1.3,1.3,True,True,3,0,True,True,0.0,True
3,B0d,12,0.9,0.9,True,True,3,0,True,True,0.0,True
3,B0d,13,1.15,1.15,True,True,3,0,True,True,0.0,True
3,B0d,14,0.95,0.95,True,True,3,0,True,True,0.0,True
4,B0,0,1.35,1.35,True,True,3,0,True,True,0.0,True
4,B0,1,1.4,1.4,True,True,3,0,True,True,0.0,True
4,B0,2,1.05,1.05,True,True,3,0,True,True,0.0,True
4,B0,3,0.95,0.95,True,True,3,0,True,True,0.0,True
4,B0,4,0.9,0.9,True,True,3,0,True,True,0.0,True
4,B0,5,0.9,0.9,True,True,3,0,True,True,0.0,True
4,B0,6,0.9,0.9,True,True,3,0,True,True,0.0,True
4,B0,7,1.1,1.1,True,True,3,0,True,True,0.0,True
4,B0,8,1.3,1.3,True,True,3,0,True,True,0.0,True
4,B0,9,1.15,1.15,True,True,3,0,True,True,0.0,True
4,B0,10,0.9,0.9,True,True,3,0,True,True,0.0,True
4,B0,11,1.1,1.1,True,True,3,0,True,True,0.0,True
4,B0,12,0.8,0.8,True,True,3,0,True,True,0.0,True
4,B0,13,1.1,1.1,True,True,3,0,True,True,0.0,True
4,B0,14,1.05,1.05,True,True,3,0,True,True,0.0,True
4,B0d,0,1.2,1.2,True,True,3,0,True,True,0.0,True
4,B0d,1,0.7,0.7,True,True,3,0,True,True,0.0,True
4,B0d,2,1.15,1.15,True,True,3,0,True,True,0.0,True
4,B0d,3,0.75,0.75,True,True,3,0,True,True,0.0,True
4,B0d,4,1.05,1.05,True,True,3,0,True,True,0.0,True
4,B0d,5,0.95,0.95,True,True,3,0,True,True,0.0,True
4,B0d,6,1.2,1.2,True,True,3,0,True,True,0.0,True
4,B0d,7,0.95,0.95,True,True,3,0,True,True,0.0,True
4,B0d,8,1.0,1.0,True,True,3,0,True,True,0.0,True
4,B0d,9,1.15,1.15,True,True,3,0,True,True,0.0,True
4,B0d,10,1.25,1.25,True,True,3,0,True,True,0.0,True
4,B0d,11,1.3,1.3,True,True,3,0,True,True,0.0,True
4,B0d,12,1.15,1.15,True,True,3,0,True,True,0.0,True
4,B0d,13,0.95,0.95,True,True,3,0,True,True,0.0,True
4,B0d,14,1.45,1.45,True,True,3,0,True,True,0.0,True
