seed,arm,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
0,B0,panderm,B0,tau,0,0.2727272727272727,0.639566365281949,0.7125815826860807,-0.07301521740413175,탐색적/exploratory
0,B0,panderm,B0,offset,0,0.2727272727272727,0.639566365281949,0.6758578515734354,-0.036291486291486375,탐색적/exploratory
0,B0,panderm,B0,union,0,0.2727272727272727,0.639566365281949,0.7125815826860807,-0.07301521740413175,탐색적/exploratory
0,B0,panderm,B0,tau,1,0.29411764705882354,0.6522023176870542,0.6918462527311379,-0.0396439350440837,탐색적/exploratory
0,B0,panderm,B0,offset,1,0.29411764705882354,0.6522023176870542,0.6816711926156664,-0.029468874928612276,탐색적/exploratory
0,B0,panderm,B0,union,1,0.29411764705882354,0.6522023176870542,0.6918462527311379,-0.0396439350440837,탐색적/exploratory
0,B0,panderm,B0,tau,2,0.3137254901960784,0.6504661342724759,0.7041651526036838,-0.05369901833120794,탐색적/exploratory
0,B0,panderm,B0,offset,2,0.3137254901960784,0.6504661342724759,0.6873606469648419,-0.03689451269236599,탐색적/exploratory
0,B0,panderm,B0,union,2,0.3137254901960784,0.6504661342724759,0.7041651526036838,-0.05369901833120794,탐색적/exploratory
0,B0,panderm,B0,tau,3,0.3888888888888889,0.6799792710308172,0.7242107779099687,-0.04423150687915145,탐색적/exploratory
0,B0,panderm,B0,offset,3,0.3888888888888889,0.6799792710308172,0.6953426668535949,-0.015363395822777681,탐색적/exploratory
0,B0,panderm,B0,union,3,0.3888888888888889,0.6799792710308172,0.7242107779099687,-0.04423150687915145,탐색적/exploratory
0,B0,panderm,B0,tau,4,0.23076923076923078,0.5922203146846642,0.6882978393604127,-0.09607752467574848,탐색적/exploratory
0,B0,panderm,B0,offset,4,0.23076923076923078,0.5922203146846642,0.6406623096815374,-0.04844199499687318,탐색적/exploratory
0,B0,panderm,B0,union,4,0.23076923076923078,0.5922203146846642,0.6882978393604127,-0.09607752467574848,탐색적/exploratory
0,B0,panderm,B0,tau,5,0.17142857142857143,0.6359818712361085,0.7272974483143975,-0.09131557707828897,탐색적/exploratory
0,B0,panderm,B0,offset,5,0.17142857142857143,0.6359818712361085,0.6910424039237599,-0.05506053268765143,탐색적/exploratory
0,B0,panderm,B0,union,5,0.17142857142857143,0.6359818712361085,0.7272974483143975,-0.09131557707828897,탐색적/exploratory
0,B0,panderm,B0,tau,6,0.32432432432432434,0.640884091817878,0.675763435695524,-0.03487934387764602,탐색적/exploratory
0,B0,panderm,B0,offset,6,0.32432432432432434,0.640884091817878,0.6635236144574006,-0.022639522639522625,탐색적/exploratory
0,B0,panderm,B0,union,6,0.32432432432432434,0.640884091817878,0.675763435695524,-0.03487934387764602,탐색적/exploratory
0,B0,panderm,B0,tau,7,0.3409090909090909,0.636563549927841,0.6697425732484515,-0.03317902332061051,탐색적/exploratory
0,B0,panderm,B0,offset,7,0.3409090909090909,0.636563549927841,0.6582797582760654,-0.02171620834822441,탐색적/exploratory
0,B0,panderm,B0,union,7,0.3409090909090909,0.636563549927841,0.6697425732484515,-0.03317902332061051,탐색적/exploratory
0,B0,panderm,B0,tau,8,0.358974358974359,0.649064887206438,0.7046967169289376,-0.05563182972249969,탐색적/exploratory
0,B0,panderm,B0,offset,8,0.358974358974359,0.649064887206438,0.6799712301871992,-0.030906342980761226,탐색적/exploratory
0,B0,panderm,B0,union,8,0.358974358974359,0.649064887206438,0.7046967169289376,-0.05563182972249969,탐색적/exploratory
0,B0,panderm,B0,tau,9,0.39473684210526316,0.65675295458404,0.7049988545073768,-0.04824589992333672,탐색적/exploratory
0,B0,panderm,B0,offset,9,0.39473684210526316,0.65675295458404,0.670231953624418,-0.01347899904037797,탐색적/exploratory
0,B0,panderm,B0,union,9,0.39473684210526316,0.65675295458404,0.7049988545073768,-0.04824589992333672,탐색적/exploratory
0,B0,panderm,B0,tau,10,0.34210526315789475,0.6518387405979217,0.6800403473270613,-0.028201606729139628,탐색적/exploratory
0,B0,panderm,B0,offset,10,0.34210526315789475,0.6518387405979217,0.6686998494139178,-0.016861108815996118,탐색적/exploratory
0,B0,panderm,B0,union,10,0.34210526315789475,0.6518387405979217,0.6800403473270613,-0.028201606729139628,탐색적/exploratory
0,B0,panderm,B0,tau,11,0.39473684210526316,0.647768128005412,0.703999766440184,-0.05623163843477208,탐색적/exploratory
0,B0,panderm,B0,offset,11,0.39473684210526316,0.647768128005412,0.6713190798531162,-0.023550951847704282,탐색적/exploratory
0,B0,panderm,B0,union,11,0.39473684210526316,0.647768128005412,0.703999766440184,-0.05623163843477208,탐색적/exploratory
0,B0,panderm,B0,tau,12,0.29545454545454547,0.6587711416490486,0.6903727390180879,-0.031601597369039336,탐색적/exploratory
0,B0,panderm,B0,offset,12,0.29545454545454547,0.6587711416490486,0.6803612285647169,-0.021590086915668327,탐색적/exploratory
0,B0,panderm,B0,union,12,0.29545454545454547,0.6587711416490486,0.6903727390180879,-0.031601597369039336,탐색적/exploratory
0,B0,panderm,B0,tau,13,0.3548387096774194,0.6658230926233293,0.7117567577859438,-0.045933665162614545,탐색적/exploratory
0,B0,panderm,B0,offset,13,0.3548387096774194,0.6658230926233293,0.6947547392896569,-0.028931646666327637,탐색적/exploratory
0,B0,panderm,B0,union,13,0.3548387096774194,0.6658230926233293,0.7117567577859438,-0.045933665162614545,탐색적/exploratory
0,B0,panderm,B0,tau,14,0.35714285714285715,0.6502871359800644,0.7116229719068197,-0.06133583592675529,탐색적/exploratory
0,B0,panderm,B0,offset,14,0.35714285714285715,0.6502871359800644,0.6863891561141147,-0.03610202013405028,탐색적/exploratory
0,B0,panderm,B0,union,14,0.35714285714285715,0.6502871359800644,0.7116229719068197,-0.06133583592675529,탐색적/exploratory
0,B1,panderm,B0,tau,0,0.696969696969697,0.6689276257086344,0.7125815826860807,-0.04365395697744634,탐색적/exploratory
0,B1,panderm,B0,offset,0,0.696969696969697,0.6689276257086344,0.6609892820592502,0.007938343649384172,탐색적/exploratory
0,B1,panderm,B0,union,0,0.696969696969697,0.6689276257086344,0.7125815826860807,-0.04365395697744634,탐색적/exploratory
0,B1,panderm,B0,tau,1,0.5294117647058824,0.68942940856004,0.6918462527311379,-0.002416844171097887,탐색적/exploratory
0,B1,panderm,B0,offset,1,0.5294117647058824,0.68942940856004,0.6702790900036678,0.01915031855637217,탐색적/exploratory
0,B1,panderm,B0,union,1,0.5294117647058824,0.68942940856004,0.6918462527311379,-0.002416844171097887,탐색적/exploratory
0,B1,panderm,B0,tau,2,0.5490196078431373,0.6922464885904254,0.7041651526036838,-0.011918664013258473,탐색적/exploratory
0,B1,panderm,B0,offset,2,0.5490196078431373,0.6922464885904254,0.6873606469648419,0.004885841625583476,탐색적/exploratory
0,B1,panderm,B0,union,2,0.5490196078431373,0.6922464885904254,0.7041651526036838,-0.011918664013258473,탐색적/exploratory
0,B1,panderm,B0,tau,3,0.4722222222222222,0.6864038115686435,0.7242107779099687,-0.03780696634132519,탐색적/exploratory
