seed,arm,fold,lr,wd,epoch,grid_edge_wd,grid_edge_epoch
0,B0,0,0.01,10.0,280,False,False
0,B0,1,0.001,3.0,460,False,False
0,B0,2,0.01,1.0,60,False,False
0,B0,3,0.01,10.0,420,False,False
0,B0,4,0.01,10.0,730,False,False
0,B0,5,0.01,10.0,720,False,False
0,B0,6,0.01,0.1,50,False,False
0,B0,7,0.01,0.1,180,False,False
0,B0,8,0.001,1.0,250,False,False
0,B0,9,0.01,10.0,300,False,False
0,B0,10,0.01,10.0,690,False,False
0,B0,11,0.01,10.0,530,False,False
0,B0,12,0.01,0.01,100,False,False
0,B0,13,0.01,3.0,460,False,False
0,B0,14,0.01,10.0,510,False,False
0,B1,0,0.01,30.0,130,False,False
0,B1,1,0.01,10.0,550,False,False
0,B1,2,0.01,10.0,360,False,False
0,B1,3,0.01,10.0,270,False,False
0,B1,4,0.01,10.0,590,False,False
0,B1,5,0.01,10.0,530,False,False
0,B1,6,0.01,10.0,110,False,False
0,B1,7,0.01,30.0,210,False,False
0,B1,8,0.01,30.0,250,False,False
0,B1,9,0.01,10.0,700,False,False
0,B1,10,0.001,10.0,110,False,False
0,B1,11,0.01,10.0,40,False,False
0,B1,12,0.01,10.0,350,False,False
0,B1,13,0.01,10.0,330,False,False
0,B1,14,0.01,10.0,130,False,False
0,B4,0,0.01,3.0,70,False,False
0,B4,1,0.01,10.0,190,False,False
0,B4,2,0.01,3.0,70,False,False
0,B4,3,0.001,3.0,120,False,False
0,B4,4,0.01,10.0,90,False,False
0,B4,5,0.01,10.0,660,False,False
0,B4,6,0.001,0.1,270,False,False
0,B4,7,0.01,10.0,410,False,False
0,B4,8,0.01,10.0,110,False,False
0,B4,9,0.001,3.0,190,False,False
0,B4,10,0.01,10.0,140,False,False
0,B4,11,0.01,10.0,230,False,False
0,B4,12,0.01,10.0,210,False,False
0,B4,13,0.01,0.1,40,False,False
0,B4,14,0.01,10.0,580,False,False
0,B0d,0,0.001,0.01,290,False,False
0,B0d,1,0.01,10.0,750,False,False
0,B0d,2,0.01,10.0,540,False,False
0,B0d,3,0.001,1.0,550,False,False
0,B0d,4,0.001,3.0,250,False,False
0,B0d,5,0.01,10.0,740,False,False
0,B0d,6,0.001,0.1,200,False,False
0,B0d,7,0.01,0.1,80,False,False
0,B0d,8,0.01,30.0,750,False,False
0,B0d,9,0.01,0.01,60,False,False
0,B0d,10,0.001,0.1,350,False,False
0,B0d,11,0.01,3.0,50,False,False
0,B0d,12,0.001,1.0,160,False,False
0,B0d,13,0.01,0.0001,80,False,False
0,B0d,14,0.001,0.01,230,False,False
0,B1d,0,0.01,30.0,290,False,False
0,B1d,1,0.01,30.0,220,False,False
0,B1d,2,0.01,30.0,120,False,False
0,B1d,3,0.01,30.0,250,False,False
0,B1d,4,0.01,30.0,120,False,False
0,B1d,5,0.01,30.0,300,False,False
0,B1d,6,0.01,30.0,290,False,False
0,B1d,7,0.01,30.0,620,False,False
0,B1d,8,0.01,30.0,290,False,False
0,B1d,9,0.01,30.0,260,False,False
0,B1d,10,0.01,30.0,420,False,False
