level,fold,n_train,n_test,sensitivity_group_overlap,pixel_hash_overlap,index_overlap,all_classes_train,all_classes_test,test_class_counts,inner,valid
outer,0,2932,730,0,0,0,True,True,"[372, 71, 198, 33, 56]",,
outer,1,2926,736,0,0,0,True,True,"[371, 70, 206, 34, 55]",,
outer,2,2921,741,0,0,0,True,True,"[356, 77, 199, 51, 58]",,
outer,3,2936,726,0,0,0,True,True,"[361, 76, 191, 36, 62]",,
outer,4,2933,729,0,0,0,True,True,"[345, 76, 205, 39, 64]",,
outer,5,2920,742,0,0,0,True,True,"[354, 78, 210, 35, 65]",,
outer,6,2923,739,0,0,0,True,True,"[342, 77, 217, 37, 66]",,
outer,7,2937,725,0,0,0,True,True,"[371, 71, 192, 44, 47]",,
outer,8,2938,724,0,0,0,True,True,"[361, 73, 196, 39, 55]",,
outer,9,2930,732,0,0,0,True,True,"[377, 71, 184, 38, 62]",,
outer,10,2941,721,0,0,0,True,True,"[346, 76, 196, 38, 65]",,
outer,11,2926,736,0,0,0,True,True,"[379, 75, 188, 38, 56]",,
outer,12,2929,733,0,0,0,True,True,"[352, 72, 215, 44, 50]",,
outer,13,2923,739,0,0,0,True,True,"[365, 78, 207, 31, 58]",,
outer,14,2929,733,0,0,0,True,True,"[363, 69, 193, 42, 66]",,
inner,0,1959,973,0,0,0,True,True,"[479, 97, 264, 43, 90]",0.0,True
inner,0,1955,977,0,0,0,True,True,"[478, 95, 274, 54, 76]",1.0,True
inner,0,1950,982,0,0,0,True,True,"[476, 107, 263, 63, 73]",2.0,True
inner,1,1949,977,0,0,0,True,True,"[483, 102, 254, 53, 85]",0.0,True
inner,1,1961,965,0,0,0,True,True,"[477, 92, 269, 46, 81]",1.0,True
inner,1,1942,984,0,0,0,True,True,"[474, 106, 270, 60, 74]",2.0,True
inner,2,1947,974,0,0,0,True,True,"[477, 102, 270, 46, 79]",0.0,True
inner,2,1953,968,0,0,0,True,True,"[495, 95, 253, 42, 83]",1.0,True
inner,2,1942,979,0,0,0,True,True,"[477, 96, 277, 54, 75]",2.0,True
inner,3,1962,974,0,0,0,True,True,"[476, 98, 273, 51, 76]",0.0,True
inner,3,1952,984,0,0,0,True,True,"[486, 101, 266, 56, 75]",1.0,True
inner,3,1958,978,0,0,0,True,True,"[482, 95, 269, 50, 82]",2.0,True
inner,4,1953,980,0,0,0,True,True,"[488, 110, 259, 52, 71]",0.0,True
inner,4,1960,973,0,0,0,True,True,"[482, 100, 256, 53, 82]",1.0,True
inner,4,1953,980,0,0,0,True,True,"[490, 84, 279, 49, 78]",2.0,True
inner,5,1952,968,0,0,0,True,True,"[471, 95, 267, 53, 82]",0.0,True
inner,5,1948,972,0,0,0,True,True,"[489, 96, 256, 56, 75]",1.0,True
inner,5,1940,980,0,0,0,True,True,"[491, 101, 266, 49, 73]",2.0,True
inner,6,1943,980,0,0,0,True,True,"[484, 86, 274, 58, 78]",0.0,True
inner,6,1956,967,0,0,0,True,True,"[482, 100, 261, 46, 78]",1.0,True
inner,6,1947,976,0,0,0,True,True,"[497, 107, 247, 52, 73]",2.0,True
inner,7,1957,980,0,0,0,True,True,"[482, 100, 263, 43, 92]",0.0,True
inner,7,1963,974,0,0,0,True,True,"[477, 92, 271, 54, 80]",1.0,True
inner,7,1954,983,0,0,0,True,True,"[475, 107, 273, 52, 76]",2.0,True
inner,8,1958,980,0,0,0,True,True,"[468, 94, 294, 47, 77]",0.0,True
inner,8,1958,980,0,0,0,True,True,"[478, 92, 270, 50, 90]",1.0,True
inner,8,1960,978,0,0,0,True,True,"[498, 111, 239, 57, 73]",2.0,True
inner,9,1956,974,0,0,0,True,True,"[477, 108, 249, 63, 77]",0.0,True
inner,9,1952,978,0,0,0,True,True,"[462, 101, 269, 53, 93]",1.0,True
inner,9,1952,978,0,0,0,True,True,"[489, 90, 297, 39, 63]",2.0,True
inner,10,1954,987,0,0,0,True,True,"[488, 107, 259, 55, 78]",0.0,True
inner,10,1971,970,0,0,0,True,True,"[501, 87, 262, 47, 73]",1.0,True
inner,10,1957,984,0,0,0,True,True,"[470, 100, 282, 53, 79]",2.0,True
inner,11,1945,981,0,0,0,True,True,"[486, 92, 268, 53, 82]",0.0,True
inner,11,1954,972,0,0,0,True,True,"[462, 109, 268, 50, 83]",1.0,True
inner,11,1953,973,0,0,0,True,True,"[478, 94, 275, 52, 74]",2.0,True
inner,12,1955,974,0,0,0,True,True,"[492, 93, 265, 45, 79]",0.0,True
inner,12,1945,984,0,0,0,True,True,"[473, 104, 265, 57, 85]",1.0,True
inner,12,1958,971,0,0,0,True,True,"[488, 101, 254, 47, 81]",2.0,True
inner,13,1951,972,0,0,0,True,True,"[491, 94, 266, 51, 70]",0.0,True
inner,13,1950,973,0,0,0,True,True,"[474, 90, 278, 52, 79]",1.0,True
inner,13,1945,978,0,0,0,True,True,"[475, 108, 248, 59, 88]",2.0,True
inner,14,1955,974,0,0,0,True,True,"[465, 113, 262, 56, 78]",0.0,True
inner,14,1952,977,0,0,0,True,True,"[495, 90, 277, 44, 71]",1.0,True
inner,14,1951,978,0,0,0,True,True,"[482, 98, 267, 51, 80]",2.0,True
