cell,task,kind,axis,n,ir,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p_cell,holm_p_global,sig_nb,sig_holm_cell,passes_gate,passes_gate_global,tost_significant,verdict_code,verdict
hk_l_N500_IR9p35,hk_l,nominal,A,500,9.233,H1,H0,15,0.9198431969265304,0.9264235610068944,0.006580364080364065,0.021550265244016386,5,-0.019429489094509395,0.03259021725523752,0.5959242376309712,0.012127011661068684,0.044501019190034956,0.03653676363326672,0.14356172647774043,False,1.0,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
hk_l_N500_IR9p35,hk_l,nominal,A,500,9.233,H2,H0,15,0.9198431969265304,0.9154184395851063,-0.004424757341424009,0.05157355568067957,8,-0.06667088729720697,0.05782137261435894,0.8809981343949208,0.029022060938021774,0.044501019190034956,0.08743886872368357,0.299960676571537,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR9p35,hk_l,nominal,A,500,9.233,H3,H0,15,0.9198431969265304,0.9082038640371973,-0.011639332889332884,0.041499533333852645,4,-0.06172673351373949,0.03844806773507371,0.6259360566967165,0.023353091897941977,0.044501019190034956,0.07035916371056498,0.36283764899690435,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N500_IR9p35,hk_l,nominal,A,500,9.233,H4,H0,15,0.9198431969265304,0.9321930692764028,0.012349872349872377,0.02394448945641997,7,-0.016549663134114885,0.041249407833859636,0.3748978268677343,0.013474316885123547,0.044501019190034956,0.04059598068433864,0.2895962291110693,False,1.0,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
hk_l_N950_IR9p35,hk_l,nominal,A,950,9.393,H1,H0,15,0.9380020215633423,0.9366143791720083,-0.0013876423913339246,0.017634150960097603,3,-0.022670984946156717,0.019895700163488867,0.8907806859365291,0.009923291054875825,0.025925061773841084,0.029897302803793727,0.0408578353029423,True,1.0,1.0,False,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의)
hk_l_N950_IR9p35,hk_l,nominal,A,950,9.393,H2,H0,15,0.9380020215633423,0.9407922290998584,0.002790207536516006,0.026977183681992496,7,-0.02976960454445327,0.03535001961748528,0.8568081029793783,0.015180909255172697,0.025925061773841084,0.04573767294831123,0.13799142932146619,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N950_IR9p35,hk_l,nominal,A,950,9.393,H3,H0,15,0.9380020215633423,0.9143237786277163,-0.023678242935626023,0.022870412366667703,2,-0.05128143301102447,0.003924947139772421,0.08709219778821746,0.012869899944319117,0.025925061773841084,0.038774968260230226,0.6103925134623513,False,0.34836879115286984,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N950_IR9p35,hk_l,nominal,A,950,9.393,H4,H0,15,0.9380020215633423,0.9461996251629148,0.008197603599572468,0.025136192438490548,7,-0.022140244556706427,0.03853545175585136,0.5714311202298035,0.014144925612972637,0.025925061773841084,0.04261641846939381,0.20903568776015707,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N1510_IR9p35,hk_l,nominal,A,1510,9.393,H1,H0,15,0.9415244475782664,0.953886979401865,0.01236253182359853,0.012400990235540576,11,-0.0026047055443502443,0.027329769191547303,0.09822780296521738,0.006978427016667725,0.018547284154429244,0.021024894307516674,0.14611744219483275,False,0.3929112118608695,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_l_N1510_IR9p35,hk_l,nominal,A,1510,9.393,H2,H0,15,0.9415244475782664,0.9452790470871915,0.003754599508925027,0.015945993666333095,8,-0.015491240358588697,0.023000439376438753,0.681988813945306,0.008973311880355704,0.018547284154429244,0.027035166151662498,0.04587072561429855,True,0.8396206193667552,1.0,False,False,False,False,True,undetectable,검출 불가 (검정력 부족 · TOST 유의)
