task,arm,axis,n_cells,slope,intercept,r2,p
hk_l,H1,B(IR),3,0.00040005359506217357,0.002916135025182215,0.08051702905136805,0.8168393677389478
hk_l,H1,A(N),3,0.004138023417626255,-0.022274304359246468,0.11066501659845833,0.7841053311699768
hk_l,H2,B(IR),3,-0.01696444799763532,0.007217490394030999,0.7489846468394314,0.33407922084615055
hk_l,H2,A(N),3,0.00763840207600016,-0.051211370209845175,0.8995094335231708,0.20535270593205054
hk_l,H3,B(IR),3,0.006358079891384366,-0.026694645092593082,0.9549149499893631,0.13621191365127272
hk_l,H3,A(N),3,0.001576508111425127,-0.025292092109480295,0.011827348313707863,0.9306280910452501
hk_l,H4,B(IR),3,0.005112921503671465,-0.00017399845928236027,0.9999990807933893,0.0006103609763101065
hk_l,H4,A(N),3,0.0011440409342705995,0.003796546841144082,0.043024034463689007,0.8669851284258909
hk_u,H1,B(IR),3,0.002863007409973428,-0.0055320540399642765,0.9852886693141897,0.07740637586525508
hk_u,H1,A(N),3,0.03215537815718474,-0.2010655266718739,0.7884579552522225,0.30425602619453823
hk_u,H2,B(IR),3,-0.0011952283588600589,-0.00472728865920394,0.38454979019743113,0.5741671611033576
hk_u,H2,A(N),3,0.017265590288840223,-0.1073494959177414,0.5488579017223038,0.46884638118252364
hk_u,H3,B(IR),3,0.01253275683442651,-0.1891533470780464,0.8197480086547628,0.27914306089780044
hk_u,H3,A(N),3,0.00937293537425753,-0.2396922560405313,0.07675346147989559,0.8212903409174144
hk_u,H4,B(IR),3,0.005177400244888556,-0.055056386878315634,0.5165571712010029,0.48945745008415364
hk_u,H4,A(N),3,0.033578314018276434,-0.24902218449837055,0.9720518047733682,0.1069303580083722
