cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_l_N500_IR1p74,hk_l,0.9626068376068376,0.9594634410824547,0.9625,0.05,0.060897435897435896,"[1.0, 0.9615384615384616, 1.0, 0.8888888888888888]",H0,0,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9444444444444444,0.9473008408874387,0.9084089323098395,0.09,0.125,"[1.0, 1.0, 1.0, 0.7777777777777778]",H0,1,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.928849902534113,0.9201034313099594,0.8817567567567568,0.12,0.15009746588693956,"[1.0, 0.9259259259259259, 1.0, 0.7894736842105263]",H0,2,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9455963140173667,0.9329290187374413,0.9559365486300272,0.07,0.07292220450115186,"[1.0, 0.9259259259259259, 0.9090909090909091, 0.9473684210526315]",H0,3,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9505942096402622,0.9326498966226408,0.8705501618122977,0.12,0.1183352161970583,"[0.9375, 0.9629629629629629, 0.9545454545454546, 0.9473684210526315]",H0,4,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9198717948717949,0.9069569395764759,0.9248747913188647,0.1,0.12179487179487179,"[1.0, 0.8461538461538461, 1.0, 0.8333333333333334]",H0,5,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9735054347826086,0.9602081991446949,0.9213966572894258,0.07,0.057744565217391304,"[0.9375, 1.0, 0.9565217391304348, 1.0]",H0,6,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9736842105263158,0.9733203028347561,0.9584303292317925,0.04,0.05263157894736842,"[1.0, 1.0, 1.0, 0.8947368421052632]",H0,7,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.945906432748538,0.9332793425312526,0.9117174959871589,0.1,0.10818713450292397,"[1.0, 0.8888888888888888, 1.0, 0.8947368421052632]",H0,8,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9775828460038986,0.9731009803035332,0.9793285926905904,0.03,0.03557504873294347,"[1.0, 0.9629629629629629, 1.0, 0.9473684210526315]",H0,9,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9764957264957266,0.9730498731793484,0.9794204807375699,0.03,0.03311965811965812,"[1.0, 0.9615384615384616, 1.0, 0.9444444444444444]",H0,10,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9814814814814815,0.9733936484918831,0.9794069192751236,0.03,0.027777777777777776,"[1.0, 0.9259259259259259, 1.0, 1.0]",H0,11,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9775828460038986,0.9731009803035332,0.9793285926905904,0.03,0.03557504873294347,"[1.0, 0.9629629629629629, 1.0, 0.9473684210526315]",H0,12,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9264354066985646,0.92016434243498,0.9495119488387749,0.08,0.09988038277511961,"[1.0, 1.0, 0.8636363636363636, 0.8421052631578947]",H0,13,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9249360380116959,0.9063513844540322,0.85005673528935,0.15,0.16183905945419103,"[0.96875, 0.8888888888888888, 1.0, 0.8421052631578947]",H0,14,none,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9626068376068376,0.9594634410824547,0.9625,0.05,0.060897435897435896,"[1.0, 0.9615384615384616, 1.0, 0.8888888888888888]",H1,0,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9444444444444444,0.9473008408874387,0.9084089323098395,0.09,0.125,"[1.0, 1.0, 1.0, 0.7777777777777778]",H1,1,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.928849902534113,0.9201034313099594,0.8817567567567568,0.12,0.15009746588693956,"[1.0, 0.9259259259259259, 1.0, 0.7894736842105263]",H1,2,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9455963140173667,0.9329290187374413,0.9559365486300272,0.07,0.07292220450115186,"[1.0, 0.9259259259259259, 0.9090909090909091, 0.9473684210526315]",H1,3,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9505942096402622,0.9326498966226408,0.8705501618122977,0.12,0.1183352161970583,"[0.9375, 0.9629629629629629, 0.9545454545454546, 0.9473684210526315]",H1,4,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9294871794871795,0.9200423101359431,0.9285954301075269,0.09,0.11217948717948717,"[1.0, 0.8846153846153846, 1.0, 0.8333333333333334]",H1,5,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9735054347826086,0.9602081991446949,0.9213966572894258,0.07,0.057744565217391304,"[0.9375, 1.0, 0.9565217391304348, 1.0]",H1,6,rebalance,ce,400,100,H1
