cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_l_N500_IR4,hk_l,0.9853896103896104,0.97154187316403,0.9400921658986175,0.05,0.0349025974025974,"[0.9772727272727273, 0.9642857142857143, 1.0, 1.0]",H0,0,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9715909090909092,0.9708879184861717,0.9140811455847255,0.06,0.08522727272727272,"[0.9772727272727273, 1.0, 1.0, 0.9090909090909091]",H0,1,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9114304812834224,0.927144846557108,0.8166501486620417,0.13,0.2362967914438503,"[0.9772727272727273, 1.0, 0.9411764705882353, 0.7272727272727273]",H0,2,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.8642676767676767,0.8570032213413049,0.7904761904761904,0.2,0.2678872053872054,"[0.9318181818181818, 0.8888888888888888, 1.0, 0.6363636363636364]",H0,3,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9303451178451179,0.9284991563863206,0.9319330999611046,0.08,0.1207912457912458,"[0.9772727272727273, 0.9259259259259259, 1.0, 0.8181818181818182]",H0,4,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.8912337662337663,0.9126283809508686,0.8086359175662414,0.15,0.2857142857142857,"[1.0, 0.9285714285714286, 1.0, 0.6363636363636364]",H0,5,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9706837280366691,0.9570844048133748,0.9493087557603687,0.05,0.04067990832696715,"[0.9772727272727273, 0.9642857142857143, 0.9411764705882353, 1.0]",H0,6,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9659090909090909,0.9570772721169511,0.8961774421897121,0.08,0.07954545454545454,"[0.9545454545454546, 1.0, 1.0, 0.9090909090909091]",H0,7,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9473905723905724,0.9287322304552493,0.8546511627906976,0.12,0.13005050505050503,"[0.9545454545454546, 0.9259259259259259, 1.0, 0.9090909090909091]",H0,8,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9715909090909092,0.9712966810484028,0.9903697996918336,0.02,0.02840909090909091,"[0.9772727272727273, 1.0, 1.0, 0.9090909090909091]",H0,9,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9448051948051949,0.9284924452601365,0.9116279069767442,0.09,0.09821428571428571,"[0.9772727272727273, 0.8928571428571429, 1.0, 0.9090909090909091]",H0,10,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9341577540106952,0.9419902327527149,0.9004479840716775,0.08,0.1567513368983957,"[0.9772727272727273, 1.0, 0.9411764705882353, 0.8181818181818182]",H0,11,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9545454545454546,0.9712279319090606,0.9112863479546575,0.06,0.13636363636363635,"[1.0, 1.0, 1.0, 0.8181818181818182]",H0,12,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9907407407407407,0.9856648890666461,0.9814677538917717,0.02,0.018518518518518517,"[1.0, 0.9629629629629629, 1.0, 1.0]",H0,13,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.8926767676767677,0.8848632250452613,0.7962962962962963,0.18,0.23947811447811446,"[0.9545454545454546, 0.8888888888888888, 1.0, 0.7272727272727273]",H0,14,none,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9853896103896104,0.97154187316403,0.9400921658986175,0.05,0.0349025974025974,"[0.9772727272727273, 0.9642857142857143, 1.0, 1.0]",H1,0,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9715909090909092,0.9708879184861717,0.9140811455847255,0.06,0.08522727272727272,"[0.9772727272727273, 1.0, 1.0, 0.9090909090909091]",H1,1,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9114304812834224,0.927144846557108,0.8166501486620417,0.13,0.2362967914438503,"[0.9772727272727273, 1.0, 0.9411764705882353, 0.7272727272727273]",H1,2,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.873526936026936,0.8714720896844604,0.805674310143801,0.18,0.24936868686868688,"[0.9318181818181818, 0.9259259259259259, 1.0, 0.6363636363636364]",H1,3,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9473905723905724,0.9294856405621543,0.9333333333333333,0.08,0.0867003367003367,"[0.9545454545454546, 0.9259259259259259, 1.0, 0.9090909090909091]",H1,4,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9139610389610391,0.9273487693053093,0.8676470588235294,0.11,0.2086038961038961,"[1.0, 0.9285714285714286, 1.0, 0.7272727272727273]",H1,5,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9853896103896104,0.9714824293661632,0.976280834914611,0.03,0.020292207792207792,"[0.9772727272727273, 0.9642857142857143, 1.0, 1.0]",H1,6,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9602272727272727,0.9432756497463608,0.8774163130598774,0.1,0.09090909090909091,"[0.9318181818181818, 1.0, 1.0, 0.9090909090909091]",H1,7,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9473905723905724,0.9287322304552493,0.8546511627906976,0.12,0.13005050505050503,"[0.9545454545454546, 0.9259259259259259, 1.0, 0.9090909090909091]",H1,8,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9943181818181819,0.9856672848220174,0.9952552666540141,0.01,0.005681818181818182,"[0.9772727272727273, 1.0, 1.0, 1.0]",H1,9,rebalance,ce,400,100,H1
hk_l_N500_IR4,hk_l,0.9391233766233766,0.9148807559733279,0.8717361429225836,0.12,0.11525974025974026,"[0.9545454545454546, 0.8928571428571429, 1.0, 0.9090909090909091]",H1,10,rebalance,ce,400,100,H1
