cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_u_N500_IR1p74,hk_u,0.620680044593088,0.5090144495714443,0.498907438161,0.6020408163265306,0.6442529390898957,"[0.6666666666666666, 0.5769230769230769, 0.7391304347826086, 0.5]",H0,0,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.591321960547504,0.4543619480496846,0.5131749460043197,0.6224489795918368,0.648840076489533,"[0.65625, 0.4074074074074074, 0.7391304347826086, 0.5625]",H0,1,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5738450683303624,0.47215552161621566,0.4677102044307587,0.6428571428571429,0.7404421048722519,"[0.875, 0.4444444444444444, 0.6818181818181818, 0.29411764705882354]",H0,2,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5172404188948306,0.3642011470090985,0.46894890762084984,0.7142857142857143,0.7440829867300456,"[0.6875, 0.3333333333333333, 0.6363636363636364, 0.4117647058823529]",H0,3,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5251999158249158,0.3734428487018957,0.3771700356718194,0.7319587628865979,0.7625736531986532,"[0.5625, 0.48148148148148145, 0.6818181818181818, 0.375]",H0,4,none,ce,392,97,H1
hk_u_N500_IR1p74,hk_u,0.5105813570487483,0.350879809324308,0.3220354721886898,0.7653061224489796,0.813553068308503,"[0.5151515151515151, 0.5, 0.6521739130434783, 0.375]",H0,5,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5971089975845411,0.4723200476964134,0.5943786697468476,0.5306122448979592,0.5885290861513688,"[0.65625, 0.5555555555555556, 0.7391304347826086, 0.4375]",H0,6,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.731370073281838,0.6289813441984464,0.747742425521141,0.37755102040816324,0.39390225787284616,"[0.75, 0.5925925925925926, 0.8181818181818182, 0.7647058823529411]",H0,7,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.6028344102792632,0.47782923024053914,0.30012192997735576,0.7346938775510204,0.7788717444048325,"[0.59375, 0.5555555555555556, 0.9090909090909091, 0.35294117647058826]",H0,8,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.6117950336700337,0.5094770724024089,0.5332050048123196,0.5773195876288659,0.6532512626262625,"[0.875, 0.4074074074074074, 0.7272727272727273, 0.4375]",H0,9,none,ce,392,97,H1
hk_u_N500_IR1p74,hk_u,0.5133969291577988,0.37464591046454504,0.3481731110322809,0.7551020408163265,0.849365308604439,"[0.6363636363636364, 0.38461538461538464, 0.782608695652174, 0.25]",H0,10,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5632925724637681,0.4481056334628824,0.4171292624900872,0.6836734693877551,0.7469303542673108,"[0.78125, 0.3333333333333333, 0.8260869565217391, 0.3125]",H0,11,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.7060107818379877,0.6132996021946187,0.6405663596042306,0.4489795918367347,0.47847655476331946,"[0.84375, 0.5925925925925926, 0.6818181818181818, 0.7058823529411765]",H0,12,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5184256783521489,0.3562714337422588,0.41890763320527813,0.7551020408163265,0.7891197514359278,"[0.625, 0.2962962962962963, 0.6818181818181818, 0.47058823529411764]",H0,13,none,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5607112794612794,0.42380263349542097,0.5501183151916705,0.5979381443298969,0.6545664983164984,"[0.6875, 0.48148148148148145, 0.6363636363636364, 0.4375]",H0,14,none,ce,392,97,H1
hk_u_N500_IR1p74,hk_u,0.6315496098104794,0.5222435459565427,0.49770236832803116,0.5918367346938775,0.6333833738725043,"[0.6666666666666666, 0.5769230769230769, 0.782608695652174, 0.5]",H1,0,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.6021915257648953,0.4677518421367734,0.5121823421535237,0.6122448979591837,0.6379705112721417,"[0.65625, 0.4074074074074074, 0.782608695652174, 0.5625]",H1,1,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5752918275896216,0.4718248603044162,0.4518072289156626,0.6530612244897959,0.7482546048722518,"[0.84375, 0.48148148148148145, 0.6818181818181818, 0.29411764705882354]",H1,2,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5001686596355713,0.335922109498142,0.46753020951056246,0.7244897959183674,0.7518954867300456,"[0.65625, 0.2962962962962963, 0.6363636363636364, 0.4117647058823529]",H1,3,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5173874158249158,0.3612280466343821,0.3406344410876133,0.7628865979381443,0.7860111531986532,"[0.53125, 0.48148148148148145, 0.6818181818181818, 0.375]",H1,4,rebalance,ce,392,97,H1
hk_u_N500_IR1p74,hk_u,0.48377483024222157,0.3106827693628915,0.2786959270297118,0.826530612244898,0.8651264948819297,"[0.48484848484848486, 0.4230769230769231, 0.6521739130434783, 0.375]",H1,5,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5956622383252819,0.471848518790539,0.5669831719469776,0.5510204081632653,0.6056008454106281,"[0.6875, 0.5185185185185185, 0.7391304347826086, 0.4375]",H1,6,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.731370073281838,0.6289813441984464,0.747742425521141,0.37755102040816324,0.39390225787284616,"[0.75, 0.5925925925925926, 0.8181818181818182, 0.7647058823529411]",H1,7,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.585762651020004,0.45088452251989597,0.2691640652098509,0.7755102040816326,0.8199086452762923,"[0.5625, 0.5185185185185185, 0.9090909090909091, 0.35294117647058826]",H1,8,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.6039825336700337,0.4954974525760417,0.514361001317523,0.5979381443298969,0.6688762626262625,"[0.84375, 0.4074074074074074, 0.7272727272727273, 0.4375]",H1,9,rebalance,ce,392,97,H1
hk_u_N500_IR1p74,hk_u,0.5201919909800344,0.37712226227999074,0.3687669792305671,0.7448979591836735,0.8269452467822034,"[0.6060606060606061, 0.4230769230769231, 0.7391304347826086, 0.3125]",H1,10,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5524230072463768,0.4328408778728722,0.41146339309370306,0.6938775510204082,0.757799919484702,"[0.78125, 0.3333333333333333, 0.782608695652174, 0.3125]",H1,11,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.7060107818379877,0.6142917170458039,0.6303924061361132,0.45918367346938777,0.4877358140225787,"[0.84375, 0.5925925925925926, 0.6818181818181818, 0.7058823529411765]",H1,12,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5184256783521489,0.3565256006012382,0.43592975380220145,0.7448979591836735,0.7744138690829867,"[0.625, 0.2962962962962963, 0.6818181818181818, 0.47058823529411764]",H1,13,rebalance,ce,391,98,H1
hk_u_N500_IR1p74,hk_u,0.5607112794612794,0.42380263349542097,0.5501183151916705,0.5979381443298969,0.6545664983164984,"[0.6875, 0.48148148148148145, 0.6363636363636364, 0.4375]",H1,14,rebalance,ce,392,97,H1
hk_u_N500_IR1p74,hk_u,0.6271583941420898,0.5038143388482241,0.5666754224673847,0.5612244897959183,0.5833238319651363,"[0.696969696969697, 0.4230769230769231, 0.8260869565217391, 0.5625]",H2,0,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5944670893719807,0.46237730020491336,0.5587946866363556,0.5816326530612245,0.6002667069243156,"[0.71875, 0.4444444444444444, 0.6521739130434783, 0.5625]",H2,1,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.6018100737769855,0.4999666456421411,0.5333333333333334,0.5816326530612245,0.6659935754604873,"[0.90625, 0.4074074074074074, 0.6818181818181818, 0.4117647058823529]",H2,2,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5412055605070311,0.3885295857972393,0.4526066350710901,0.7142857142857143,0.767525128738364,"[0.6875, 0.37037037037037035, 0.6363636363636364, 0.47058823529411764]",H2,3,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5379313973063973,0.3751317065991249,0.46059948460599487,0.6907216494845361,0.6944181397306397,"[0.5625, 0.4074074074074074, 0.6818181818181818, 0.5]",H2,4,aug,ce,1960,97,H1
hk_u_N500_IR1p74,hk_u,0.5235269712171886,0.41101319726700963,0.47394105016591836,0.6326530612244898,0.7352459587513935,"[0.7878787878787878, 0.4230769230769231, 0.6956521739130435, 0.1875]",H2,5,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5380812198067633,0.381619998910813,0.4941342092914125,0.6530612244897959,0.6817003824476651,"[0.53125, 0.4444444444444444, 0.7391304347826086, 0.4375]",H2,6,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.6251222395523867,0.4913917893169565,0.5794685591681795,0.5714285714285714,0.60237639879184,"[0.71875, 0.4074074074074074, 0.7272727272727273, 0.6470588235294118]",H2,7,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.6092574024559319,0.4706342302569076,0.37210448496796455,0.7346938775510204,0.7311673722519311,"[0.5625, 0.48148148148148145, 0.8636363636363636, 0.5294117647058824]",H2,8,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5947495791245792,0.48366916386670783,0.37436290649948134,0.6907216494845361,0.7640467171717171,"[0.75, 0.4074074074074074, 0.9090909090909091, 0.3125]",H2,9,aug,ce,1960,97,H1
hk_u_N500_IR1p74,hk_u,0.5473627369007803,0.4045899867465099,0.43774618941599586,0.6938775510204082,0.744850258437215,"[0.6666666666666666, 0.34615384615384615, 0.7391304347826086, 0.4375]",H2,10,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5553165257648953,0.431168303838318,0.4409966231632746,0.6632653061224489,0.7271286231884058,"[0.71875, 0.4074074074074074, 0.782608695652174, 0.3125]",H2,11,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.6505341404238463,0.5200933185183672,0.5501501501501502,0.5612244897959183,0.5666499554367201,"[0.6875, 0.48148148148148145, 0.7272727272727273, 0.7058823529411765]",H2,12,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5587523519508814,0.3969724495964145,0.4491480765852802,0.6938775510204082,0.7134642998613587,"[0.5625, 0.37037037037037035, 0.7727272727272727, 0.5294117647058824]",H2,13,aug,ce,1955,98,H1
hk_u_N500_IR1p74,hk_u,0.5343802609427609,0.3912971447057875,0.4859541340336726,0.6494845360824743,0.7121475168350169,"[0.71875, 0.4074074074074074, 0.6363636363636364, 0.375]",H2,14,aug,ce,1960,97,H1
hk_u_N500_IR1p74,hk_u,0.43574224688355123,0.2603684395731348,0.5008239700374533,0.8163265306122449,0.8301852133373873,"[0.6363636363636364, 0.3076923076923077, 0.17391304347826086, 0.625]",H3,0,rebalance,coral,391,98,H1
hk_u_N500_IR1p74,hk_u,0.40355776972624796,0.2056044245887148,0.4726142071274815,0.826530612244898,0.837962962962963,"[0.625, 0.2962962962962963, 0.13043478260869565, 0.5625]",H3,1,rebalance,coral,391,98,H1
hk_u_N500_IR1p74,hk_u,0.4092595687264805,0.2303887132914484,0.5126365563345834,0.7755102040816326,0.8212625643691821,"[0.65625, 0.2962962962962963, 0.2727272727272727, 0.4117647058823529]",H3,2,rebalance,coral,391,98,H1
