cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_u_N500_IR20,hk_u,0.3737179487179487,0.29964621086485604,0.1899222433110881,0.6633663366336634,1.0809294871794872,"[0.6615384615384615, 0.5833333333333334, 0.25, 0.0]",H0,0,none,ce,400,101,H1
hk_u_N500_IR20,hk_u,0.6507060572277964,0.5492706652814053,0.5434782608695652,0.35,0.6262170196952805,"[0.8153846153846154, 0.5652173913043478, 0.8888888888888888, 0.3333333333333333]",H0,1,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.6072048611111112,0.47195733637954146,0.5127118644067796,0.41,0.5972222222222221,"[0.734375, 0.5833333333333334, 0.7777777777777778, 0.3333333333333333]",H0,2,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.4522569444444444,0.29567133263657014,0.4732108441475009,0.52,0.7213541666666666,"[0.78125, 0.25, 0.4444444444444444, 0.3333333333333333]",H0,3,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.5438368055555556,0.45237264382498776,0.5889387144992526,0.37,0.5694444444444444,"[0.828125, 0.4583333333333333, 0.5555555555555556, 0.3333333333333333]",H0,4,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.46810897435897436,0.3984303405771556,0.5717369516613985,0.38613861386138615,0.703525641025641,"[0.8307692307692308, 0.4166666666666667, 0.625, 0.0]",H0,5,none,ce,400,101,H1
hk_u_N500_IR20,hk_u,0.5787811222593832,0.4450907279348457,0.39156626506024095,0.51,0.7468041620215533,"[0.7692307692307693, 0.43478260869565216, 0.7777777777777778, 0.3333333333333333]",H0,6,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.5776909722222222,0.49145277586541797,0.49929588483805354,0.38,0.6202256944444444,"[0.796875, 0.625, 0.5555555555555556, 0.3333333333333333]",H0,7,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.4743923611111111,0.49102420755419074,0.5685936151855048,0.34,0.7078993055555556,"[0.828125, 0.625, 0.4444444444444444, 0.0]",H0,8,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.47526041666666663,0.3879450953539158,0.3903265140224902,0.5,0.9010416666666667,"[0.734375, 0.5, 0.6666666666666666, 0.0]",H0,9,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.6046474358974359,0.5843045584086226,0.6224449216575201,0.2871287128712871,0.5395833333333333,"[0.8769230769230769, 0.6666666666666666, 0.625, 0.25]",H0,10,none,ce,400,101,H1
hk_u_N500_IR20,hk_u,0.6174284652545522,0.4763782974307494,0.5273972602739726,0.41,0.6773875882571535,"[0.7692307692307693, 0.4782608695652174, 0.8888888888888888, 0.3333333333333333]",H0,11,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.5164930555555556,0.36466211484440136,0.48431456811345086,0.46,0.6840277777777777,"[0.71875, 0.4583333333333333, 0.5555555555555556, 0.3333333333333333]",H0,12,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.48871527777777773,0.47176317112068894,0.3891934220830071,0.44,0.6892361111111112,"[0.71875, 0.7916666666666666, 0.4444444444444444, 0.0]",H0,13,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.4991319444444444,0.3969860728659164,0.45313686768950323,0.46,0.861545138888889,"[0.71875, 0.5, 0.7777777777777778, 0.0]",H0,14,none,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.3983974358974359,0.36198685440029543,0.2484118821465302,0.6237623762376238,1.0003205128205128,"[0.676923076923077, 0.6666666666666666, 0.25, 0.0]",H1,0,rebalance,ce,400,101,H1
hk_u_N500_IR20,hk_u,0.6430137495354887,0.5262526263416589,0.4545454545454545,0.42,0.660163507989595,"[0.7846153846153846, 0.5652173913043478, 0.8888888888888888, 0.3333333333333333]",H1,1,rebalance,ce,401,100,H1
hk_u_N500_IR20,hk_u,0.6032986111111112,0.4602104455936618,0.48474855729596045,0.43,0.6050347222222221,"[0.71875, 0.5833333333333334, 0.7777777777777778, 0.3333333333333333]",H1,2,rebalance,ce,401,100,H1
