image,organ,category,finding,label_dir,sha256,dhash,width,height,bytes,exact_group,neardup_group
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/000e3fee-7f5c-4819-9f9c-4c983b68888a.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,b7ff5052b53e0a4885a475b92e168f82aad1e98f9407983825d128348f36cacb,13889251405050695748,635,547,243459,0,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/001a41c2-2a5d-40b1-8fd5-b5f2f292277b.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,2a8a7f8b5bdaa4159f21f44bce9e6d7b3bc5156b285516d5f5efaeb454f55b2b,17939779975134339184,633,532,208723,1,1
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/006af0aa-2044-4477-964d-10d9e043fb78.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,96ef3cc9097b6115f08e25a31ef48fe91d5beaf6b2589606e9e1d07461e188b2,17940575035026339952,635,548,225958,2,2
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/00832522-ab8e-4b98-bfce-93a777929571.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,6ea66896b73d2f0950f3d3de15b7b692e5a47e542e7185d34d78ae8164560648,17063732781215278304,635,548,236914,3,3
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/012ab888-64e6-4361-9745-f52b4a03ba75.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,67306621bd5cc894f4becb23b275e7cc6f53a2c4fb9883e8f272998e9b8e7962,17357093488052695152,633,532,243234,4,4
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/014a6880-6306-47ab-8766-adc17507b7c3.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,6ec7219e87607ac5bf42a2dc85ceaa92def2fc01153741abd7ce9fc190261ab1,16493436175267406960,633,531,218417,5,5
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/019975d6-14e2-4a71-9e35-934f2280fab6.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,07afb6ae475f831945b3aa73e8572c261db6f252d94d3e2ff9cde1a666f9daef,17348650308265341528,635,547,253929,6,6
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/01b2ec26-e814-4053-a820-37c9b703d47a.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,9f3fe88c87a955318c3c6e6a6643b58a649fab6cf4cba3e0ec0ef871b5614d52,17354872920302706784,633,531,215525,7,7
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/020945d2-ade3-4cf9-b15d-634729b2b4a2.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,dbd8574ff22f98307a3f98f633ed544a96a1bf03e6d75bea27ab3769b0c92fd3,17363902075446126132,633,532,223130,8,8
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/0225440c-73b0-4c5e-b4b4-5bfe306834c9.jpg,lower-gi-tract,anatomical-landmarks,cecum,lower-gi-tract/anatomical-landmarks/cecum,86069db8aa98316a2f7cf020df12925f0684ea163d02985fac3ade3756f6b77f,15919365916806913168,616,531,215612,9,9
