pool_idx,image,task,label,neardup_group
0,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/b78c6839-b39a-41e4-a4fb-57a904c899b9.jpg,hk_u,0,7771
1,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/2c640b6f-cb69-45e0-ac76-ea1c0747c600.jpg,hk_u,0,7277
2,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/87774564-6b67-478a-b06d-67be8c877250.jpg,hk_u,0,7590
3,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/747c36fa-b6f0-4920-bf98-5d985f9f2732.jpg,hk_u,0,7514
4,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f6db4ca6-55e4-48e8-b802-b503e2e68ee4.jpg,hk_u,0,7993
5,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/cedb950b-325a-4c91-8a13-247c260e4163.jpg,hk_u,0,7855
6,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/15d9aade-27bc-4ae6-bcc6-162033808f1c.jpg,hk_u,0,7188
7,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/5019576a-f5d7-4af0-9bd3-40b38a96a1a3.jpg,hk_u,0,7393
8,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9151e089-5cbd-4a75-87f0-c4f6f8b1a0c6.jpg,hk_u,0,7632
9,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/c610eb3a-9ec0-4eac-bc99-eee2dafb22f0.jpg,hk_u,0,7828
10,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/5999a463-7f81-48b3-aec5-7cf61c46392a.jpg,hk_u,0,7421
11,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/24a55ef4-cb3d-43fc-b996-b934a93a8fcc.jpg,hk_u,0,7248
12,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a4545a62-58b4-4290-bd03-e57474046aec.jpg,hk_u,0,7700
13,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/6da91697-5d9a-4277-9029-4266cbd4994d.jpg,hk_u,0,7489
14,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/41a3746e-9579-42a2-b410-6a4334e3add5.jpg,hk_u,0,7341
15,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f31d1e2c-cb2e-4b5f-9365-32729990f57a.jpg,hk_u,0,7980
16,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/b146c2b0-0e61-4802-9622-c47027665a14.jpg,hk_u,0,7751
17,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/1bbc8149-45eb-4df0-8dbf-9c0d0ae48e96.jpg,hk_u,0,7210
18,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a7ffc16c-b183-4a2e-906d-982bcb3466c5.jpg,hk_u,0,7712
19,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/3c149c6f-f042-4867-8b96-4710c3e2bc93.jpg,hk_u,0,7325
20,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e1bc3bed-afce-4000-ae43-67dc7ccdfa08.jpg,hk_u,0,7918
21,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/dc38ceba-a196-4e04-84d9-003155682d8c.jpg,hk_u,0,7895
22,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/1407bdc4-5cd5-49c6-84bc-e6a56f684f32.jpg,hk_u,0,7178
23,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e4655977-6078-4c3a-9fc1-abd65a019299.jpg,hk_u,0,7927
24,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e51d4705-d74c-4ee9-8c62-77e3681faf8c.jpg,hk_u,0,7930
25,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/36323c52-9b8e-4a8e-9bcb-379493fb9c83.jpg,hk_u,0,7310
26,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/2964f803-e65b-4a07-8331-7e917d2390ff.jpg,hk_u,0,7268
27,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/00515123-4d92-412b-85de-997cd047a2df.jpg,hk_u,0,7104
28,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/afa4bc76-d3a4-41fd-881e-bcea92c2a57a.jpg,hk_u,0,7746
29,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/1a56ed27-3aaa-49f0-840d-43d80ecf46d9.jpg,hk_u,0,7204
30,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/7d7ffe3d-b0f2-4165-841e-1942f543c385.jpg,hk_u,0,7546
31,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/218a1bfb-4991-40e4-a65b-69ba84b69d85.jpg,hk_u,0,7230
32,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/08cc6220-6de1-41fe-9864-939b25f21783.jpg,hk_u,0,7139
33,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/c3706d74-ea28-4173-a356-617cc639882b.jpg,hk_u,0,7819
34,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/732006fc-5e36-406c-a421-9c82c4a64a29.jpg,hk_u,0,7505
35,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/329229ac-865d-4cd4-a3fa-ab0cec46a6c7.jpg,hk_u,0,7298
36,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/0b9e1573-f310-47d1-b8c9-932590746548.jpg,hk_u,0,7149
37,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/99a4a97f-adc4-462f-be8b-a30826c6c7c4.jpg,hk_u,0,7665
38,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/05bbe6d1-3444-4190-ab61-6603cc7f4afb.jpg,hk_u,0,7127
39,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/33df0879-6860-4dfc-87c1-42ecfc791214.jpg,hk_u,0,7303
40,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/996b224d-8064-4ad4-9454-ae005a5945a4.jpg,hk_u,0,7662
41,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/258b334f-cc27-482d-8294-ed734c7eb96c.jpg,hk_u,0,7251
42,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a58d94dd-e098-423b-be9d-7a2ffa788f37.jpg,hk_u,0,7703
43,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/61dada92-0a66-40e3-9acb-fc50831a18f2.jpg,hk_u,0,7448
44,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/f7d74992-3d5f-4165-a290-027677f8cdfa.jpg,hk_u,0,7996
45,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/45e3ba61-9a11-4437-842d-ccf42ed679fd.jpg,hk_u,0,7356
46,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/b9339c6a-a019-409f-97f4-e6a7bf46b20a.jpg,hk_u,0,7778
47,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/1b45efe2-7fa4-4f89-986a-6657d7d4d810.jpg,hk_u,0,7209
48,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/0cb7cc0e-adc4-4fa5-a49f-44f020fbd3c6.jpg,hk_u,0,7157
49,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/19dbf16a-9135-40bf-91e0-9197db797947.jpg,hk_u,0,7202
50,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/4ae1e19c-9ec2-4ac7-b38d-80d6c09f3406.jpg,hk_u,0,7373
51,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/77fff6f7-5a0d-44d3-bf72-581492b71bc0.jpg,hk_u,0,7525
52,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/867ba6c3-5112-40c3-a747-46d01171d330.jpg,hk_u,0,7584
53,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/837a9e3b-32af-45e3-93d3-b4fe62767986.jpg,hk_u,0,7571
54,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d32aa8c7-0809-4dff-a99f-26518f45960d.jpg,hk_u,0,7871
55,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/fd8b516b-09e8-4821-9fd9-63d34bc89238.jpg,hk_u,0,8013
56,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e43efa3d-3b7f-48e7-9274-d6c097e01dc4.jpg,hk_u,0,7926
57,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/7bc76d65-a805-4189-9152-bec71dcc6329.jpg,hk_u,0,7540
58,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/ea1a436f-99d0-4dfe-83c2-92b249259eef.jpg,hk_u,0,7950
59,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9dbecd6a-2f1b-43ce-bf69-bcb16fe41a5f.jpg,hk_u,0,7682
60,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/9eaa876d-e21f-4965-b937-001210013633.jpg,hk_u,0,7684
61,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/acfa9ae5-abc6-4b9e-a86a-21efbc07c15a.jpg,hk_u,0,7731
62,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/be5fd0ec-bcad-4570-8c35-781437e7d485.jpg,hk_u,0,7803
63,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/bba6fb51-b119-40e1-9df2-2e55da081dde.jpg,hk_u,0,7789
64,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/3764a21f-0ddb-42a7-a044-93e663272c76.jpg,hk_u,0,1098
65,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/619e02c9-03a5-4162-a3a9-7fb38d26c0bb.jpg,hk_u,0,7446
66,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/31110f01-8cad-4f09-90a9-08732f3d3443.jpg,hk_u,0,7293
67,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/6a9a249e-7bea-4b3b-b281-a0b23902a6c2.jpg,hk_u,0,7482
68,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/d3731ea8-99a9-417a-8336-3bb85d13af53.jpg,hk_u,0,7872
69,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/df366221-7b9d-492b-9b3f-342d76073842.jpg,hk_u,0,7906
70,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/6f153e8a-e731-4cf9-94da-21ac4c5534ab.jpg,hk_u,0,7493
71,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/a0df985e-723c-4d50-b99b-2cdd619516cd.jpg,hk_u,0,7690
