cell,task,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,r3_adopted
hk_l_N1510_IR9p35,hk_l,H3,H1,15,0.953886979401865,0.9331122215220469,-0.020774757879818077,0.01743676080403679,1,-0.04181986257913546,0.00027034681949930986,0.052626069096613756,0.009812213409323676,0.018547284154429244,0.029562643466942637,0.53090844533128,False,False
hk_l_N1510_IR9p35,hk_l,H4,H1,15,0.953886979401865,0.9556946764949781,0.001807697093113118,0.009891278700532044,6,-0.010130471824971312,0.013745866011197549,0.7501593632089879,0.005566133445969441,0.018547284154429244,0.016769877670644882,0.002801930107817659,True,False
hk_l_N500_IR1p74,hk_l,H3,H1,15,0.955846173330441,0.9320543229212661,-0.023791850409174975,0.017606784475548736,1,-0.04504216328956134,-0.00254153752878861,0.030791973077998656,0.009907891073785627,0.020435699821679896,0.029850905102136057,0.6461588454041656,False,False
hk_l_N500_IR1p74,hk_l,H4,H1,15,0.955846173330441,0.9566076255721564,0.0007614522417153917,0.005851767731863561,2,-0.006301273798814161,0.007824178282244944,0.8204772269452969,0.003292973646432437,0.020435699821679896,0.009921207559857802,2.1379178940329395e-05,True,False
hk_l_N500_IR20,hk_l,H3,H1,15,0.9006599544778893,0.8902567973491886,-0.010403157128700612,0.04617073235918049,3,-0.06612840951148054,0.045322095254079306,0.6949030488992154,0.025981722423362174,0.0617611804747574,0.07827881076547709,0.35868976626219157,False,False
hk_l_N500_IR20,hk_l,H4,H1,15,0.9006599544778893,0.9123738077542424,0.011713853276353266,0.04012122611826817,4,-0.03671001476962371,0.06013772132233024,0.6119832538909747,0.022577475102201188,0.0617611804747574,0.06802235326393631,0.359549972498639,False,False
hk_l_N500_IR4,hk_l,H3,H1,15,0.947169406483132,0.9219465900838449,-0.025222816399287015,0.03082798872485225,2,-0.06243031483751142,0.011984682038937391,0.1680115380428269,0.01734787829849937,0.03356865505835422,0.052266407145112985,0.6161045309058371,False,False
hk_l_N500_IR4,hk_l,H4,H1,15,0.947169406483132,0.9486909241811203,0.0015215176979882802,0.011473967294535614,3,-0.012326859632171715,0.015369895028148275,0.8171187313256103,0.006456762067844565,0.03356865505835422,0.019453200516531044,0.00627612055908327,True,False
hk_l_N500_IR9p35,hk_l,H3,H1,15,0.9264235610068944,0.9082038640371973,-0.018219696969696948,0.04941062350449082,3,-0.07785529996941382,0.04141590603001992,0.5229166213340964,0.02780491101314906,0.044501019190034956,0.08377178895545948,0.4749264418972077,False,False
hk_l_N500_IR9p35,hk_l,H4,H1,15,0.9264235610068944,0.9321930692764028,0.005769508269508313,0.01868584450304872,3,-0.016783164120812266,0.02832218065982889,0.5918634452894491,0.010515112070293722,0.044501019190034956,0.03168036570155119,0.09869849697772627,False,False
