arm,base_arm,recipe,dataset,fold,bacc,mcc,macro_mae,per_class_recall,n_train,n_test,lr,wd,epoch,train_ce_best,train_ce_best_epoch,train_loss_final,grad_norm_final,w_norm,count_mode,seconds
A0_200,A0,200,oral_diseases,0,0.6886837577627052,0.6641283759487757,0.5865384615384616,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",412,104,0.01,0.0001,200,0.0015748455189168453,200,0.0015748455189168453,0.0018112038960680366,7.386057376861572,train,0.4566612243652344
A0_200,A0,200,oral_diseases,1,0.7911900964532543,0.7324847858921925,0.4368932038834951,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",413,103,0.01,0.0001,200,0.0020361708011478186,200,0.0020361708011478186,0.00209407159127295,7.514935493469238,train,0.16425490379333496
A0_200,A0,200,oral_diseases,2,0.7217190704032809,0.6810328400703991,0.5048543689320388,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",413,103,0.01,0.0001,200,0.002949492074549198,200,0.002949492074549198,0.002404182218015194,7.654768943786621,train,0.1618969440460205
A0_200,A0,200,oral_diseases,3,0.7454878454878455,0.6951100430423188,0.42718446601941745,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",413,103,0.01,0.0001,200,0.002920897211879492,200,0.002920897211879492,0.0024216175079345703,7.615595817565918,train,0.1645810604095459
A0_200,A0,200,oral_diseases,4,0.770840562945826,0.7379402146367858,0.46601941747572817,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7894736842105263, 0.9230769230769231]",413,103,0.01,0.0001,200,0.0030236991588026285,200,0.0030236991588026285,0.0024465234018862247,7.789458751678467,train,0.16811776161193848
A0_200,A0,200,oral_diseases,5,0.7423967845020477,0.7072933638379626,0.3942307692307692,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",412,104,0.01,0.0001,200,0.0017636612756177783,200,0.0017636612756177783,0.0019235822837799788,7.5349345207214355,train,0.1623072624206543
A0_200,A0,200,oral_diseases,6,0.7286426293005241,0.692715035204276,0.44660194174757284,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.6666666666666666]",413,103,0.01,0.0001,200,0.0021375834476202726,200,0.0021375834476202726,0.0021580057218670845,7.730285167694092,train,0.17606282234191895
A0_200,A0,200,oral_diseases,7,0.7395192526771474,0.6937053621433955,0.4563106796116505,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.6842105263157895, 0.5833333333333334]",413,103,0.01,0.0001,200,0.002911532297730446,200,0.002911532297730446,0.0024375254288315773,7.5933685302734375,train,0.15964913368225098
A0_200,A0,200,oral_diseases,8,0.7984459984459985,0.7536762898250211,0.4563106796116505,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",413,103,0.01,0.0001,200,0.002725692465901375,200,0.002725692465901375,0.002269588178023696,7.547585487365723,train,0.16088533401489258
A0_200,A0,200,oral_diseases,9,0.7071476768845191,0.6584745187683466,0.46601941747572817,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.5263157894736842, 0.6153846153846154]",413,103,0.01,0.0001,200,0.0031328913755714893,200,0.0031328913755714893,0.0025282027199864388,7.601139068603516,train,0.1577444076538086
A0_200,A0,200,oral_diseases,10,0.8059013355065987,0.7649295868595603,0.3269230769230769,"[0.9375, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.8461538461538461]",412,104,0.01,0.0001,200,0.002197808586061001,200,0.002197808586061001,0.002195916138589382,7.646735191345215,train,0.16904306411743164
A0_200,A0,200,oral_diseases,11,0.6732579554947976,0.6256643200336489,0.5533980582524272,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.45454545454545453, 0.5263157894736842, 0.5833333333333334]",413,103,0.01,0.0001,200,0.0019570025615394115,200,0.0019570025615394115,0.0020177082624286413,7.546839237213135,train,0.16417860984802246
A0_200,A0,200,oral_diseases,12,0.743724842409053,0.6926737664137061,0.4368932038834951,"[0.875, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7272727272727273, 0.631578947368421, 0.75]",413,103,0.01,0.0001,200,0.002987389685586095,200,0.002987389685586095,0.0024487068876624107,7.63999080657959,train,0.16866087913513184
A0_200,A0,200,oral_diseases,13,0.7233433233433233,0.6825697712960499,0.49514563106796117,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",413,103,0.01,0.0001,200,0.0027389521710574627,200,0.0027389521710574627,0.002339450176805258,7.525911331176758,train,0.17322492599487305
A0_200,A0,200,oral_diseases,14,0.7780918642760748,0.7273937778056959,0.42718446601941745,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.631578947368421, 0.7692307692307693]",413,103,0.01,0.0001,200,0.002559605287387967,200,0.002559605287387967,0.0022117116022855043,7.563022613525391,train,0.19317150115966797
A0_sel,A0,sel,oral_diseases,0,0.6559109019635336,0.6318172220250396,0.6346153846153846,"[0.875, 0.9333333333333333, 0.4166666666666667, 0.5555555555555556, 0.45454545454545453, 0.8947368421052632, 0.46153846153846156]",412,104,0.001,0.1,50,0.2439894825220108,50,0.2439894825220108,0.23831132054328918,2.2375855445861816,train,13.511775493621826
A0_sel,A0,sel,oral_diseases,1,0.7828358775727197,0.7309352562756178,0.4174757281553398,"[1.0, 0.9333333333333333, 0.75, 0.6111111111111112, 0.9090909090909091, 0.5263157894736842, 0.75]",413,103,0.001,10.0,40,0.3489820659160614,40,0.3489820659160614,0.34743189811706543,1.612479567527771,train,12.91063642501831
A0_sel,A0,sel,oral_diseases,2,0.7241873623452572,0.6919617147646765,0.47572815533980584,"[0.875, 1.0, 0.6666666666666666, 0.7222222222222222, 0.45454545454545453, 0.6842105263157895, 0.6666666666666666]",413,103,0.01,1.0,40,0.025555096566677094,40,0.025555096566677094,0.03771013766527176,4.942913055419922,train,12.888250827789307
