dataset,fold,inner,n_inner_train,n_inner_val,group_overlap,pixel_hash_overlap,all_classes_in_train,all_classes_in_val,smallest_class,smallest_class_in_val,val_class_counts,valid
oral_diseases,0,0,273,139,0,0,True,True,4,14,"[22, 21, 14, 25, 14, 25, 18]",True
oral_diseases,0,1,276,136,0,0,True,True,4,13,"[20, 14, 21, 28, 13, 27, 13]",True
oral_diseases,0,2,275,137,0,0,True,True,4,16,"[21, 25, 14, 19, 16, 23, 19]",True
oral_diseases,1,0,273,140,0,0,True,True,4,15,"[20, 23, 10, 26, 15, 26, 20]",True
oral_diseases,1,1,277,136,0,0,True,True,4,16,"[20, 12, 20, 23, 16, 30, 15]",True
oral_diseases,1,2,276,137,0,0,True,True,4,12,"[23, 25, 19, 23, 12, 19, 16]",True
oral_diseases,2,0,275,138,0,0,True,True,4,13,"[25, 23, 15, 24, 13, 24, 14]",True
oral_diseases,2,1,277,136,0,0,True,True,4,16,"[18, 15, 20, 21, 16, 29, 17]",True
oral_diseases,2,2,274,139,0,0,True,True,4,14,"[20, 22, 14, 27, 14, 22, 20]",True
oral_diseases,3,0,275,138,0,0,True,True,4,13,"[19, 19, 17, 29, 13, 25, 16]",True
oral_diseases,3,1,276,137,0,0,True,True,4,11,"[26, 23, 14, 24, 11, 25, 14]",True
oral_diseases,3,2,275,138,0,0,True,True,4,19,"[19, 18, 17, 19, 19, 26, 20]",True
oral_diseases,4,0,274,139,0,0,True,True,4,16,"[25, 23, 16, 20, 16, 24, 15]",True
oral_diseases,4,1,275,138,0,0,True,True,4,10,"[21, 21, 20, 23, 10, 26, 17]",True
oral_diseases,4,2,277,136,0,0,True,True,4,18,"[17, 16, 13, 29, 18, 25, 18]",True
oral_diseases,5,0,276,136,0,0,True,True,4,11,"[19, 23, 16, 25, 11, 26, 16]",True
oral_diseases,5,1,274,138,0,0,True,True,4,11,"[27, 19, 13, 28, 11, 24, 16]",True
oral_diseases,5,2,274,138,0,0,True,True,4,21,"[17, 18, 20, 19, 21, 25, 18]",True
oral_diseases,6,0,277,136,0,0,True,True,4,12,"[22, 19, 16, 21, 12, 32, 14]",True
oral_diseases,6,1,277,136,0,0,True,True,4,13,"[23, 23, 11, 27, 13, 17, 22]",True
oral_diseases,6,2,272,141,0,0,True,True,4,18,"[18, 18, 22, 24, 18, 26, 15]",True
oral_diseases,7,0,276,137,0,0,True,True,4,14,"[21, 18, 20, 22, 14, 22, 20]",True
oral_diseases,7,1,274,139,0,0,True,True,4,12,"[23, 21, 14, 27, 12, 25, 17]",True
oral_diseases,7,2,276,137,0,0,True,True,4,17,"[19, 21, 15, 23, 17, 28, 14]",True
oral_diseases,8,0,275,138,0,0,True,True,4,11,"[24, 24, 13, 24, 11, 25, 17]",True
oral_diseases,8,1,274,139,0,0,True,True,4,16,"[22, 15, 20, 27, 16, 24, 15]",True
oral_diseases,8,2,277,136,0,0,True,True,4,16,"[18, 21, 15, 21, 16, 27, 18]",True
oral_diseases,9,0,275,138,0,0,True,True,4,9,"[26, 17, 16, 27, 9, 25, 18]",True
oral_diseases,9,1,275,138,0,0,True,True,4,20,"[20, 23, 13, 24, 20, 22, 16]",True
oral_diseases,9,2,276,137,0,0,True,True,4,15,"[17, 20, 20, 21, 15, 28, 16]",True
oral_diseases,10,0,275,137,0,0,True,True,4,20,"[19, 17, 15, 23, 20, 22, 21]",True
oral_diseases,10,1,276,136,0,0,True,True,4,13,"[23, 20, 20, 21, 13, 25, 14]",True
oral_diseases,10,2,273,139,0,0,True,True,4,10,"[21, 23, 14, 28, 10, 28, 15]",True
oral_diseases,11,0,274,139,0,0,True,True,4,18,"[18, 13, 18, 29, 18, 26, 17]",True
oral_diseases,11,1,274,139,0,0,True,True,4,12,"[27, 22, 14, 21, 12, 25, 18]",True
oral_diseases,11,2,278,135,0,0,True,True,4,13,"[18, 25, 17, 22, 13, 24, 16]",True
oral_diseases,12,0,279,134,0,0,True,True,4,7,"[22, 23, 17, 20, 7, 28, 17]",True
oral_diseases,12,1,275,138,0,0,True,True,4,24,"[25, 13, 16, 26, 24, 20, 14]",True
oral_diseases,12,2,272,141,0,0,True,True,4,12,"[16, 24, 16, 26, 12, 27, 20]",True
oral_diseases,13,0,275,138,0,0,True,True,4,14,"[28, 20, 12, 26, 14, 17, 21]",True
oral_diseases,13,1,275,138,0,0,True,True,4,16,"[17, 19, 18, 27, 16, 26, 15]",True
oral_diseases,13,2,276,137,0,0,True,True,4,13,"[19, 21, 18, 19, 13, 33, 14]",True
oral_diseases,14,0,275,138,0,0,True,True,4,12,"[18, 23, 12, 24, 12, 31, 18]",True
oral_diseases,14,1,275,138,0,0,True,True,4,16,"[24, 19, 18, 22, 16, 20, 19]",True
oral_diseases,14,2,276,137,0,0,True,True,4,16,"[21, 18, 19, 26, 16, 24, 13]",True
aptos2019,0,0,1952,977,0,0,True,True,3,48,"[491, 116, 245, 48, 77]",True
aptos2019,0,1,1953,976,0,0,True,True,3,48,"[482, 90, 275, 48, 81]",True
aptos2019,0,2,1953,976,0,0,True,True,3,58,"[471, 90, 279, 58, 78]",True
aptos2019,1,0,1952,977,0,0,True,True,3,42,"[470, 103, 276, 42, 86]",True
aptos2019,1,1,1955,974,0,0,True,True,3,58,"[474, 100, 264, 58, 78]",True
aptos2019,1,2,1951,978,0,0,True,True,3,54,"[500, 93, 259, 54, 72]",True
aptos2019,2,0,1952,978,0,0,True,True,3,52,"[490, 102, 258, 52, 76]",True
aptos2019,2,1,1951,979,0,0,True,True,3,55,"[475, 104, 265, 55, 80]",True
aptos2019,2,2,1957,973,0,0,True,True,3,48,"[479, 90, 276, 48, 80]",True
aptos2019,3,0,1948,982,0,0,True,True,3,51,"[477, 98, 267, 51, 89]",True
aptos2019,3,1,1956,974,0,0,True,True,3,49,"[478, 105, 271, 49, 71]",True
aptos2019,3,2,1956,974,0,0,True,True,3,55,"[489, 93, 261, 55, 76]",True
aptos2019,4,0,1957,973,0,0,True,True,3,39,"[495, 99, 269, 39, 71]",True
aptos2019,4,1,1946,984,0,0,True,True,3,51,"[477, 96, 286, 51, 74]",True
aptos2019,4,2,1957,973,0,0,True,True,3,64,"[472, 101, 245, 64, 91]",True
aptos2019,5,0,1954,975,0,0,True,True,3,53,"[480, 102, 262, 53, 78]",True
aptos2019,5,1,1953,976,0,0,True,True,3,48,"[488, 93, 270, 48, 77]",True
aptos2019,5,2,1951,978,0,0,True,True,3,53,"[476, 101, 267, 53, 81]",True
aptos2019,6,0,1956,973,0,0,True,True,3,53,"[480, 107, 253, 53, 80]",True
aptos2019,6,1,1948,981,0,0,True,True,3,54,"[474, 92, 279, 54, 82]",True
aptos2019,6,2,1954,975,0,0,True,True,3,47,"[490, 97, 267, 47, 74]",True
