dataset,arm,delta_sel,delta_200,interaction,interaction_sd,wins
oral_diseases,A1,0.006827032616506316,-0.003988823067770457,0.010815855684276772,0.04409866637044172,9
oral_diseases,A2,0.01560767205504047,0.003133908002329059,0.012473764052711412,0.029377038425425637,11
oral_diseases,A3,-0.007690301900828215,-0.01110381334065546,0.003413511439827244,0.06192812515536389,7
oral_diseases,A4,0.020179270047691135,-0.009972532340953433,0.030151802388644566,0.050379241752188796,11
oral_diseases,A5,0.004600672232251172,-0.036776050460260994,0.04137672269251216,0.049288593540391994,13
oral_diseases,A5s,-0.0013593667541035896,-0.005556456214350977,0.004197089460247386,0.05623990349337248,7
oral_diseases,A2d,0.003223861908072482,-0.0019291673239041796,0.005153029231976662,0.024861685044646677,8
aptos2019,B1,0.041439433915858345,0.009751165242207397,0.031688268673650946,0.02172838235924734,14
aptos2019,B2,-0.010150901168277372,0.00035650141390869785,-0.01050740258218607,0.01762723945904238,4
aptos2019,B3,0.01409664326061424,0.01795024887602316,-0.003853605615408921,0.021238857439547273,5
aptos2019,B4,0.033645817573128275,0.019275398600259064,0.014370418972869215,0.02359326868826725,12
aptos2019,B5,-0.012716465351904006,-0.0016552426324812687,-0.011061222719422736,0.04786433681093446,5
aptos2019,B5s,-0.0002195303729961943,0.0005720958116253394,-0.0007916261846215337,0.027034866097549386,7
aptos2019,B1d,0.04075332244191998,0.0038582719254135257,0.036895050516506454,0.014759626517625028,15
aptos2019,B3d,0.0013473115522917374,0.007416021244600679,-0.006068709692308941,0.022601796202594115,7
aptos2019,B4d,0.03363193927933619,0.008805242612504113,0.02482669666683208,0.024379336659290173,14
