arm,base_arm,dataset,fold,lr,wd,epoch,score,n_inner_valid,inner_best,inner_epoch,n_tied,grid_edge_lr,grid_edge_wd,grid_edge_epoch
A0_sel,A0,oral_diseases,0,0.001,0.1,50,0.7434008326173522,3,"[0.7019253762110905, 0.7551252979824409, 0.7731518236585252]","[160, 50, 20]",3,False,False,False
A0_sel,A0,oral_diseases,1,0.001,10.0,40,0.7704094754724045,3,"[0.7454212454212454, 0.7356884057971014, 0.8301187751988668]","[40, 90, 40]",1,False,True,False
A0_sel,A0,oral_diseases,2,0.01,1.0,40,0.7534361972691442,3,"[0.7678492935635793, 0.7283900341745894, 0.764069264069264]","[80, 20, 40]",1,True,False,False
A0_sel,A0,oral_diseases,3,0.01,3.0,40,0.7452408973042962,3,"[0.7802969097732629, 0.7063793349507635, 0.749046447188862]","[40, 40, 310]",1,True,False,False
A0_sel,A0,oral_diseases,4,0.001,1.0,20,0.737052986945236,3,"[0.7569824016563146, 0.7603597291759512, 0.6938168300034425]","[70, 20, 20]",4,False,False,False
A0_sel,A0,oral_diseases,5,0.001,10.0,40,0.7674932655486982,3,"[0.8187674167937325, 0.7864750989750989, 0.6972372808772632]","[40, 320, 30]",1,False,True,False
A0_sel,A0,oral_diseases,6,0.001,1.0,150,0.7355534744273936,3,"[0.7527249536178108, 0.6915145572434575, 0.7624209124209125]","[190, 150, 20]",1,False,False,False
A0_sel,A0,oral_diseases,7,0.001,10.0,30,0.7396684141916788,3,"[0.7631519274376417, 0.7095401445602396, 0.7463131705771554]","[20, 30, 170]",1,False,True,False
A0_sel,A0,oral_diseases,8,0.01,1.0,70,0.7411391057329433,3,"[0.7833310806840219, 0.714009139009139, 0.7260770975056691]","[70, 40, 130]",1,True,False,False
A0_sel,A0,oral_diseases,9,0.001,3.0,20,0.74270942616881,3,"[0.7070840216428451, 0.777972027972028, 0.7430722288915567]","[20, 340, 20]",1,False,False,False
A0_sel,A0,oral_diseases,10,0.001,1.0,20,0.7269953012115965,3,"[0.7220515874333923, 0.7463492821877915, 0.7125850340136054]","[160, 10, 20]",4,False,False,False
A0_sel,A0,oral_diseases,11,0.001,10.0,70,0.7739112696047884,3,"[0.7358971882298454, 0.7852985638699924, 0.8005380567145274]","[60, 180, 70]",1,False,True,False
A0_sel,A0,oral_diseases,12,0.001,10.0,40,0.7157442033264102,3,"[0.6916661526270588, 0.6823979591836735, 0.7731684981684982]","[40, 70, 10]",1,False,True,False
A0_sel,A0,oral_diseases,13,0.001,1.0,30,0.7519420636477987,3,"[0.7540631637270293, 0.7401553783906725, 0.761607648825694]","[20, 30, 130]",4,False,False,False
A0_sel,A0,oral_diseases,14,0.001,10.0,80,0.7261320289424825,3,"[0.7045570916538659, 0.728898002582213, 0.7449409925913686]","[120, 80, 20]",1,False,True,False
A1_sel,A1,oral_diseases,0,0.001,0.1,20,0.7437318450400068,3,"[0.7117872603586889, 0.7628059770916914, 0.7566022976696399]","[10, 120, 20]",3,False,False,False
A1_sel,A1,oral_diseases,1,0.001,0.1,290,0.7698068331363525,3,"[0.746886446886447, 0.733307453416149, 0.8292265991064618]","[290, 60, 380]",3,False,False,False
A1_sel,A1,oral_diseases,2,0.001,3.0,40,0.7517611986072819,3,"[0.7683228676085818, 0.7619383960480743, 0.7250223321651894]","[370, 40, 20]",1,False,False,False
A1_sel,A1,oral_diseases,3,0.001,10.0,170,0.7451290948143501,3,"[0.7603722883820566, 0.734209362066505, 0.7408056339944885]","[170, 50, 170]",1,False,True,False
A1_sel,A1,oral_diseases,4,0.01,1.0,30,0.7370919107273094,3,"[0.7710300207039337, 0.7556352306809011, 0.6846104807970933]","[30, 10, 120]",1,True,False,False
A1_sel,A1,oral_diseases,5,0.001,3.0,50,0.7470192098022704,3,"[0.7939797045060203, 0.7490054327460341, 0.6980724921547566]","[30, 170, 50]",1,False,False,False
A1_sel,A1,oral_diseases,6,0.001,0.1,300,0.7311419163568719,3,"[0.7395640074211502, 0.6928977056854294, 0.7609640359640361]","[50, 330, 300]",3,False,False,False
A1_sel,A1,oral_diseases,7,0.001,3.0,30,0.7305424722185294,3,"[0.7696454339311483, 0.7015378325243141, 0.7204441502001258]","[30, 390, 20]",1,False,False,False
A1_sel,A1,oral_diseases,8,0.01,10.0,180,0.7377326356598064,3,"[0.7593550567079979, 0.7288239538239537, 0.7250188964474679]","[260, 180, 90]",1,True,True,False
A1_sel,A1,oral_diseases,9,0.001,10.0,100,0.742888785661895,3,"[0.7099330244918479, 0.7744005994005995, 0.7443327330932374]","[100, 80, 140]",1,False,True,False
A1_sel,A1,oral_diseases,10,0.001,10.0,30,0.7268414109334825,3,"[0.7097798012485627, 0.7394519145450822, 0.7312925170068026]","[30, 30, 30]",1,False,True,False
A1_sel,A1,oral_diseases,11,0.001,3.0,50,0.7675609260485624,3,"[0.7264523846673948, 0.7914890400604687, 0.784741353417824]","[20, 220, 50]",1,False,False,False
A1_sel,A1,oral_diseases,12,0.001,1.0,30,0.7251935917323812,3,"[0.7139841707433962, 0.6914704343275772, 0.7701261701261701]","[40, 30, 30]",1,False,False,False
A1_sel,A1,oral_diseases,13,0.01,3.0,60,0.7433928353303999,3,"[0.7341782866992952, 0.7541714549067491, 0.7418287643851553]","[60, 60, 50]",1,True,False,False
A1_sel,A1,oral_diseases,14,0.001,10.0,60,0.7385819028888395,3,"[0.6999487967229902, 0.7350905673274094, 0.780706344616119]","[60, 30, 140]",1,False,True,False
A2_sel,A2,oral_diseases,0,0.001,10.0,30,0.7587614353025164,3,"[0.7132302618016905, 0.7632507703936275, 0.7998032737122308]","[10, 60, 30]",2,False,True,False
A2_sel,A2,oral_diseases,1,0.01,10.0,10,0.7833911353076114,3,"[0.7604395604395605, 0.7520962732919256, 0.8376375721913479]","[10, 30, 10]",1,True,True,False
A2_sel,A2,oral_diseases,2,0.001,10.0,210,0.7636681612065558,3,"[0.7663840920983777, 0.7670446339455322, 0.7575757575757576]","[260, 20, 210]",1,False,True,False
A2_sel,A2,oral_diseases,3,0.01,3.0,80,0.7523989671030193,3,"[0.7795087324333615, 0.706837210408639, 0.7708509584670574]","[40, 80, 90]",1,True,False,False
A2_sel,A2,oral_diseases,4,0.001,10.0,30,0.7517736058787486,3,"[0.7950983436853002, 0.7567285777187128, 0.703493896232233]","[150, 30, 20]",1,False,True,False
A2_sel,A2,oral_diseases,5,0.001,10.0,40,0.7514052099935927,3,"[0.8002596088122405, 0.7686179561179561, 0.6853380650505816]","[40, 400, 20]",1,False,True,False
A2_sel,A2,oral_diseases,6,0.001,10.0,20,0.7454037982658126,3,"[0.7568800247371676, 0.7243890901179905, 0.7549422799422799]","[20, 20, 110]",1,False,True,False
A2_sel,A2,oral_diseases,7,0.001,10.0,30,0.7470634182680923,3,"[0.7801793444650587, 0.7012239291852007, 0.7597869811540175]","[130, 30, 20]",1,False,True,False
A2_sel,A2,oral_diseases,8,0.01,1.0,30,0.7482990067303793,3,"[0.7857820610761788, 0.7157948532948534, 0.7433201058201059]","[30, 20, 270]",1,True,False,False
A2_sel,A2,oral_diseases,9,0.001,10.0,20,0.7510313845818047,3,"[0.7270178840767075, 0.7797577422577423, 0.7463185274109643]","[20, 300, 20]",1,False,True,False
A2_sel,A2,oral_diseases,10,0.001,3.0,30,0.7304070739474465,3,"[0.7352168535398348, 0.7349159329283551, 0.7210884353741497]","[90, 10, 30]",2,False,False,False
A2_sel,A2,oral_diseases,11,0.001,10.0,70,0.7787952146357923,3,"[0.7388060440798777, 0.7852985638699924, 0.8122810359575066]","[70, 150, 30]",1,False,True,False
A2_sel,A2,oral_diseases,12,0.001,10.0,40,0.7321156379401416,3,"[0.7276205343797598, 0.7095434327577184, 0.7591829466829466]","[40, 40, 20]",1,False,True,False
A2_sel,A2,oral_diseases,13,0.001,1.0,30,0.7506196475918575,3,"[0.7580878505248253, 0.7396822404175346, 0.7540888518332126]","[20, 30, 120]",4,False,False,False
A2_sel,A2,oral_diseases,14,0.001,10.0,30,0.7259769813553465,3,"[0.7078853046594981, 0.7312096529201791, 0.7388359864863625]","[40, 30, 20]",3,False,True,False
A3_sel,A3,oral_diseases,0,0.01,10.0,130,0.7516145391401466,3,"[0.7329375386518243, 0.792304785161928, 0.7296012936066875]","[350, 130, 40]",1,True,True,False
A3_sel,A3,oral_diseases,1,0.01,3.0,170,0.7841979530766716,3,"[0.7637521898391464, 0.7583074534161491, 0.8305342159747193]","[170, 100, 180]",1,True,False,False
A3_sel,A3,oral_diseases,2,0.01,10.0,150,0.7429493137000622,3,"[0.7780507587650444, 0.7100152129817444, 0.7407819693533979]","[100, 260, 150]",1,True,True,False
A3_sel,A3,oral_diseases,3,0.01,10.0,60,0.7512346354832928,3,"[0.7652593157883005, 0.7328863889733456, 0.7555582016882327]","[230, 60, 40]",1,True,True,False
A3_sel,A3,oral_diseases,4,0.01,3.0,360,0.7301003817126742,3,"[0.7633902691511387, 0.7214920081745072, 0.7054188678123768]","[270, 360, 390]",1,True,False,False
A3_sel,A3,oral_diseases,5,0.01,10.0,310,0.7284862941891542,3,"[0.746405962458594, 0.7433482522768237, 0.6957046678320451]","[310, 330, 70]",1,True,True,False
A3_sel,A3,oral_diseases,6,0.01,10.0,180,0.7360745268795444,3,"[0.7118119975262832, 0.7165914032921706, 0.7798201798201797]","[180, 110, 360]",1,True,True,False
A3_sel,A3,oral_diseases,7,0.01,10.0,80,0.7256504164201797,3,"[0.7367553081838796, 0.6976242670981435, 0.7425716739785158]","[70, 340, 80]",1,True,True,False
A3_sel,A3,oral_diseases,8,0.01,10.0,50,0.7659795096489775,3,"[0.7650827603768781, 0.7557299182299182, 0.7771258503401361]","[50, 20, 200]",1,True,True,False
A3_sel,A3,oral_diseases,9,0.01,10.0,220,0.7548323561488828,3,"[0.7085429385429386, 0.7939893439893441, 0.7619647859143657]","[270, 200, 220]",1,True,True,False
A3_sel,A3,oral_diseases,10,0.01,10.0,350,0.7354239326215942,3,"[0.7186932480502082, 0.7352863285782542, 0.7522922212363206]","[350, 60, 400]",1,True,True,False
A3_sel,A3,oral_diseases,11,0.01,10.0,360,0.7755467403673237,3,"[0.7378339487872957, 0.80854119425548, 0.7802650780591956]","[360, 110, 380]",1,True,True,False
A3_sel,A3,oral_diseases,12,0.01,10.0,250,0.739074059485398,3,"[0.753670954547827, 0.7070290423861852, 0.7565221815221815]","[260, 250, 120]",1,True,True,False
A3_sel,A3,oral_diseases,13,0.01,3.0,70,0.7446191468858431,3,"[0.7350632560716593, 0.7576869209222149, 0.7411072636636548]","[70, 390, 40]",1,True,False,False
A3_sel,A3,oral_diseases,14,0.01,10.0,160,0.71362883316861,3,"[0.682731694828469, 0.7280293536872484, 0.7301254509901126]","[370, 150, 160]",1,True,True,False
A4_sel,A4,oral_diseases,0,0.001,10.0,50,0.7598742068391736,3,"[0.7252648938363224, 0.784699691842549, 0.7696580348386496]","[100, 50, 30]",1,False,True,False
A4_sel,A4,oral_diseases,1,0.001,3.0,80,0.7802555790256019,3,"[0.7485347985347985, 0.7565217391304347, 0.8357101994115723]","[320, 80, 30]",1,False,False,False
A4_sel,A4,oral_diseases,2,0.001,10.0,30,0.7618929910200555,3,"[0.7680847723704866, 0.7679858725099236, 0.7496083281797566]","[260, 30, 20]",1,False,True,False
A4_sel,A4,oral_diseases,3,0.001,0.1,350,0.754972260957597,3,"[0.7907607106782403, 0.7297195661481376, 0.7444365060464132]","[350, 40, 380]",3,False,False,False
A4_sel,A4,oral_diseases,4,0.001,10.0,40,0.7531746096098585,3,"[0.8154347826086957, 0.7379333673268639, 0.7061556788940155]","[90, 40, 20]",1,False,True,False
A4_sel,A4,oral_diseases,5,0.001,3.0,90,0.7572720563299953,3,"[0.7974137704400863, 0.760910194650796, 0.7134922038991034]","[30, 340, 90]",1,False,False,False
A4_sel,A4,oral_diseases,6,0.001,10.0,120,0.7497204931880977,3,"[0.7448593073593074, 0.7229557408585542, 0.7813464313464313]","[120, 20, 200]",1,False,True,False
A4_sel,A4,oral_diseases,7,0.001,10.0,20,0.7432138812886718,3,"[0.777715934858792, 0.7007666641535841, 0.7511590448536394]","[20, 200, 20]",1,False,True,False
A4_sel,A4,oral_diseases,8,0.001,10.0,270,0.7565932503537546,3,"[0.7714263187792599, 0.7696969696969697, 0.728656462585034]","[270, 30, 270]",1,False,True,False
A4_sel,A4,oral_diseases,9,0.001,10.0,80,0.757067384840494,3,"[0.7428908999497235, 0.7720737595737596, 0.7562374949979992]","[30, 130, 80]",1,False,True,False
A4_sel,A4,oral_diseases,10,0.01,3.0,40,0.7387308205941747,3,"[0.7324500551208626, 0.7544907059813892, 0.7292517006802722]","[30, 50, 40]",1,True,False,False
A4_sel,A4,oral_diseases,11,0.001,3.0,50,0.7762196974905852,3,"[0.7191016105823407, 0.7993348450491308, 0.810222636840284]","[20, 50, 60]",1,False,False,False
A4_sel,A4,oral_diseases,12,0.001,10.0,70,0.7427483800294663,3,"[0.735652838210383, 0.7114822082679224, 0.7811100936100936]","[30, 120, 70]",1,False,True,False
A4_sel,A4,oral_diseases,13,0.001,0.1,100,0.7513671410711806,3,"[0.762797426662973, 0.7511189518542459, 0.7401850446963228]","[20, 120, 100]",3,False,False,False
A4_sel,A4,oral_diseases,14,0.001,0.1,30,0.7336744715655703,3,"[0.7159498207885305, 0.7250588592693857, 0.7600147346387949]","[10, 30, 70]",3,False,False,False
A5_sel,A5,oral_diseases,0,0.001,0.1,120,0.7710507386684243,3,"[0.7404741290455578, 0.7790859933717077, 0.7935920935880072]","[280, 120, 30]",3,False,False,False
A5_sel,A5,oral_diseases,1,0.001,10.0,40,0.7839746383796727,3,"[0.7478021978021978, 0.7636645962732919, 0.8404571210635285]","[30, 90, 40]",1,False,True,False
A5_sel,A5,oral_diseases,2,0.01,3.0,140,0.7725470890172993,3,"[0.7859578413305123, 0.7554517209182523, 0.7762317048031334]","[340, 10, 140]",1,True,False,False
A5_sel,A5,oral_diseases,3,0.01,3.0,230,0.7618787281544454,3,"[0.7813169421056151, 0.7384541648827364, 0.7658650774749846]","[230, 310, 140]",1,True,False,False
A5_sel,A5,oral_diseases,4,0.001,10.0,120,0.7454184442392648,3,"[0.7921221532091096, 0.7538084129973059, 0.690324766511379]","[300, 120, 20]",1,False,True,False
A5_sel,A5,oral_diseases,5,0.001,10.0,40,0.761258019313452,3,"[0.8279157684420843, 0.7597547954690811, 0.6961034940291907]","[40, 360, 30]",1,False,True,False
A5_sel,A5,oral_diseases,6,0.01,3.0,120,0.761272656506946,3,"[0.7719735621521336, 0.7341054796297763, 0.7777389277389278]","[120, 210, 50]",1,True,False,False
