arm,lr_1e3,wd_median,wd_max_n,epoch_median,epoch_min,epoch_max,epoch_edge_n,inner_valid_min,score_mean
A0_sel,12,3.0,6,40.0,20,150,0,3,0.7447219294940689
A0d_sel,7,10.0,9,70.0,20,340,0,3,0.6746528438439152
A1_sel,12,3.0,5,50.0,20,300,0,3,0.7425611045972226
A2_sel,12,10.0,11,30.0,10,210,0,3,0.7514073785405812
A2d_sel,8,10.0,11,50.0,10,90,0,3,0.6793530442271023
A3_sel,0,10.0,12,170.0,50,360,0,3,0.745294175928557
A4_sel,14,10.0,8,70.0,20,350,0,3,0.7544518149469518
A5_sel,9,3.0,6,140.0,30,380,0,3,0.7599168106910135
A5s_sel,6,1.0,5,140.0,20,360,0,3,0.7557500961400034
B0_sel,4,3.0,5,250.0,30,360,0,3,0.6521194152420302
B0d_sel,7,1.0,0,100.0,40,260,0,3,0.6248875823675082
B1_sel,2,10.0,13,180.0,30,390,0,3,0.6850453658295328
B1d_sel,4,10.0,15,100.0,40,320,0,3,0.6594481227844535
B2_sel,2,3.0,0,250.0,40,380,0,3,0.6450181509266051
B3_sel,0,0.1,0,240.0,150,570,0,3,0.6538758475025983
B3d_sel,0,0.1,0,270.0,170,640,0,3,0.6176859368763715
B4_sel,5,10.0,9,180.0,30,730,0,3,0.676888001816803
B4d_sel,9,10.0,10,150.0,40,520,0,3,0.6573247071586066
B5_sel,4,3.0,5,250.0,70,310,0,3,0.6774913706632563
B5s_sel,1,3.0,5,280.0,160,390,0,3,0.675866861559882
