condition,seed,arm,fold,bacc,mcc,macro_mae,lr,wd,epoch,per_class_recall
seed,1,B0,0,0.6974760019023598,0.7929419876505015,0.18144611186903137,0.01,10.0,380,"[0.9944598337950139, 0.6891891891891891, 0.885, 0.41025641025641024, 0.5084745762711864]"
seed,1,B0,1,0.6437355034448795,0.7076094308131955,0.2660300136425648,0.01,0.0001,170,"[0.9695290858725761, 0.6486486486486487, 0.75, 0.358974358974359, 0.4915254237288136]"
seed,1,B0,2,0.6565435364939097,0.7414257523585959,0.22540983606557377,0.01,10.0,320,"[0.9861495844875346, 0.6216216216216216, 0.815, 0.3684210526315789, 0.4915254237288136]"
seed,1,B0,3,0.6174090079092662,0.716100532087777,0.24863387978142076,0.001,0.1,180,"[0.9778393351800554, 0.5540540540540541, 0.825, 0.2894736842105263, 0.4406779661016949]"
seed,1,B0,4,0.6452462181855427,0.7302154900585255,0.24043715846994534,0.01,1.0,80,"[0.9833795013850416, 0.5, 0.8241206030150754, 0.41025641025641024, 0.5084745762711864]"
seed,1,B0,5,0.6572082143829643,0.7473980496435861,0.2305593451568895,0.01,1.0,40,"[0.9889196675900277, 0.6216216216216216, 0.825, 0.358974358974359, 0.4915254237288136]"
seed,1,B0,6,0.6527762561739744,0.7406812032390874,0.21828103683492497,0.01,3.0,30,"[0.9833795013850416, 0.5135135135135135, 0.84, 0.38461538461538464, 0.5423728813559322]"
seed,1,B0,7,0.6593838576357474,0.7472696765380625,0.22950819672131148,0.01,1.0,140,"[0.9861495844875346, 0.6216216216216216, 0.835, 0.4473684210526316, 0.4067796610169492]"
seed,1,B0,8,0.6595436113610206,0.7355246828731417,0.226775956284153,0.01,10.0,320,"[0.9806094182825484, 0.6621621621621622, 0.795, 0.3684210526315789, 0.4915254237288136]"
seed,1,B0,9,0.6028143547100603,0.7306486512697674,0.24453551912568305,0.01,10.0,380,"[0.9778393351800554, 0.5540540540540541, 0.8793969849246231, 0.1282051282051282, 0.4745762711864407]"
seed,1,B0,10,0.6751057956221579,0.7762833312388464,0.1937244201909959,0.01,10.0,280,"[0.9833795013850416, 0.6351351351351351, 0.89, 0.3076923076923077, 0.559322033898305]"
seed,1,B0,11,0.6052522661454536,0.7055433039108636,0.252387448840382,0.01,10.0,350,"[0.9750692520775623, 0.5675675675675675, 0.82, 0.3076923076923077, 0.3559322033898305]"
seed,1,B0,12,0.619657432210369,0.7237128868358327,0.24726775956284153,0.01,1.0,50,"[0.9833795013850416, 0.6351351351351351, 0.825, 0.3157894736842105, 0.3389830508474576]"
seed,1,B0,13,0.6567199982742497,0.7441597996831038,0.22814207650273224,0.001,0.01,260,"[0.9806094182825484, 0.6756756756756757, 0.82, 0.3157894736842105, 0.4915254237288136]"
seed,1,B0,14,0.6766621630330522,0.7566375367732564,0.21994535519125682,0.01,0.0001,50,"[0.9833795013850416, 0.527027027027027, 0.8442211055276382, 0.38461538461538464, 0.6440677966101694]"
seed,1,B1,0,0.7378258233421856,0.7274802282610504,0.23874488403819918,0.01,10.0,320,"[0.9833795013850416, 0.8378378378378378, 0.565, 0.7435897435897436, 0.559322033898305]"
seed,1,B1,1,0.6777269488444191,0.7086678812739422,0.2673942701227831,0.01,10.0,310,"[0.9667590027700831, 0.7972972972972973, 0.655, 0.41025641025641024, 0.559322033898305]"
seed,1,B1,2,0.7042978150224031,0.7135747816412635,0.2581967213114754,0.01,10.0,160,"[0.9750692520775623, 0.7837837837837838, 0.615, 0.6052631578947368, 0.5423728813559322]"
seed,1,B1,3,0.6667949377143706,0.6679602683280201,0.30327868852459017,0.001,10.0,50,"[0.9667590027700831, 0.6621621621621622, 0.565, 0.631578947368421, 0.5084745762711864]"
seed,1,B1,4,0.6484563982026647,0.6809152639946583,0.29098360655737704,0.01,10.0,340,"[0.9750692520775623, 0.581081081081081, 0.6231155778894473, 0.4358974358974359, 0.6271186440677966]"
seed,1,B1,5,0.6945786761093583,0.7087232197191006,0.2646657571623465,0.01,10.0,140,"[0.9889196675900277, 0.7162162162162162, 0.61, 0.6153846153846154, 0.5423728813559322]"
seed,1,B1,6,0.7236765896010462,0.731180321909087,0.2373806275579809,0.01,10.0,230,"[0.9806094182825484, 0.7702702702702703, 0.625, 0.6153846153846154, 0.6271186440677966]"
seed,1,B1,7,0.6884100458973458,0.7008629499375144,0.27595628415300544,0.01,10.0,190,"[0.9750692520775623, 0.7432432432432432, 0.61, 0.6052631578947368, 0.5084745762711864]"
seed,1,B1,8,0.6755617964553595,0.6780950578577465,0.28415300546448086,0.01,10.0,190,"[0.9667590027700831, 0.7297297297297297, 0.56, 0.5789473684210527, 0.5423728813559322]"
seed,1,B1,9,0.6491334165883258,0.6659304042916148,0.30327868852459017,0.001,3.0,160,"[0.961218836565097, 0.6486486486486487, 0.5979899497487438, 0.46153846153846156, 0.576271186440678]"
seed,1,B1,10,0.6907424642966686,0.7175702652348149,0.24965893587994542,0.01,10.0,220,"[0.9750692520775623, 0.7432432432432432, 0.655, 0.48717948717948717, 0.5932203389830508]"
seed,1,B1,11,0.6470127081145438,0.6565090824407495,0.31241473396998637,0.01,10.0,240,"[0.96398891966759, 0.7432432432432432, 0.54, 0.5641025641025641, 0.423728813559322]"
seed,1,B1,12,0.6592570276741835,0.6737648828585007,0.30327868852459017,0.01,1.0,40,"[0.961218836565097, 0.7567567567567568, 0.585, 0.5526315789473685, 0.4406779661016949]"
seed,1,B1,13,0.6758993050048029,0.6911625634521761,0.2773224043715847,0.01,10.0,250,"[0.9750692520775623, 0.7702702702702703, 0.59, 0.5526315789473685, 0.4915254237288136]"
seed,1,B1,14,0.7095607798728785,0.7054906426655633,0.2718579234972678,0.01,10.0,270,"[0.9722991689750693, 0.6891891891891891, 0.592964824120603, 0.6153846153846154, 0.6779661016949152]"
seed,1,B4,0,0.7139990382781124,0.7176626407408828,0.2305593451568895,0.001,1.0,260,"[0.9833795013850416, 0.7432432432432432, 0.6, 0.717948717948718, 0.5254237288135594]"
seed,1,B4,1,0.6901218491349952,0.7026006244018536,0.24965893587994542,0.01,10.0,250,"[0.9722991689750693, 0.7837837837837838, 0.605, 0.5641025641025641, 0.5254237288135594]"
seed,1,B4,2,0.6736587620532876,0.6791377183884043,0.27459016393442626,0.01,10.0,30,"[0.9750692520775623, 0.7027027027027027, 0.575, 0.6578947368421053, 0.4576271186440678]"
seed,1,B4,3,0.6843038221563505,0.6877456295823643,0.26229508196721313,0.001,10.0,140,"[0.9667590027700831, 0.6891891891891891, 0.605, 0.7368421052631579, 0.423728813559322]"
seed,1,B4,4,0.6648405433012774,0.6908829956960905,0.2568306010928962,0.01,3.0,340,"[0.9778393351800554, 0.581081081081081, 0.6331658291457286, 0.5897435897435898, 0.5423728813559322]"
seed,1,B4,5,0.6962193023940524,0.7005559398048131,0.24829467939972716,0.001,10.0,410,"[0.9889196675900277, 0.7027027027027027, 0.58, 0.717948717948718, 0.4915254237288136]"
seed,1,B4,6,0.6991937516579518,0.7306403776771273,0.21828103683492497,0.01,3.0,90,"[0.9861495844875346, 0.7027027027027027, 0.675, 0.5897435897435898, 0.5423728813559322]"
seed,1,B4,7,0.6896493338730533,0.7050200482107524,0.25136612021857924,0.01,3.0,50,"[0.9778393351800554, 0.7837837837837838, 0.605, 0.6578947368421053, 0.423728813559322]"
seed,1,B4,8,0.6520134202468584,0.6531351327422306,0.29098360655737704,0.01,10.0,50,"[0.9667590027700831, 0.7162162162162162, 0.52, 0.6842105263157895, 0.3728813559322034]"
seed,1,B4,9,0.6780258802950081,0.6609786575735506,0.30191256830601093,0.01,3.0,30,"[0.9501385041551247, 0.6621621621621622, 0.542713567839196, 0.7435897435897436, 0.4915254237288136]"
seed,1,B4,10,0.699659981791772,0.7097514504658612,0.24965893587994542,0.001,0.1,310,"[0.9722991689750693, 0.7432432432432432, 0.625, 0.6153846153846154, 0.5423728813559322]"
