dataset,fold,inner,n_inner_train,n_inner_val,group_overlap,pixel_hash_overlap,all_classes_in_train,all_classes_in_val,smallest_class,smallest_class_in_val,val_class_counts,valid
aptos2019,0,0,1955,976,0,0,True,True,3,53,"[481, 108, 255, 53, 79]",True
aptos2019,0,1,1954,977,0,0,True,True,3,49,"[498, 76, 271, 49, 83]",True
aptos2019,0,2,1953,978,0,0,True,True,3,58,"[472, 115, 262, 58, 71]",True
aptos2019,1,0,1956,973,0,0,True,True,3,53,"[471, 92, 284, 53, 73]",True
aptos2019,1,1,1951,978,0,0,True,True,3,42,"[495, 102, 264, 42, 75]",True
aptos2019,1,2,1951,978,0,0,True,True,3,48,"[489, 105, 253, 48, 83]",True
aptos2019,2,0,1950,977,0,0,True,True,3,50,"[495, 95, 253, 50, 84]",True
aptos2019,2,1,1950,977,0,0,True,True,3,53,"[471, 94, 288, 53, 71]",True
aptos2019,2,2,1954,973,0,0,True,True,3,48,"[466, 106, 270, 48, 83]",True
aptos2019,3,0,1953,975,0,0,True,True,3,53,"[484, 101, 259, 53, 78]",True
aptos2019,3,1,1954,974,0,0,True,True,3,49,"[482, 92, 282, 49, 69]",True
aptos2019,3,2,1949,979,0,0,True,True,3,52,"[484, 88, 268, 52, 87]",True
aptos2019,4,0,1957,976,0,0,True,True,3,53,"[496, 98, 243, 53, 86]",True
aptos2019,4,1,1957,976,0,0,True,True,3,54,"[460, 103, 284, 54, 75]",True
aptos2019,4,2,1952,981,0,0,True,True,3,57,"[476, 105, 260, 57, 83]",True
aptos2019,5,0,1950,974,0,0,True,True,3,50,"[476, 100, 273, 50, 75]",True
aptos2019,5,1,1948,976,0,0,True,True,3,49,"[489, 96, 260, 49, 82]",True
aptos2019,5,2,1950,974,0,0,True,True,3,52,"[475, 95, 266, 52, 86]",True
aptos2019,6,0,1958,975,0,0,True,True,3,51,"[486, 110, 255, 51, 73]",True
aptos2019,6,1,1952,981,0,0,True,True,3,55,"[480, 91, 269, 55, 86]",True
aptos2019,6,2,1956,977,0,0,True,True,3,44,"[482, 105, 272, 44, 74]",True
aptos2019,7,0,1954,979,0,0,True,True,3,50,"[485, 101, 265, 50, 78]",True
aptos2019,7,1,1956,977,0,0,True,True,3,61,"[486, 92, 261, 61, 77]",True
aptos2019,7,2,1956,977,0,0,True,True,3,54,"[474, 102, 274, 54, 73]",True
aptos2019,8,0,1957,972,0,0,True,True,3,58,"[479, 98, 266, 58, 71]",True
aptos2019,8,1,1951,978,0,0,True,True,3,53,"[479, 87, 289, 53, 70]",True
aptos2019,8,2,1950,979,0,0,True,True,3,44,"[480, 106, 262, 44, 87]",True
aptos2019,9,0,1952,977,0,0,True,True,3,52,"[485, 96, 264, 52, 80]",True
aptos2019,9,1,1954,975,0,0,True,True,3,47,"[485, 92, 267, 47, 84]",True
aptos2019,9,2,1952,977,0,0,True,True,3,52,"[479, 109, 253, 52, 84]",True
aptos2019,10,0,1955,974,0,0,True,True,3,59,"[491, 89, 260, 59, 75]",True
aptos2019,10,1,1948,981,0,0,True,True,3,46,"[485, 102, 264, 46, 84]",True
aptos2019,10,2,1955,974,0,0,True,True,3,48,"[479, 100, 282, 48, 65]",True
aptos2019,11,0,1949,980,0,0,True,True,3,56,"[471, 88, 281, 56, 84]",True
aptos2019,11,1,1957,972,0,0,True,True,3,41,"[486, 102, 261, 41, 82]",True
aptos2019,11,2,1952,977,0,0,True,True,3,59,"[486, 99, 254, 59, 79]",True
aptos2019,12,0,1955,973,0,0,True,True,3,56,"[455, 105, 280, 56, 77]",True
aptos2019,12,1,1948,980,0,0,True,True,3,46,"[497, 98, 254, 46, 85]",True
aptos2019,12,2,1953,975,0,0,True,True,3,48,"[501, 97, 246, 48, 83]",True
aptos2019,13,0,1954,975,0,0,True,True,3,60,"[496, 92, 258, 60, 69]",True
aptos2019,13,1,1954,975,0,0,True,True,3,45,"[485, 100, 274, 45, 71]",True
aptos2019,13,2,1950,979,0,0,True,True,3,47,"[466, 107, 278, 47, 81]",True
aptos2019,14,0,1956,977,0,0,True,True,3,59,"[471, 101, 268, 59, 78]",True
aptos2019,14,1,1952,981,0,0,True,True,3,47,"[479, 96, 276, 47, 83]",True
aptos2019,14,2,1958,975,0,0,True,True,3,55,"[472, 104, 260, 55, 84]",True
