fold,repeat,n_train,n_test,group_overlap,pixel_hash_overlap,test_class_counts
0,0,2931,731,0,0,"[354, 71, 211, 33, 62]"
1,0,2929,733,0,0,"[350, 71, 198, 50, 64]"
2,0,2927,735,0,0,"[373, 75, 188, 42, 57]"
3,0,2928,734,0,0,"[355, 89, 190, 39, 61]"
4,0,2933,729,0,0,"[373, 64, 212, 29, 51]"
5,1,2924,738,0,0,"[365, 79, 200, 42, 52]"
6,1,2933,729,0,0,"[357, 64, 203, 43, 62]"
7,1,2933,729,0,0,"[360, 75, 199, 28, 67]"
8,1,2929,733,0,0,"[367, 79, 182, 38, 67]"
9,1,2929,733,0,0,"[356, 73, 215, 42, 47]"
10,2,2929,733,0,0,"[350, 79, 193, 40, 71]"
11,2,2929,733,0,0,"[362, 81, 203, 37, 50]"
12,2,2928,734,0,0,"[352, 70, 219, 43, 50]"
13,2,2929,733,0,0,"[358, 71, 189, 41, 74]"
14,2,2933,729,0,0,"[383, 69, 195, 32, 50]"
